time,progress,x,y,z
0,0,0,0,1
0.9840374,0,0,0,1
1.984842,0,0,0,1
2.983995,0,0,0,1
3.984234,0,0,0,1
4.984243,0,0,0,1
5.988441,0,0,0,1
6.984716,0,0.272657,-0.2249511,0.9354438
7.984282,0,0.3252297,-0.2714404,0.9058398
8.98797,0,0.7236074,-0.06975648,0.6866778
9.984547,0,0.7236074,-0.06975648,0.6866778
10.9842,0,0.9793909,-0.1391731,-0.1463712
11.98825,0,0.981644,-0.1478094,-0.1205309
12.984,0,0.981644,-0.1478094,-0.1205309
13.9846,0,0.981644,-0.1478094,-0.1205309
14.98466,0,0.981644,-0.1478094,-0.1205309
15.99242,0,0.1621644,-0.2881963,-0.9437403
16.98398,0,-0.5835767,-0.04797812,-0.8106394
17.9851,0,0.4497516,0.03925983,-0.8922906
18.98387,0,0.4497516,0.03925983,-0.8922906
19.98414,0,0.4497516,0.03925983,-0.8922906
20.98436,0,0.4497516,0.03925983,-0.8922906
21.98408,0,-0.06537259,0.03053853,-0.9973935
22.98413,0,-0.06537259,0.03053853,-0.9973935
23.98843,0,-0.06537259,0.03053853,-0.9973935
24.98449,0,-0.09145899,0.03053853,-0.9953405
25.99287,0,-0.5282857,0.07845912,-0.8454339
26.98416,0,-0.5282857,0.07845912,-0.8454339
27.98443,0,-0.5282857,0.07845912,-0.8454339
28.98448,0,-0.5282857,0.07845912,-0.8454339
29.98515,0,-0.9386395,0.1693495,-0.3004608
31.00023,0,-0.8204582,0.1434927,-0.5534061
31.98474,0,-0.8204582,0.1434927,-0.5534061
32.98389,0,-0.8204582,0.1434927,-0.5534061
33.98809,0,-0.9737738,0.05669282,0.2203423
34.98416,0,-0.677897,0.1736482,-0.7143543
36.00053,0,-0.818825,-0.0828082,-0.5680392
36.98477,0,-0.818825,-0.0828082,-0.5680392
37.98527,0,-0.9295843,-0.2756374,-0.2447395
38.9843,0,-0.9295843,-0.2756374,-0.2447395
39.98472,0,-0.9295843,-0.2756374,-0.2447395
40.98818,0,-0.9295843,-0.2756374,-0.2447395
41.98413,0,-0.9295843,-0.2756374,-0.2447395
43.00116,0,-0.8465791,-0.2419219,-0.4741073
43.98471,0,-0.3361981,-0.2376859,0.9113047
