time,progress,x,y,z
0,0,0,0,1
1.013874,0,0,0.1822356,0.9832549
2.000381,0,-0.1727744,0.1001881,0.9798527
3.013874,0,-0.9777037,0.05233596,0.2033627
3.999687,0,-0.9446234,0.06975647,0.3206564
5.012272,0,-0.7916415,0.1045285,0.6019781
5.996059,0,-0.8949003,0.008726535,-0.4461808
6.998314,0,-0.8334969,0.03053851,-0.5516796
8.011684,0,-0.3294364,0.03925982,-0.9433613
9.00861,0,-0.06103929,0.01745241,-0.9979829
9.995995,0,0.4106564,0.01745241,-0.9116232
11.01257,0,0.7428901,0.02617695,-0.6689014
11.99965,0,0.9763011,0.04361939,0.2119756
12.9959,0,0.9762868,0.00436331,0.2164373
14.00772,0,0.8884756,-0.0348995,0.4575949
15.01387,0,0.8241184,0.00436331,0.5664008
15.9958,0,0.9035943,0.04361939,0.4261629
16.99576,0,0.5555651,0.00436331,0.8314617
17.9958,0,0.5519316,0.00436331,0.833878
19.00002,0,0.2923689,0.004363309,0.9562957
20.01387,0,0.5735711,-0.004363309,0.8191441
21.01223,0,0.6819918,-0.00436331,0.7313468
21.99438,0,0.04360907,-0.02181489,0.9988105
22.9962,0,-0.1001412,-0.03053851,0.9945045
24.00826,0,-0.1391518,-0.01745241,0.9901173
25.00446,0,-0.08705553,-0.04797813,0.9950475
26.00019,0,-0.07829084,-0.06540313,0.9947829
26.99656,0,-0.912097,-0.1348509,-0.3871622
28.00837,0,-0.9938442,-0.0784591,0.07821732
29.00813,0,-0.8670439,0.08715575,0.4905497
29.99575,0,0.7855816,-0.07845911,0.6137636
31.01387,0,0.7388952,-0.2036418,0.6423115
32.0037,0,0.7388952,-0.2036418,0.6423115
33.0037,0,0.4493746,0.05669279,-0.8915428
34.00423,0,-0.8141155,0,-0.580703
35.01387,0,-0.8524374,-0.02181489,-0.5223742
36.01387,0,-0.8961665,-0.1001881,-0.4322595
36.99622,0,-0.8182572,-0.1607426,-0.5519214
37.99636,0,-0.244447,-0.1175374,-0.9625128
38.99592,0,-0.3550946,-0.1348509,-0.9250529
39.9999,1,-0.2238193,-0.1001881,-0.9694676
40.99609,1,0.7429678,-0.02181489,-0.6689715
42.01387,1,0.7372141,-0.0130896,-0.6755324
43.01186,1,0.3418607,-0.03053851,-0.9392544
44.01387,1,-0.01740447,-0.0741085,-0.9970983
45.01387,1,-0.4290325,-0.08280822,-0.8994855
46.00402,1,-0.5387051,-0.09150163,-0.8375109
46.9957,1,-0.5242117,-0.08715576,-0.8471165
47.99632,1,-0.2576276,-0.09584577,-0.9614789
49.01191,1,0.1509071,-0.126199,-0.9804597
50.01387,1,0.2271068,-0.1348509,-0.9644884
51.01387,1,0.2271068,-0.1348509,-0.9644884
52.00379,1,0.2271068,-0.1348509,-0.9644884
53.00367,1,0.2295869,-0.258819,-0.9382444
53.99554,1,0.4452425,-0.06540312,0.8930182
54.99988,1,-0.9305476,-0.1391731,0.3386917
55.99611,1,-0.6973828,0.1001881,0.7096617
57.00393,1,-0.2316683,0.5948228,0.7697504
57.9998,1,0,1,-5.960464E-08
