time,progress,x,y,z
0,0,0,0,1
0.9909649,0,0,0,1
1.99053,0,0,0,1
2.990782,0,0,0,1
3.994911,0,0,0,1
4.991055,0,0,0,1
5.990349,0,0,0,1
6.99028,0,0,0,1
7.994558,0,0,0,1
8.994514,0,0.0261767,0.004363309,0.9996478
9.990942,0,0.7111057,-0.2164396,-0.6689413
10.9947,0,-0.5447597,-0.1607426,-0.8230424
11.99109,0,-0.3948635,0.5299194,-0.7505122
12.99543,0,-0.851862,0.4733197,0.2242762
14.00328,0,-0.8286088,-0.4886212,0.273234
14.99074,0,-0.596102,-0.2881963,0.7494032
15.99101,0,0.9311136,-0.2334454,0.2802335
16.99864,0,0.9311136,-0.2334454,0.2802335
17.9903,0,0.9311136,-0.2334454,0.2802335
18.99097,0,0.9311136,-0.2334454,0.2802335
19.99081,0,0.9311136,-0.2334454,0.2802335
20.99102,0,0.7798179,-0.0130896,0.6258697
22.00692,0,0.9789559,-0.06104855,0.1947266
22.99487,0,0.9879768,0.09584576,0.121308
23.99054,0,0.9879768,0.09584576,0.121308
24.99077,0,0.9879768,0.09584576,0.121308
25.99096,0,0.9879768,0.09584576,0.121308
26.99092,0,0.03922217,0.04361939,0.998278
27.99436,0,-0.05669085,-0.008726535,0.9983537
28.99543,0,-0.05669085,-0.008726535,0.9983537
29.99052,0,-0.05669085,-0.008726535,0.9983537
30.99037,0,-0.05669085,-0.008726535,0.9983537
31.99033,0,-0.05669085,-0.008726535,0.9983537
32.9906,0,-0.05669085,-0.008726535,0.9983537
33.99085,0,-0.05233398,-0.008726536,0.9985915
34.99097,0,0.2798288,0,0.9600499
35.99122,0,-0.2537276,0.0828082,0.9637246
37.00763,0,-0.2537276,0.0828082,0.9637246
37.99062,0,-0.2537276,0.0828082,0.9637246
38.9907,0,-0.9737766,-0.0348995,0.2248141
39.99068,0,-0.9737766,-0.0348995,0.2248141
40.99068,0,0.09141465,-0.04361939,-0.9948571
41.99108,0,-0.4651833,0.1348509,0.8748827
43.0023,0,-0.933145,-0.03053851,0.3582006
44.00666,0,-0.9356152,-0.1218694,0.3313187
44.99039,0,-0.9356152,-0.1218694,0.3313187
45.99111,0,-0.9800202,-0.1434927,0.137733
46.99068,0,-0.9800202,-0.1434927,0.137733
47.9953,0,-0.9800202,-0.1434927,0.137733
48.991,0,-0.6275511,-0.2164396,0.7478861
49.99088,0,-0.9795104,-0.1779435,-0.09431606
50.9907,0,-0.9795104,-0.1779435,-0.09431606
51.99044,0,-0.910921,-0.2036417,-0.3588216
52.99044,0,-0.910921,-0.2036417,-0.3588216
53.99488,0,-0.910921,-0.2036417,-0.3588216
54.9906,0,-0.910921,-0.2036417,-0.3588216
55.99501,0,-0.910921,-0.2036417,-0.3588216
56.99042,0,-0.910921,-0.2036417,-0.3588216
57.99475,0,-0.910921,-0.2036417,-0.3588216
58.99508,0,-0.7651892,-0.224951,-0.603227
59.99076,0,-0.7651892,-0.224951,-0.603227
60.99076,0,-0.7651892,-0.224951,-0.603227
61.99233,0,-0.9651999,-0.1564345,-0.2095656
62.99479,0,-0.1366161,-0.190809,-0.9720742
63.99069,0,-0.1366161,-0.190809,-0.9720742
64.9908,0,-0.1366161,-0.190809,-0.9720742
65.99048,0,-0.5915121,-0.2121777,-0.777878
66.99516,0,-0.9975259,-0.008726535,-0.06975383
68.00656,0,-0.6914169,0.1348509,-0.7097592
68.99083,0,0.4056182,-0.0741085,-0.9110335
69.99095,0,0.8674523,-0.1865241,0.4612324
70.99512,0,0.1756077,-0.2672384,0.9474944
71.99086,0,0.5636767,-0.2630312,0.7829963
72.99849,0,0.5636767,-0.2630312,0.7829963
73.99599,0,0.3260694,-0.1478094,0.933719
74.99483,0,0.1842276,-0.1564345,0.9703548
75.99095,0,0.1842276,-0.1564345,0.9703548
76.99522,0,0.7301023,-0.1391731,0.6690153
77.99089,0,0.7359126,-0.1391731,0.6626186
79.00693,0,0.2318272,-0.1175374,0.9656299
79.99454,0,0.03035701,-0.1088669,0.9935927
80.991,0,0.03035701,-0.1088669,0.9935927
81.99097,0,0.03035701,-0.1088669,0.9935927
82.99042,0,0.03035701,-0.1088669,0.9935927
83.99072,0,0.0130118,-0.1088669,0.9939712
84.99522,0,-0.9275793,-0.358368,-0.1056844
85.99576,0,0.904084,-0.3705574,0.2128835
86.9904,0,0.8598809,-0.1950904,0.4717466
87.99104,0,0.8598809,-0.1950904,0.4717466
88.99498,0,0.8598809,-0.1950904,0.4717466
89.99515,0,0.9866068,-0.1478094,-0.06899036
90.99072,0,0.9403264,-0.2334454,-0.2475673
91.99117,0,0.9403264,-0.2334454,-0.2475673
92.99493,0,0.9403264,-0.2334454,-0.2475673
93.99118,0,0.9403264,-0.2334454,-0.2475673
94.99527,0,0.9698844,-0.2249511,-0.09338932
95.99095,0,0.9698844,-0.2249511,-0.09338932
96.99475,0,0.9698844,-0.2249511,-0.09338932
97.99077,1,0,1,2.980232E-08
99.00711,1,-0.6580258,0.7009093,0.2751877
99.9906,1,-0.9113074,0.1305262,0.390489
100.9903,1,-0.9113074,0.1305262,0.390489
101.9906,1,-0.9144978,-0.1175374,0.3871418
103.0069,1,-0.5338136,-0.04797813,0.84424
103.9991,1,-0.3154155,-0.0784591,-0.9457046
104.999,1,0.9252381,-0.1088669,-0.3634315
105.9907,1,0.9252381,-0.1088669,-0.3634315
106.9948,1,0.9252381,-0.1088669,-0.3634315
107.9949,1,0.9252381,-0.1088669,-0.3634315
108.9905,1,-0.01205392,-0.1088669,-0.9939833
109.991,1,-0.01205392,-0.1088669,-0.9939833
110.9909,1,-0.01205392,-0.1088669,-0.9939833
111.9948,1,0.1652337,-0.09584576,-0.9815862
112.9949,1,0.1652337,-0.09584576,-0.9815862
