time,progress,x,y,z
0,0,0,0,1
0.2019424,0,0,0,1
0.3969498,0,-0.07359482,0.1175374,0.9903377
0.5919418,0,-0.4609,0.2588191,0.8488721
0.7843399,0,-0.7396078,0.2164396,0.6372867
1.001945,0,-0.685003,-0.2923717,0.6673003
1.196625,0,-0.6595077,-0.3007058,0.6889308
1.401939,0,-0.6845838,-0.25038,0.6845837
1.596176,0,-0.4442455,-0.1607426,0.881367
1.792564,0,-0.4403957,-0.1607426,0.883297
1.98777,0,-0.4403957,-0.1607426,0.883297
2.185135,0,-0.322199,-0.1434926,0.9357338
2.392296,0,0.0343693,-0.1736482,0.9842078
2.601631,0,0.2175097,-0.1693495,0.9612545
2.800674,0,0.2342528,-0.1693495,0.957312
2.984924,0,0.3157983,-0.186524,0.9303119
3.185104,0,0.3835523,-0.190809,0.9035926
3.383827,0,0.4920203,-0.1779435,0.8522043
3.584198,0,0.7237852,-0.1434926,0.6749406
3.801941,0,0.8212764,-0.1132032,0.5591871
4.001945,0,0.8781369,-0.1693495,0.4474331
4.201942,0,0.9159526,-0.2164396,0.3379126
4.392441,0,0.9159526,-0.2164396,0.3379126
4.58876,0,0.766209,-0.2036417,0.6094701
4.801941,0,0.6455889,-0.1779436,0.7426649
4.983795,0,0.4920203,-0.1779435,0.8522043
5.196533,0,0.4808232,-0.1779435,0.8585716
5.401939,0,0.4808232,-0.1779435,0.8585716
5.58844,0,0.4808232,-0.1779435,0.8585716
5.788429,0,0.4808232,-0.1779435,0.8585716
5.991989,0,0.4429152,-0.1779435,0.8787276
6.192169,0,0.4429152,-0.1779435,0.8787276
6.384476,0,0.4429152,-0.1779435,0.8787276
6.596649,0,0.4429152,-0.1779435,0.8787276
6.788109,0,0.4429152,-0.1779435,0.8787276
6.991997,0,0.4429152,-0.1779435,0.8787276
7.196793,0,0.4429152,-0.1779435,0.8787276
7.388306,0,0.4390768,-0.1779435,0.8806518
7.596115,0,0.3923854,-0.1779436,0.9024244
7.801941,0,0.3646436,-0.1779436,0.9139864
7.984177,0,0.3203723,-0.1779435,0.9304287
8.188095,0,0.2751433,-0.1822356,0.9439737
8.396294,0,-0.1312611,-0.2292004,0.9644883
8.587914,0,-0.4898547,-0.2334454,0.8399676
8.794777,0,-0.5783877,-0.2334453,0.7816463
8.988274,0,-0.6994644,-0.2334453,0.6754649
9.201942,0,-0.7254437,-0.2334454,0.6474833
9.401939,0,-0.7169063,-0.2334453,0.6569235
9.589333,0,-0.6776308,-0.1993679,0.7078623
9.792183,0,-0.6600135,-0.190809,0.7266182
10.00195,0,-0.6096886,-0.1736482,0.7733862
10.18845,0,-0.4661289,-0.1736482,0.8675081
10.38845,0,-0.3119914,-0.1822355,0.9324439
10.58842,0,-0.03809363,-0.2419219,0.9695477
10.78423,0,0.2216473,-0.254602,0.9413025
10.98421,0,0.5147328,-0.2376859,0.8237448
11.19714,0,0.6242818,-0.2164396,0.7506172
11.39664,0,0.6372868,-0.2164396,0.7396077
11.58452,0,0.6405079,-0.2164396,0.7368199
11.80194,0,0.6405079,-0.2164396,0.7368199
12.00195,0,0.6405079,-0.2164396,0.7368199
12.19246,0,0.6405079,-0.2164396,0.7368199
12.38416,0,0.6405079,-0.2164396,0.7368199
12.60009,0,0.6405079,-0.2164396,0.7368199
12.8007,0,0.5559998,-0.190809,0.8089847
12.98914,0,0.4808232,-0.1779435,0.8585716
13.18856,0,0.4197611,-0.1779436,0.8900207
13.39309,0,0.3603641,-0.1822355,0.9148377
13.59218,0,0.3074101,-0.190809,0.9322505
13.78496,0,0.2990064,-0.1950903,0.9340958
13.98454,0,0.2865022,-0.1993679,0.9371067
14.20194,0,0.248805,-0.2121777,0.9450274
14.40194,0,0.2069459,-0.2206974,0.9531348
14.58887,0,0.01695226,-0.2376859,0.9711941
14.78843,0,-0.008476451,-0.2376859,0.9713051
14.992,0,-0.02118971,-0.2376859,0.9711109
15.19172,0,-0.02118971,-0.2376859,0.9711109
15.39217,0,-0.02118971,-0.2376859,0.9711109
15.60194,0,-0.02118971,-0.2376859,0.9711109
15.79623,0,-0.1098406,-0.2419219,0.9640585
15.98817,0,-0.2058751,-0.2419219,0.9482031
16.18842,0,-0.2552181,-0.2419219,0.936129
16.39729,0,-0.3158974,-0.2419219,0.9174326
16.59225,0,-0.4019335,-0.2461533,0.8819626
16.79226,0,-0.5448782,-0.25038,0.8002609
16.9885,0,-0.677988,-0.2840154,0.6779879
17.19264,0,-0.7815383,-0.3173047,0.5371364
17.38888,0,-0.8528984,-0.3214395,0.4113892
17.59219,0,-0.8810405,-0.3214394,0.3470511
17.78848,0,-0.8840353,-0.3214394,0.3393494
17.98839,0,-0.9568331,-0.2881963,-0.03759396
18.20031,0,-0.7335422,-0.2881963,-0.6155151
18.38953,0,-0.6482682,-0.2965415,-0.7012926
18.58418,0,-0.6482682,-0.2965415,-0.7012926
18.80194,0,-0.7586876,-0.2923717,-0.5821616
18.98866,0,-0.8942743,-0.2923717,-0.3388104
19.20194,1,0,1,-1.490116E-08
19.38435,1,0.004781902,0.9999619,-0.007299758
19.59619,1,0.03193516,0.997859,-0.05707663
19.79993,1,0.03313044,0.9969175,-0.07112114
20.00018,1,0.0140049,0.9990482,-0.04131001
20.19715,1,0.009298757,0.9995337,-0.02908861
20.40194,1,0.006369948,0.9997621,-0.0208644
20.60194,1,0.006369948,0.9997621,-0.0208644
20.80194,1,0.006369948,0.9997621,-0.0208644
20.99218,1,0.006369948,0.9997621,-0.0208644
21.19653,1,0.006369948,0.9997621,-0.0208644
21.39619,1,0.006369948,0.9997621,-0.0208644
21.59618,1,0.006369948,0.9997621,-0.0208644
21.79033,1,0.006369948,0.9997621,-0.0208644
21.99652,1,0.006187618,0.9997621,-0.02091906
22.18418,1,0.001986183,0.9999143,-0.0129381
22.39658,1,0.001060121,0.9999619,-0.008662019
22.60194,1,0.001060121,0.9999619,-0.008662019
22.80194,1,0.001060121,0.9999619,-0.008662019
22.98205,1,-0.01141199,0.9762961,-0.2161387
23.19983,1,-0.5132042,0.7040147,-0.490902
23.38898,1,0,1,7.450581E-09
23.59259,1,0,1,-7.450581E-08
23.80194,1,-0.3680605,0.760406,-0.5350836
23.99246,1,-0.4239245,0.5771452,-0.697991
24.18838,1,-0.4060972,0.4771588,-0.7793618
24.38844,1,-0.4319382,0.3338069,-0.8378559
24.58826,1,-0.3674411,0.1993679,-0.9084269
24.78832,1,-0.3685359,0.1132032,-0.9226955
25.00194,1,-0.3732425,0.09584576,-0.9227697
25.18593,1,-0.3902534,0.06540313,-0.9183816
25.39001,1,-0.3902534,0.06540313,-0.9183816
25.58833,1,-0.3902534,0.06540313,-0.9183816
25.78392,1,-0.3902534,0.06540313,-0.9183816
25.99231,1,-0.3004336,0.06540313,-0.9515577
26.20194,1,0.2097348,0.1391731,-0.9678029
26.39616,1,0.7111701,0.1478094,-0.6873061
26.60194,1,0.7763917,0.1693495,-0.6070724
26.80031,1,0.7853692,0.1132032,-0.6085888
27.00194,1,0.7880137,0.07845911,-0.6106381
27.19221,1,0.8008981,-0.01745241,-0.5985464
