time,progress,x,y,z
0,0,0,0,1
0.1878128,0,0,0,1
0.3924637,0,0,0.008726536,0.9999619
0.5880318,0,-0.0434534,0.08715574,0.9952465
0.8001862,0,-0.09257989,0.258819,0.9614789
0.9962196,0,-0.1018494,0.224951,0.9690323
1.205513,0,-0.0651785,-0.0828082,0.9944318
1.40551,0,-0.2417354,-0.03925982,0.9695477
1.605511,0,-0.3786486,0,0.9255405
1.804268,0,-0.9378987,0.1001881,0.3321273
1.988457,0,-0.9925084,0.008726535,0.1218647
2.205513,0,-0.9840314,-0.00436331,0.1779417
2.404392,0,-0.9824412,-0.00436331,0.1865221
2.588638,0,0.6494233,0.008726535,0.760377
2.796326,0,0.9200756,0.03053851,0.3905489
3.005512,0,0.9560772,0.02181488,-0.2923022
3.196075,0,0.9965295,-0.06104854,-0.05658706
3.400417,0,-0.8151184,-0.06104854,0.5760686
3.604504,0,-0.9162647,-0.0741085,0.3936584
3.788017,0,-0.1817344,-0.0741085,0.9805511
3.988228,0,0.09991256,-0.07410849,0.9922326
4.204624,0,0.104241,-0.0741085,0.9917871
4.399971,0,0.104241,-0.0741085,0.9917871
4.596188,0,0.2370323,-0.0741085,0.9686711
4.801529,0,0.5358222,-0.07410849,0.8410723
4.98827,0,0.5358222,-0.07410849,0.8410723
5.200821,0,0.5358222,-0.07410849,0.8410723
5.396454,0,0.5321472,-0.0741085,0.8434022
5.596111,0,0.6705179,-0.0741085,0.7381827
5.800232,0,0.9875451,-0.0741085,0.1387903
5.996269,0,0.74446,-0.06540313,-0.6644561
6.196102,0,0.7329528,-0.06104854,-0.6775347
6.389221,0,0.7945173,-0.06104854,-0.6041651
6.591778,0,0.9887693,-0.08715574,0.1214056
6.793198,0,0.9599636,-0.08715574,-0.2662213
6.996773,0,0.385883,-0.06540313,-0.9202264
7.196079,0,0.3127347,-0.05233596,-0.9483976
7.400261,0,0.3333495,-0.05233596,-0.9413497
7.58802,0,0.3333495,-0.05233596,-0.9413497
7.792015,0,0.414125,-0.05233596,-0.9087141
8.005512,0,0.4993148,-0.05233596,-0.8648385
8.205513,0,0.6874111,-0.05233596,-0.7243803
8.40551,0,0.9900861,-0.05233596,-0.1303474
8.605511,0,-0.07309214,-0.1650476,0.9835735
8.805511,0,-0.1627841,-0.1650476,0.9727593
8.989464,0,0.5180286,-0.1305262,0.8453457
9.200264,0,0.3754092,-0.1305262,0.9176224
9.388073,0,0.3063733,-0.1305262,0.9429201
9.588081,0,0.3022561,-0.1305262,0.9442479
9.792332,0,0.2941707,-0.126199,0.9473845
10.00429,0,0.2941707,-0.126199,0.9473845
10.20401,0,0.2941707,-0.126199,0.9473845
10.4047,0,0.2941707,-0.126199,0.9473845
10.59249,0,0.2941707,-0.126199,0.9473845
10.80029,0,0.05191752,-0.126199,0.9906455
11.00462,0,-0.04327065,-0.1261989,0.9910608
11.19597,0,-0.05623953,-0.126199,0.9904095
11.39247,0,-0.05623953,-0.126199,0.9904095
11.60025,0,-0.1337728,-0.126199,0.9829439
11.80551,0,-0.2357856,-0.126199,0.9635761
11.99611,0,-0.3147678,-0.126199,0.9407418
12.19641,0,-0.335215,-0.126199,0.9336513
12.40011,0,-0.335215,-0.126199,0.9336513
12.59255,0,-0.335215,-0.126199,0.9336513
12.79618,0,-0.3520136,-0.1132032,0.929124
12.99949,0,-0.3520136,-0.1132032,0.929124
13.18865,0,-0.3520136,-0.1132032,0.929124
13.39192,0,-0.4607961,-0.1434926,0.8758292
13.60551,0,-0.7518479,-0.2249511,0.6197755
13.79193,0,-0.8164629,-0.2164396,0.5352964
13.99613,0,-0.8164629,-0.2164396,0.5352964
14.20429,0,-0.8164629,-0.2164396,0.5352964
14.39644,0,-0.8141195,-0.2164396,0.5388538
14.60551,0,-0.8141195,-0.2164396,0.5388538
14.80551,0,-0.8141195,-0.2164396,0.5388538
15.00551,0,-0.8141195,-0.2164396,0.5388538
15.20551,0,-0.8141195,-0.2164396,0.5388538
15.38901,0,-0.8141195,-0.2164396,0.5388538
15.60551,0,-0.8141195,-0.2164396,0.5388538
15.79174,0,-0.8141195,-0.2164396,0.5388538
16.00551,0,-0.8141195,-0.2164396,0.5388538
16.20551,0,-0.8141195,-0.2164396,0.5388538
16.38838,0,-0.8369977,-0.2036418,0.5079026
16.59643,0,-0.901137,-0.1950904,0.3871589
16.78845,0,-0.9766708,-0.1950903,0.08974347
16.99394,0,-0.7595129,-0.1950903,-0.6205482
17.196,0,-0.7595129,-0.1950903,-0.6205482
17.39623,0,-0.7595129,-0.1950903,-0.6205482
17.59624,0,-0.7595129,-0.1950903,-0.6205482
17.80551,0,-0.8065509,-0.190809,-0.5595242
18.00551,0,-0.7628677,-0.190809,0.6177579
18.20551,0,-0.06420147,-0.190809,0.9795254
18.38914,0,-0.03425828,-0.190809,0.9810292
18.60551,0,-0.2333189,-0.190809,0.9534958
18.80551,0,-0.2457798,-0.190809,0.9503601
19.00551,0,-0.2457798,-0.190809,0.9503601
19.20551,0,-0.6472318,-0.190809,0.7380264
19.40551,0,-0.8069962,-0.2164396,0.5494642
19.58776,0,-0.848389,-0.2334454,0.4751205
19.79184,0,-0.848389,-0.2334454,0.4751205
19.9959,0,-0.848389,-0.2334454,0.4751205
20.20032,0,-0.848389,-0.2334454,0.4751205
20.40053,0,-0.848389,-0.2334454,0.4751205
