time,progress,x,y,z
0,0,0,0,1
0.9959373,0,0,0,1
1.995892,0,0,0,1
2.997002,0,-0.1038039,0.1175374,0.9876283
3.993755,0,0.4766093,-0.04797813,0.8778051
4.996532,0,0.946849,0.0130896,0.3214119
5.992226,0,0.946849,0.0130896,0.3214119
6.996258,0,0.6052064,-0.3502074,-0.7148986
8.000214,0,0.1035386,-0.309017,-0.9454038
8.992626,0,-0.5399781,0.4617487,0.703713
9.995758,0,0.3287841,-0.0741085,0.941493
10.99686,0,0.409156,0.08715574,0.9082925
11.99673,0,0.739873,0.03053852,0.6720531
12.99677,0,0.7747504,0.07845911,0.6273804
14.00011,0,0.4015052,0.07845911,0.9124899
14.99601,0,0.2322708,0.1001881,0.9674774
15.99232,0,0.2615903,0.1045285,0.9595021
17.00004,0,0.23649,0.1001881,0.9664548
17.99611,0,-0.4342426,-0.03053851,0.9002782
18.99582,0,-0.9902305,0.008726536,0.1391677
19.99248,0,-0.9947318,0.02181489,0.1001641
21.00003,0,-0.876108,-0.0784591,-0.4756879
22.00414,0,-0.876108,-0.0784591,-0.4756879
22.9926,0,-0.876108,-0.0784591,-0.4756879
24.0088,0,-0.5494592,0.4305111,0.716069
24.99655,0,-0.4304087,0.02181489,0.9023705
26.00405,0,0.1084526,0.08715574,0.9902737
27.00398,0,0.8726469,-0.2121777,0.4398502
27.99579,0,0.9040841,-0.2292004,0.3606928
28.99632,0,-0.9399325,-0.279829,-0.1955062
30.00006,0,-0.4962119,-0.004363311,-0.8681907
31.00428,0,-0.995418,0.08280821,0.04781336
31.99298,0,-0.9846578,-0.01745241,0.1736217
33.00404,0,-0.7562611,-0.1348509,0.6402222
34.0004,0,-0.8698286,-0.1045285,0.4821537
35.00048,0,-0.867706,-0.3907311,-0.3072708
36.00451,0,-0.2364431,-0.4067366,-0.8824172
36.99653,0,-0.9207066,-0.3826835,0.07650468
37.99639,0,-0.4360497,-0.3705574,0.8200902
38.99302,0,-0.6066707,-0.08280822,-0.7906287
39.99659,0,-0.8932449,0.1434926,-0.426056
41.00123,0,-0.9996478,0.00436331,0.02617675
41.99743,0,-0.2682997,-0.2292004,0.9356722
43.00068,0,-0.3305583,-0.1391731,0.9334677
43.99572,0,0.7446651,-0.4226183,0.5165924
44.99229,0,0.4194258,-0.1822355,0.8893099
45.99639,0,0.9827963,-0.03053851,0.1821506
46.99965,0,0.9680002,0.01745241,-0.2503419
47.99221,0,0.9814777,0.01745241,-0.1907799
48.99208,0,0.9669632,0.0130896,-0.2545803
50.00017,1,0,1,-4.656613E-09
50.99965,1,0,1,-4.656613E-09
52.00405,1,-0.1243538,0.691513,0.7115799
52.99585,1,-0.115587,0.6658817,0.737049
53.9926,1,0.1963142,0.05233597,0.9791433
54.99568,1,0.9527612,-0.1045285,0.2851668
55.99235,1,0.5096253,0.126199,-0.8510912
56.99982,1,0.007153088,0.1175374,-0.9930427
58.00053,1,0.007153088,0.1175374,-0.9930427
58.99975,1,0.1538562,0.1175374,-0.9810777
60.00445,1,0.1072875,-0.0348995,-0.9936156
60.99613,1,-0.2496996,-0.1305262,-0.9594859
61.99583,1,0.6864576,0.04797813,-0.7255854
62.99284,1,0.9180683,0.1218694,-0.3772248
64.00012,1,0.6461067,0.190809,-0.7390118
64.99638,1,0.5456365,0.1348509,-0.8271011
65.99989,1,0.2767121,0.1088669,-0.9547663
67.00378,1,0.2767121,0.1088669,-0.9547663
67.99283,1,0.2767121,0.1088669,-0.9547663
68.99583,1,0.2767121,0.1088669,-0.9547663
69.99988,1,0.2767121,0.1088669,-0.9547663
70.99554,1,0.2394347,0.09150162,-0.9665912
71.99326,1,0.1459462,0.06975647,-0.9868304
72.99634,1,-0.1146277,0.03925982,-0.9926324
74.00047,1,-0.2092734,0.0348995,-0.9772343
74.9957,1,-0.453437,0.09150163,-0.8865792
75.99599,1,0.8228785,-0.03053851,-0.5673962
76.99585,1,0.3145829,-0.0130896,0.9491397
78.0004,1,0.2391563,-0.008726535,0.9709418
79.00017,1,-0.2231605,0.05233597,0.9733757
79.99623,1,-0.331659,0.06540313,0.9411295
80.99231,1,-0.331561,0.06975647,0.9408514
82.00035,1,0.7939093,0.03053852,0.6072689
82.99214,1,0.8457341,0.04361939,0.5318188
83.99576,1,0,1,-1.490116E-07
84.99251,1,0,1,-2.607703E-08
