time,progress,x,y,z
0,0,0,0,1
0.1881599,0,0,0,1
0.3961754,0,-0.1564285,-0.008726536,0.9876508
0.6000977,0,-0.4522201,0.4539905,0.7677171
0.791893,0,-0.5169816,0.6156615,0.5947193
0.9883804,0,-0.6266041,0.503774,0.5946251
1.199516,0,-0.781979,0.3746066,0.4981755
1.395905,0,-0.923948,0.2840154,0.2562333
1.599617,0,-0.9263012,0.2756374,0.2568859
1.792145,0,-0.9263012,0.2756374,0.2568859
1.992325,0,-0.8237419,0.5664063,-0.02516764
2.188095,0,0,1,-5.960464E-08
2.39196,0,0.466914,-0.5735765,-0.6730538
2.605606,0,0.2900926,-0.6327054,-0.7180043
2.799889,0,-0.1466363,-0.8767269,-0.4580916
2.989166,0,-0.1454687,-0.8788173,-0.4544441
3.188145,0,-0.6151523,-0.6883547,-0.38439
3.400078,0,-0.7766,-0.5983248,-0.1972314
3.59586,0,-0.8382154,-0.5112932,-0.1896688
3.805607,0,-0.8271371,-0.5299193,-0.1871619
4.005608,0,-0.9091718,-0.3907312,-0.1439986
4.187935,0,-0.9983062,0.01308946,-0.05668795
4.396252,0,-0.9852184,0.1693494,-0.02579896
4.605606,0,-0.9821138,0.1865239,0.02571754
4.80426,0,-0.9821138,0.1865239,0.02571754
5.004032,0,-0.9821138,0.1865239,0.02571754
5.199928,0,-0.9821138,0.1865239,0.02571754
5.388329,0,-0.9821138,0.1865239,0.02571754
5.596085,0,-0.9821138,0.1865239,0.02571754
5.805607,0,-0.975765,0.2079116,0.06823199
5.99213,0,-0.9574226,0.2206973,0.1861042
6.205605,0,-0.9198923,0.224951,0.3212405
6.396172,0,-0.8681701,0.2249509,0.4423547
6.600029,0,-0.6605671,0.1865239,0.7272276
6.804043,0,-0.5809325,0.1865239,0.7922918
6.996216,0,-0.4796439,0.1908089,0.8564658
7.190247,0,-0.3992638,0.1908089,0.8967611
7.405605,0,-0.3992638,0.1908089,0.8967611
7.605606,0,-0.3992638,0.1908089,0.8967611
7.805607,0,-0.3992638,0.1908089,0.8967611
7.996166,0,-0.3992638,0.1908089,0.8967611
8.195484,0,-0.3992638,0.1908089,0.8967611
8.387657,0,-0.3992638,0.1908089,0.8967611
8.591782,0,-0.3992638,0.1908089,0.8967611
8.796043,0,-0.3992638,0.1908089,0.8967611
9.005608,0,-0.3992638,0.1908089,0.8967611
9.205605,0,-0.3992638,0.1908089,0.8967611
9.400177,0,-0.3992638,0.1908089,0.8967611
9.591465,0,-0.3992638,0.1908089,0.8967611
9.787956,0,-0.3992638,0.1908089,0.8967611
10.00006,0,-0.3992638,0.1908089,0.8967611
10.2056,0,-0.3992638,0.1908089,0.8967611
10.39183,0,-0.3992638,0.1908089,0.8967611
10.60003,0,-0.3992638,0.1908089,0.8967611
10.80561,0,-0.4109678,0.1908089,0.891458
10.99171,0,-0.504281,0.1650475,0.8476202
11.20403,0,-0.5193713,0.1607424,0.8392946
11.38796,0,-0.5494678,0.1478093,0.8223367
11.60561,0,-0.6177684,-0.06540326,0.7836355
11.80035,0,-0.9667634,-0.2079118,0.1487992
12.00561,0,0.1017905,0.7431448,0.661343
