time,progress,x,y,z
0,0,0,0,1
0.2013779,0,0.03925832,0.008726536,0.999191
0.3942642,0,0.06972394,0.03053852,0.9970988
0.5905457,0,0.1950736,0.0130896,0.9807013
0.8013763,0,0.1950736,0.0130896,0.9807013
1.001373,0,0.1950736,0.0130896,0.9807013
1.201378,0,0.5549304,0.04797813,0.8305121
1.386475,0,0.7641784,0.06975648,0.6412218
1.590439,0,0.7583151,0.0741085,0.6476621
1.790497,0,0.5829988,0.06540313,0.8098363
1.986336,0,0.1433561,0.04361939,0.9887094
2.201378,0,0.05663883,0.04361939,0.9974414
2.401375,0,0.05228615,0.04361939,0.9976791
2.582924,0,0.05228615,0.04361939,0.9976791
2.782562,0,0.06537263,0.03053851,0.9973935
2.982643,0,0.1175363,0.00436331,0.993059
3.186615,0,0.1478094,0,0.9890159
3.394272,0,0.6224909,0.008726535,0.7825783
3.601372,0,0.6224909,0.008726535,0.7825783
3.790016,0,0.6224909,0.008726535,0.7825783
3.982735,0,0.9635479,-0.0130896,0.2672154
4.183006,0,0.9995718,-0.02617695,0.01308494
4.382454,0,0.9993148,-0.02617695,-0.02616819
4.586342,0,0.9994194,-0.02617695,-0.02180742
4.794594,0,0.9995717,-0.02617695,-0.01308506
4.982468,0,0.999724,-0.02181489,-0.008724501
5.190643,0,0.999724,-0.02181489,-0.008724501
5.390686,0,0.9996099,-0.01745241,0.02181152
5.594719,0,0.999505,-0.01745241,0.02617305
5.7948,0,0.962446,0.00436331,0.2714379
5.982239,0,0.962446,0.00436331,0.2714379
6.183228,0,0.962446,0.00436331,0.2714379
6.394302,0,0.939469,-0.02181489,0.3419387
6.594368,0,0.9379682,-0.02181489,0.3460346
6.794373,0,0.9379682,-0.02181489,0.3460346
6.994072,0,0.9379682,-0.02181489,0.3460346
7.194229,0,0.9379682,-0.02181489,0.3460346
7.395195,0,0.9148846,-0.03053851,0.4025588
7.591034,0,0.8844486,-0.0348995,0.4653309
7.782204,0,0.6087556,0.00436331,0.7933458
7.985939,0,0.6018093,0.00436331,0.7986279
8.186035,0,0.6018093,0.00436331,0.7986279
8.39061,0,0.6018093,0.00436331,0.7986279
8.599365,0,0.6018093,0.00436331,0.7986279
8.78241,0,0.5771397,0.00436331,0.8166338
8.982613,0,0.06104622,0.008726537,0.9980968
9.201378,0,0.05669063,0.008726535,0.9983537
9.382545,0,0.05669063,0.008726535,0.9983537
9.601372,0,0.04361773,0.008726536,0.9990102
9.790298,0,0.004363268,0.00436331,0.999981
9.983543,0,-0.0261767,0.004363309,0.9996478
10.18667,0,-0.04797767,0.00436331,0.9988389
10.40137,0,-0.05233546,0.00436331,0.99862
10.59431,0,-0.06540252,0.00436331,0.9978494
10.78364,0,-0.08715491,0.00436331,0.9961852
10.98399,0,-0.1391718,0.00436331,0.9902586
11.18271,0,-0.2713474,-0.02617695,0.9621254
11.38276,0,-0.2920934,-0.04361939,0.9553946
11.59016,0,-0.292035,-0.04797813,0.9552035
11.78756,0,-0.2960647,-0.05669279,0.9534839
11.98661,0,-0.2960647,-0.05669279,0.9534839
12.19424,0,-0.2960647,-0.05669279,0.9534839
12.38205,0,-0.2959885,-0.06104854,0.9532387
12.58241,0,-0.2959885,-0.06104854,0.9532387
12.78238,0,-0.4788408,-0.1564345,0.8638517
13.00137,0,-0.5299309,-0.1650476,0.8318248
13.19891,0,-0.7420719,-0.1822356,0.6450732
13.38361,0,-0.8550813,-0.186524,0.4837817
13.59801,0,-0.9052576,-0.190809,0.3796059
13.7903,0,-0.9101489,-0.190809,0.3677241
13.9904,0,-0.6519808,-0.2249511,0.724098
14.19061,0,-0.258443,-0.4146933,0.8724888
14.39083,0,0.3557091,-0.6915131,0.6287136
14.60137,0,0.4022534,-0.7040147,0.5852824
14.7907,0,0.008322645,-0.3007058,0.9536806
14.99762,0,-0.3413703,0.1650476,0.9253246
15.18625,0,-0.3657388,0.1607426,0.9167317
15.39026,0,-0.4681806,-0.07410849,0.8805196
15.59114,0,-0.4638427,-0.08715574,0.88162
15.78233,0,-0.4954184,-0.05669279,0.8668025
16.00137,0,-0.6259235,0,0.7798845
16.19521,0,-0.716302,0,0.6977904
16.40137,0,-0.7986279,-0.00436331,0.6018093
16.58342,0,-0.8314617,-0.00436331,0.555565
16.78624,0,-0.8503441,-0.00436331,0.526209
16.98819,0,-0.8526401,0,0.5224986
17.19134,0,-0.8526401,0,0.5224986
17.39106,0,-0.8526401,0,0.5224986
17.586,0,-0.8526401,0,0.5224986
17.79195,0,-0.8166105,-0.008726535,0.5771232
18.00038,0,-0.3906382,-0.02181489,0.9202858
18.18638,0,-0.386619,-0.02181489,0.9219815
18.39822,0,-0.386619,-0.02181489,0.9219815
18.60137,0,-0.386619,-0.02181489,0.9219815
18.78227,0,-0.386619,-0.02181489,0.9219815
19.00137,0,-0.386619,-0.02181489,0.9219815
19.18662,0,-0.386619,-0.02181489,0.9219815
19.40137,0,-0.386619,-0.02181489,0.9219815
19.59856,0,-0.386619,-0.02181489,0.9219815
19.80138,0,-0.2701907,-0.09584575,0.9580243
19.99455,0,-0.129334,-0.1348509,0.9823889
20.20138,0,-0.1250463,-0.1348509,0.9829439
20.40137,0,-0.1720621,-0.1348509,0.9758124
20.60137,0,-0.4705065,-0.1088669,0.875655
20.80138,0,-0.59183,-0.1001881,0.7998123
20.9906,0,-0.6494754,-0.1001881,0.7537533
21.18652,0,-0.642873,-0.1001881,0.7593923
21.39555,0,-0.5455346,-0.1001881,0.8320784
21.59502,0,-0.3192114,-0.1175374,0.9403664
21.80138,0,0.1122347,-0.1305262,0.9850717
22.00137,0,0.8036086,-0.1779435,0.5679343
22.19039,0,0.8918438,-0.1779435,0.4158735
22.3903,0,0.8979103,-0.1736482,0.4044792
22.59492,0,0.8979103,-0.1736482,0.4044792
22.7888,0,0.871466,-0.1607426,0.4633668
22.99069,0,-0.8614241,0.02181488,0.5074176
23.20138,0,-0.3452106,0.224951,-0.9111677
23.3867,0,0.1452808,0.2965416,-0.9439051
23.60137,0,-0.2588167,-0.004363318,-0.9659167
23.80138,0,-0.7834673,-0.1348509,-0.6066254
23.99,0,-0.7834673,-0.1348509,-0.6066254
24.18652,0,-0.7721505,-0.1132032,-0.6252751
24.39116,0,-0.7694146,-0.1132032,-0.6286383
24.58998,0,-0.7701504,-0.1045285,-0.6292394
24.80138,0,-0.7701504,-0.1045285,-0.6292394
24.9912,0,-0.7677422,-0.1001881,-0.6328779
25.19517,0,-0.7677422,-0.1001881,-0.6328779
25.3983,0,-0.7677422,-0.1001881,-0.6328779
25.58212,0,-0.7677422,-0.1001881,-0.6328779
25.80138,0,-0.7649734,-0.1001881,-0.6362218
25.98193,0,-0.7649734,-0.1001881,-0.6362218
26.18362,0,-0.7649734,-0.1001881,-0.6362218
26.38219,0,-0.7649734,-0.1001881,-0.6362218
26.58248,0,-0.7649734,-0.1001881,-0.6362218
26.78259,0,-0.7649734,-0.1001881,-0.6362218
26.98239,0,-0.7649734,-0.1001881,-0.6362218
27.1824,0,-0.7649734,-0.1001881,-0.6362218
27.39829,0,-0.7649734,-0.1001881,-0.6362218
27.58257,0,-0.7649734,-0.1001881,-0.6362218
27.80138,0,-0.7649734,-0.1001881,-0.6362218
27.98216,0,-0.7649734,-0.1001881,-0.6362218
28.20138,0,-0.7649734,-0.1001881,-0.6362218
28.40137,0,-0.7649734,-0.1001881,-0.6362218
28.59464,0,-0.7649734,-0.1001881,-0.6362218
28.78635,0,-0.7649734,-0.1001881,-0.6362218
28.99429,0,-0.7649734,-0.1001881,-0.6362218
29.18607,0,-0.7649734,-0.1001881,-0.6362218
29.39041,0,-0.8121678,-0.1045285,-0.5739836
29.58636,0,-0.8379701,-0.1132032,-0.5338459
29.79066,0,-0.8379701,-0.1132032,-0.5338459
29.98263,0,-0.8379701,-0.1132032,-0.5338459
30.19036,0,-0.8379701,-0.1132032,-0.5338459
30.39,0,-0.8379701,-0.1132032,-0.5338459
30.60137,0,-0.885673,-0.1434926,-0.4415802
30.79092,0,-0.8981679,-0.1478094,-0.4140613
30.98832,0,-0.8981679,-0.1478094,-0.4140613
31.19019,0,-0.8981679,-0.1478094,-0.4140613
31.38472,0,-0.8981679,-0.1478094,-0.4140613
31.60137,0,-0.8981679,-0.1478094,-0.4140613
31.78623,1,-0.8981679,-0.1478094,-0.4140613
32.00137,1,-0.8981679,-0.1478094,-0.4140613
32.19861,1,-0.8981679,-0.1478094,-0.4140613
32.38248,1,-0.8981679,-0.1478094,-0.4140613
32.60137,1,-0.8981679,-0.1478094,-0.4140613
32.78243,1,-0.8981679,-0.1478094,-0.4140613
32.98658,1,-0.8981679,-0.1478094,-0.4140613
33.20138,1,-0.9286589,-0.1305262,-0.3472114
33.40137,1,-0.9744255,-0.08715574,-0.2071206
33.59846,1,-0.9744255,-0.08715574,-0.2071206
33.78615,1,-0.9744255,-0.08715574,-0.2071206
33.98215,1,-0.9744255,-0.08715574,-0.2071206
34.18244,1,-0.9744255,-0.08715574,-0.2071206
34.39147,1,-0.9744255,-0.08715574,-0.2071206
34.58666,1,-0.9744255,-0.08715574,-0.2071206
34.79173,1,-0.9744255,-0.08715574,-0.2071206
34.99428,1,-0.9744255,-0.08715574,-0.2071206
35.19143,1,-0.9744255,-0.08715574,-0.2071206
35.39478,1,-0.9744255,-0.08715574,-0.2071206
35.58274,1,-0.9744255,-0.08715574,-0.2071206
35.80138,1,-0.9744255,-0.08715574,-0.2071206
35.99864,1,-0.9744255,-0.08715574,-0.2071206
36.19449,1,-0.9744255,-0.08715574,-0.2071206
36.40137,1,-0.9744255,-0.08715574,-0.2071206
36.59052,1,-0.9744255,-0.08715574,-0.2071206
36.78231,1,-0.9744255,-0.08715574,-0.2071206
36.98662,1,-0.9744255,-0.08715574,-0.2071206
37.19038,1,-0.9744255,-0.08715574,-0.2071206
37.38675,1,-0.9744255,-0.08715574,-0.2071206
37.59962,1,-0.9744255,-0.08715574,-0.2071206
37.78191,1,-0.9744255,-0.08715574,-0.2071206
37.98692,1,-0.9744255,-0.08715574,-0.2071206
38.18721,1,-0.9744255,-0.08715574,-0.2071206
38.38663,1,-0.9744255,-0.08715574,-0.2071206
38.60137,1,-0.9716308,-0.08715574,-0.2198576
38.80138,1,-0.9686698,-0.08715574,-0.2325571
38.99129,1,-0.9256195,-0.08280821,-0.3692848
39.19073,1,-0.910408,-0.08280823,-0.4053397
39.40137,1,-0.7061377,-0.05233596,-0.7061377
39.58693,1,-0.6149524,-0.04797813,-0.7871033
39.79067,1,-0.4377704,-0.05233596,-0.8975622
39.99153,1,-0.4258827,-0.05669279,-0.9030005
40.18239,1,-0.2075238,-0.06104854,-0.9763232
40.39019,1,-0.1692465,-0.0348995,-0.9849557
40.58218,1,-0.1692465,-0.0348995,-0.9849557
40.79047,1,-0.1692465,-0.0348995,-0.9849557
40.98302,1,-0.1260788,-0.04361939,-0.9910607
