time,progress,x,y,z
0,0,0,0,1
1.015965,0,0,0,1
1.999737,0,0,0,1
3.017296,0,-0.8036086,0.1779435,0.5679343
4.017296,0,-0.8381597,-0.0348995,0.5443072
5.000282,0,0.1298112,0.1045285,0.9860137
6.003819,0,0.6786393,0.02181489,0.7341477
6.999882,0,0.402099,0.05669279,0.9138393
8.005375,0,-0.3696548,-0.06975648,0.926547
9.017296,0,0.1339841,-0.1132032,0.9844965
10.008,0,0.3368241,-0.1736482,0.9254166
11.0173,0,0.3479382,-0.3705575,0.8611772
12.0173,0,0.1034163,-0.4067367,0.9076731
13.00388,0,-0.08326294,-0.4146933,0.9061439
14.00419,0,-0.4252743,-0.4924236,0.7593819
14.99984,0,-0.9998763,0.008726535,-0.0130889
16.00045,0,-0.2455536,0.06975648,-0.96687
17.00341,0,-0.5664063,0,-0.8241262
18.00792,0,-0.5664063,0,-0.8241262
19.00383,0,-0.9714686,-0.1434926,0.1888345
20.00386,0,-0.385756,-0.2121777,0.8978714
21.00361,0,-0.946849,-0.0130896,-0.3214118
22.01165,0,-0.8113809,-0.02181488,-0.5841106
23.01729,0,-0.5519317,-0.00436331,-0.833878
24.01156,0,-0.05665832,0.0348995,-0.9977835
25.01729,0,-0.1993603,-0.008726534,-0.9798874
26.00801,0,-0.9601548,-0.04797813,-0.27532
27.00391,0,-0.9433269,-0.08715575,0.3202162
28.00029,0,-0.4639748,-0.2334454,0.8545353
29.00788,0,-0.5523083,-0.1564345,0.8188307
30.01729,0,0.9634206,-0.1779435,0.2003917
31.00057,0,0.898044,0.1001881,0.428345
32.00474,0,0.8839645,0.08280822,0.4601627
33.00804,0,0.8819483,0.08280822,0.4640153
34.01157,0,0.8819483,0.08280822,0.4640153
35.01159,0,0.8301324,0.05669279,0.5546767
35.99973,0,0.6560528,0.00436331,0.7547024
36.9999,0,0.728364,0.00436331,0.6851765
37.99743,0,0.3826507,0.0130896,0.9238003
39.01729,0,-0.1776997,-0.05233596,0.9826921
40.01566,0,-0.3355744,-0.1175374,0.9346522
41.01729,0,-0.2232743,-0.1218694,0.9671072
42.012,0,-0.2571553,-0.1132032,0.9597167
43.01677,0,-0.300062,-0.06540313,0.9516749
44.00354,0,-0.3618551,-0.05669279,0.9305089
45.01181,0,-0.4383669,-0.004363309,0.8987855
46.00396,0,-0.4461809,0.008726536,0.8949003
47.01626,0,-0.4808743,-0.02181488,0.8765181
48.004,0,-0.5297377,-0.02617695,0.8477575
49.01729,0,-0.8029311,-0.04797813,0.5941378
50.00023,0,-0.9338722,-0.09584577,0.3445236
51.00413,0,-0.941255,-0.1218693,0.3149395
52.01729,0,-0.7912708,-0.1088669,0.6016964
53.01729,0,-0.9107035,-0.1175374,0.3959851
54.00571,0,-0.9940618,-0.06540313,0.0869692
55.00893,0,-0.963869,-0.04361939,-0.2627809
56.00782,0,-0.8805889,-0.02617695,-0.4731575
57.01597,0,-0.8012463,-0.00436331,-0.5983189
58.00779,0,-0.8549038,0.004363309,-0.5187682
59.01172,0,-0.8867069,0.02617695,-0.4615903
60.00389,0,-0.8687325,0.06104855,-0.491505
61.00776,0,-0.8265899,0,-0.5628049
62.00038,0,-0.7968646,-0.1045285,-0.5950469
63.0001,0,-0.4796908,-0.3461171,-0.8062878
64.01729,1,-0.5463524,-0.354291,-0.7589313
65.01187,1,-0.5472504,-0.3502074,-0.7601789
66.00792,1,-0.5472504,-0.3502074,-0.7601789
67.01729,1,-0.5524189,-0.3255681,-0.7673584
68.00824,1,-0.5524189,-0.3255681,-0.7673584
69.01219,1,-0.5690274,-0.3255682,-0.7551248
70.01729,1,0.8502286,-0.1045285,-0.5159314
71.01602,1,0.9702235,-0.04797813,0.2374121
72.01604,1,0.975333,-0.2206974,-0.00425595
73.00369,1,0.7619895,-0.2419219,-0.6007044
74.01207,1,0.7672029,-0.2419219,-0.5940319
75.01016,1,0.7672029,-0.2419219,-0.5940319
76.01302,1,0.7672029,-0.2419219,-0.5940319
77.00357,1,0.7672029,-0.2419219,-0.5940319
78.01729,1,0.7672029,-0.2419219,-0.5940319
79.00423,1,-0.008448673,-0.25038,-0.9681108
80.00027,1,0.02972548,-0.2292004,-0.9729254
81.0002,1,-0.06823213,-0.2079117,-0.975765
82.01167,1,-0.2035549,-0.2036418,-0.9576511
83.00375,1,-0.5568224,-0.2630312,-0.7878855
84.01729,1,-0.7603028,-0.25038,-0.5993744
84.99983,1,-0.9632698,-0.2588191,-0.07158328
86.01729,1,-0.9667146,-0.254602,0.02531421
87.00821,1,-0.9451987,-0.2164396,-0.244445
88.01729,1,-0.8392059,-0.2036418,-0.5042458
89.00812,1,-0.9648135,-0.2588191,-0.04634327
90.01218,1,-0.2495201,-0.08280822,0.9648225
91.01729,1,-0.5947695,0.7009092,0.3936693
92.01219,1,-0.2176707,-0.1650476,0.9619661
93.01205,1,-0.1586523,-0.1607426,0.9741618
94.01224,1,-0.198183,-0.1088669,0.9741004
95.00764,1,-0.6894174,0.6626201,0.2926403
96.00804,1,0,1,-2.980232E-08
