time,progress,x,y,z
0,0,0,0,1
0.205555,0,0,0,1
0.3878727,0,0,0,1
0.6044769,0,0,0,1
0.8055553,0,0,0,1
0.999424,0,0,0,1
1.200108,0,0,0,1
1.403667,0,0,0,1
1.603443,0,0,0,1
1.793522,0,0,0,1
2.004608,0,0,0,1
2.205555,0,0,0,1
2.400034,0,0,0,1
2.60076,0,0,0,1
2.800491,0,0,0,1
3.003387,0,0,0,1
3.205555,0,0,0,1
3.399605,0,0,0,1
3.58758,0,0,0,1
3.805555,0,0,0,1
4.00341,0,0,0,1
4.205555,0,0.2671137,-0.03053852,0.963181
4.404196,0,0.6548139,-0.3338069,0.6780795
4.604662,0,0.7981625,-0.3379167,0.4987473
4.793129,0,0.7903183,-0.3420202,0.5083497
5.000017,0,0.356664,-0.362438,0.861063
5.200012,0,0.2276911,-0.3379167,0.9132191
5.390503,0,0.1968779,-0.3214395,0.9262375
5.587879,0,0.201505,-0.3131638,0.9280755
5.788122,0,0.2095962,-0.3131638,0.9262818
5.996124,0,0.2657534,-0.3131638,0.9117585
6.199795,0,0.3986287,-0.2756374,0.8747109
6.396019,0,0.5130401,-0.25038,0.8210357
6.605555,0,0.6256761,-0.2292004,0.7456518
6.795963,0,0.7045522,-0.2206974,0.6744619
6.987621,0,0.7811036,-0.2714404,0.5623142
7.205555,0,0.7835498,-0.2714404,0.5589006
7.403419,0,0.7835498,-0.2714404,0.5589006
7.600368,0,0.7835498,-0.2714404,0.5589006
7.791744,0,0.865049,-0.2714404,0.4219126
7.996143,0,0.737631,-0.5877852,0.3322786
8.188972,0,0.4120631,-0.8849877,0.2167969
8.395855,0,0.2122486,-0.9713421,0.106982
8.595852,0,0.3160594,-0.8849876,0.3419112
8.805553,0,-0.1144942,-0.7518399,0.6493288
8.99987,0,-0.4507834,-0.6977904,0.5566711
9.195461,0,-0.5490235,-0.646124,0.5301858
9.405556,0,-0.9399325,-0.279829,0.1955063
9.599838,0,-0.9754124,-0.1950903,0.1025199
9.799538,0,-0.9758505,-0.1950903,0.09826294
9.987499,0,-0.9758505,-0.1950903,0.09826294
10.1921,0,-0.8567203,-0.2419219,0.4555263
10.39295,0,-0.6243666,-0.2376859,0.7440912
10.59968,0,-0.5799147,-0.2461533,0.7765999
10.80555,0,-0.56564,-0.25038,0.7857234
11.00043,0,-0.5195935,-0.254602,0.8155982
11.19571,0,-0.2546335,-0.4146933,0.8736082
11.38777,0,-0.3794346,-0.4226183,0.8230572
11.59569,0,-0.8735937,-0.4771588,0.09567415
11.8042,0,-0.916746,-0.3987492,-0.02400613
12.00437,0,-0.916746,-0.3987492,-0.02400613
12.19959,0,-0.916746,-0.3987492,-0.02400613
12.38762,0,-0.9165015,-0.3987491,-0.03200491
12.59569,0,-0.8978713,-0.3947439,-0.194947
12.80352,0,-0.8978713,-0.3947439,-0.194947
12.99558,0,-0.9601547,-0.2756374,0.04611954
13.19178,0,-0.9315323,-0.2419219,0.2715169
13.40556,0,-0.9117798,-0.2419219,0.3318607
13.59177,0,-0.9117798,-0.2419219,0.3318607
13.79794,0,-0.9306433,-0.25038,0.2668577
13.99554,0,-0.9541637,-0.25038,0.1639554
14.19151,0,-0.9541637,-0.25038,0.1639554
14.40397,0,-0.9562809,-0.2419219,0.1643191
14.59153,0,-0.9588198,-0.2249511,0.1733829
14.79996,0,-0.962374,-0.224951,0.152425
15.00555,0,-0.9710236,-0.224951,0.08068579
15.20365,0,-0.9680061,-0.2376859,0.0804349
15.39577,0,-0.8427848,-0.4422887,0.3067484
15.59948,0,-0.7463911,-0.4656146,0.4755035
15.79554,0,-0.6112449,-0.3379167,0.7156759
15.99657,0,-0.43053,-0.3173047,0.8449625
16.19172,0,-0.43053,-0.3173047,0.8449625
16.39564,0,0.1322797,-0.4461979,0.8851042
16.60555,0,0.28952,-0.4344453,0.8528983
16.80025,0,0.3345653,-0.358368,0.8715724
16.98783,0,0.3206221,-0.1736482,0.931154
17.1918,0,0.2487705,-0.1132032,0.9619243
17.40556,0,0.06540065,0.008726536,0.9978209
17.60555,0,0.03489916,0.00436331,0.9993813
17.78775,0,-0.0261767,0.004363309,0.9996478
17.9996,0,-0.3518353,-0.1175374,0.9286533
18.2039,0,-0.710268,-0.1822356,0.6799335
18.38779,0,-0.710268,-0.1822356,0.6799335
18.59351,0,-0.8478782,-0.1779435,0.4994384
18.7877,0,-0.9634883,-0.1348509,0.231313
18.98792,0,-0.9683051,-0.1348509,0.2102395
19.20111,0,-0.9683051,-0.1348509,0.2102395
19.39566,0,-0.9683051,-0.1348509,0.2102395
19.59537,0,-0.9850953,-0.1434927,0.09485371
19.79289,0,-0.985967,-0.1478094,0.07759726
20.00555,0,-0.985967,-0.1478094,0.07759726
20.19602,0,-0.985967,-0.1478094,0.07759726
20.38731,0,-0.985967,-0.1478094,0.07759726
20.60395,0,-0.9745566,-0.1993679,0.1024299
20.7995,0,-0.8777385,-0.1950903,-0.4376244
20.98744,0,-0.8777385,-0.1950903,-0.4376244
21.20555,0,-0.7177206,-0.1132032,-0.6870679
21.40556,0,-0.6505178,-0.08280821,-0.7549632
21.59147,0,-0.6505178,-0.08280821,-0.7549632
21.80555,0,-0.6595695,-0.09584575,-0.7455075
21.98759,0,-0.7998518,-0.1693495,-0.5758109
22.18782,0,-0.9018189,-0.2249511,-0.3689439
22.40556,0,-0.3582198,-0.1521234,0.9211607
