time,progress,x,y,z
0,0,0,0,1
0.9883652,0,0,0,1
1.992188,0,0,0,1
2.995872,0,0,0,1
3.988586,0,-0.85396,-0.2923717,0.4304312
4.991798,0,-0.9098712,-0.1088669,0.4003529
5.988945,0,-0.9098712,-0.1088669,0.4003529
6.998413,0,-0.8681988,0,0.4962165
7.988152,0,-0.6943344,0.03053851,0.7190043
8.996437,0,-0.6943344,0.03053851,0.7190043
9.988632,0,-0.9187126,0.0130896,-0.39471
10.98852,0,-0.9810187,0.09584575,-0.1685698
11.98853,0,-0.4664538,0.1132032,-0.8772721
12.9879,0,-0.4626215,0.1132032,-0.8792988
13.98855,0,-0.3847653,0.1001881,-0.9175611
14.98851,0,0.07409711,0.01745241,-0.9970983
15.98959,0,0.8236243,-0.0348995,-0.5660611
16.98853,0,0.6269257,0.08715574,-0.7741888
17.9884,0,0.8209902,0.08715574,-0.5642509
18.99697,0,0.8209902,0.08715574,-0.5642509
19.98837,0,0.9484003,0.1175374,-0.2944863
21.00208,0,0.9852825,0.06975648,0.1560534
21.99641,0,0.9775378,0.06975648,0.1988821
23.00032,0,0.8828319,0.06975647,0.4644803
23.98825,0,0.2505388,0.1779436,0.9516125
24.99422,0,0.02139566,0.1950903,0.9805519
25.992,0,0.2987728,0.1132032,0.9475863
26.99667,0,0.5244353,0.1434926,0.839272
27.99624,0,0.7192303,-0.01745241,0.6945525
28.99745,0,0.8452127,-0.0348995,0.5332894
29.98861,0,0.5031938,-0.04797813,0.8628407
30.99409,0,0.5218969,-0.04797813,0.8516582
31.99275,0,0.4769361,-0.03053852,0.8784073
33.00787,0,0.1218648,-0.008726537,0.9925084
33.99741,0,-0.2670324,-0.03925982,0.9628875
34.99673,0,-0.8949259,-0.00436331,0.4461935
35.99289,0,-0.98393,-0.1564345,0.08608276
37.00156,0,-0.9712501,-0.04797813,-0.2331759
37.98859,0,-0.2878648,0.04797813,-0.9564686
38.98858,0,-0.9999049,0.0130896,0.004362714
40.00005,0,-0.5387052,-0.09150163,0.8375108
40.98833,0,-0.004348236,-0.08280822,0.996556
41.99226,0,0.0260872,-0.08280822,0.996224
42.99657,0,-0.7924527,-0.1478094,0.5917526
43.98817,0,-0.239852,-0.1305262,0.9619948
44.99199,0,-0.239852,-0.1305262,0.9619948
45.99605,0,-0.8524717,-0.1045285,0.5122166
46.9964,0,-0.9767753,-0.03053851,-0.2120785
47.99667,0,0.08685594,-0.0828082,-0.9927733
48.99004,0,-0.6850963,-0.3048643,-0.6615896
50.00024,0,0.2806318,-0.4186598,-0.8636954
50.99622,1,0.7149884,-0.190809,-0.6725948
51.98792,1,0.7149884,-0.190809,-0.6725948
52.98792,1,0.7149884,-0.190809,-0.6725948
53.99564,1,0.7149884,-0.190809,-0.6725948
54.99243,1,0.7149884,-0.190809,-0.6725948
55.98816,1,0.7149884,-0.190809,-0.6725948
56.99179,1,0.7149884,-0.190809,-0.6725948
57.98904,1,0.7149884,-0.190809,-0.6725948
58.99236,1,0.7149884,-0.190809,-0.6725948
59.99246,1,0.7149884,-0.190809,-0.6725948
60.99344,1,0.7149884,-0.190809,-0.6725948
61.99219,1,-0.5365634,-0.05233597,-0.8422357
62.9967,1,-0.9165334,-0.1391731,-0.3749635
63.99213,1,-0.7799789,-0.2419219,0.5771539
64.99193,1,0.5767292,-0.2206974,0.7865596
65.98904,1,0.9090952,0.04361939,-0.4142985
66.9926,1,0.8111956,0.03053852,-0.5839774
67.98796,1,0.8111956,0.03053852,-0.5839774
68.98892,1,-0.09144599,0.0348995,-0.9951983
70.00009,1,-0.8888056,-0.02181489,-0.4577652
70.99683,1,-0.545993,-0.09150162,-0.8327778
71.99178,1,-0.3946837,0.01745241,-0.9186512
72.9882,1,-0.3582827,0.02181489,-0.9333584
73.99239,1,-0.3582827,0.02181489,-0.9333584
74.99217,1,0.6494418,0.004363309,-0.7603987
75.99248,1,0.9632698,0.0741085,-0.2581075
76.98795,1,0.9632698,0.0741085,-0.2581075
77.98833,1,0.8007979,0.08715574,-0.5925595
78.99316,1,0.8110176,0.08715574,-0.578493
80.00024,1,0.7066121,0.1001881,-0.7004728
80.99648,1,0.4365321,0.09150163,-0.8950237
81.99184,1,0.1475717,0.05669279,-0.9874254
82.99625,1,-0.491955,0.04361938,-0.8695272
83.9977,1,-0.6619896,0.04361939,-0.7482429
84.98869,1,-0.927175,-0.00436331,-0.3746029
85.99236,1,-0.9378987,0.1001881,0.3321273
86.98914,1,-0.8205776,0.1779435,0.5431284
87.98814,1,-0.8205776,0.1779435,0.5431284
88.99673,1,-0.9834041,0.1391731,0.1163935
89.99654,1,-0.8817375,0.05233596,-0.4688281
90.98825,1,-0.6439049,-0.08280821,0.7606111
91.98869,1,0.2713991,0.01745241,0.9623086
92.99359,1,0.5948172,-0.00436331,0.8038492
93.99655,1,-0.4991958,-0.05669278,0.8646325
94.99641,1,-0.4991958,-0.05669278,0.8646325
95.99608,1,-0.9523867,0.00436331,-0.3048614
96.99632,1,-0.2460947,0.02181488,0.9690003
97.98868,1,-0.2460947,0.02181488,0.9690003
98.99219,1,-0.5064259,0.7101853,-0.4890497
99.98866,1,-0.2357476,0.927184,-0.2911242
100.9919,1,-0.2886147,0.8480481,-0.4444277
