time,progress,x,y,z
0,0,0,0,1
0.2058458,0,0,0,1
0.4095354,0,0,0,1
0.6018505,0,0,0,1
0.8142271,0,0,0,1
1.002875,0,0,0,1
1.206983,0,0,0,1
1.398437,0,0,0,1
1.606387,0,0,0,1
1.798676,0,0,0,1
1.997917,0,0,0,1
2.201615,0,0,0,1
2.403295,0,0,0,1
2.597507,0,0,0,1
2.810882,0,0,0,1
3.006202,0,-0.5109817,0.0348995,0.8588828
3.198446,0,-0.9099526,0.00436331,0.4146893
3.399001,0,-0.9099612,0,0.4146933
3.604071,0,-0.9099612,0,0.4146933
3.80047,0,-0.9099612,0,0.4146933
3.999308,0,-0.9099612,0,0.4146933
4.207273,0,-0.9099612,0,0.4146933
4.395494,0,-0.9099612,0,0.4146933
4.610491,0,-0.5725067,0.06104854,0.8176242
4.79546,0,0.9862354,0.03925982,0.1606186
4.998392,0,0.989665,0.0348995,0.1390883
5.205984,0,0.989665,0.0348995,0.1390883
5.402061,0,0.989665,0.0348995,0.1390883
5.597462,0,0.9582593,0.06104855,0.2793069
5.806147,0,0.9615675,0.06540313,0.266666
5.99839,0,0.9615675,0.06540313,0.266666
6.198252,0,0.9615675,0.06540313,0.266666
6.409451,0,0.9615675,0.06540313,0.266666
6.602671,0,0.9615675,0.06540313,0.266666
6.801517,0,0.9615675,0.06540313,0.266666
6.998995,0,0.9615675,0.06540313,0.266666
7.20611,0,0.9615675,0.06540313,0.266666
7.410091,0,0.9615675,0.06540313,0.266666
7.609806,0,0.9615675,0.06540313,0.266666
7.797571,0,0.9615675,0.06540313,0.266666
8.009525,0,0.9615675,0.06540313,0.266666
8.205795,0,0.9615675,0.06540313,0.266666
8.407204,0,0.9870954,0.08715574,0.1343377
8.603579,0,0.9994479,-0.0130896,-0.03053586
8.810829,0,0.9988105,-0.02181488,-0.04360897
8.998251,0,0.9988105,-0.02181488,-0.04360897
9.201956,0,0.9988105,-0.02181488,-0.04360897
9.40197,0,0.9988105,-0.02181488,-0.04360897
9.606255,0,0.9988105,-0.02181488,-0.04360897
9.798197,0,0.9988105,-0.02181488,-0.04360897
9.998152,0,0.9988105,-0.02181488,-0.04360897
10.20572,0,0.9988105,-0.02181488,-0.04360897
10.40737,0,0.9988105,-0.02181488,-0.04360897
10.60614,0,0.9988105,-0.02181488,-0.04360897
10.80208,0,0.9988105,-0.02181488,-0.04360897
11.00713,0,0.9749385,-0.09150163,0.2027874
11.20211,0,0.6250657,-0.05233596,0.7788157
11.39815,0,0.5549304,-0.04797813,0.8305121
11.60965,0,0.5549304,-0.04797813,0.8305121
11.80547,0,0.5549304,-0.04797813,0.8305121
12.0021,0,0.5549304,-0.04797813,0.8305121
12.19739,0,0.5549304,-0.04797813,0.8305121
12.40201,0,0.5549304,-0.04797813,0.8305121
12.60215,0,0.5549304,-0.04797813,0.8305121
12.8026,0,0.5549304,-0.04797813,0.8305121
12.99788,0,0.704008,-0.00436331,0.7101786
13.21432,0,0.6259176,-0.00436331,0.7798771
13.39838,0,-0.05668416,-0.01745241,0.9982396
13.6021,0,-0.06539318,-0.01745241,0.9977069
13.81005,0,-0.06539318,-0.01745241,0.9977069
13.99887,0,0.321363,0.02181489,0.9467047
14.21119,0,0.3542067,0.02181488,0.9349127
14.39803,0,0.3542067,0.02181488,0.9349127
14.59763,0,0.3542067,0.02181488,0.9349127
14.80704,0,0.3542067,0.02181488,0.9349127
15.00554,0,0.3542067,0.02181488,0.9349127
15.20633,0,0.3542067,0.02181488,0.9349127
15.41016,0,0.3542067,0.02181488,0.9349127
15.60579,0,0.3542067,0.02181488,0.9349127
15.80638,0,0.3542067,0.02181488,0.9349127
16.01167,0,0.5518057,0.02181489,0.8336874
16.21014,0,0.6426897,0.01745241,0.7659278
16.40555,0,0.6426897,0.01745241,0.7659278
16.60165,0,0.6426897,0.01745241,0.7659278
16.81468,0,0.6426897,0.01745241,0.7659278
17.00579,0,0.6426897,0.01745241,0.7659278
17.20182,0,0.6426897,0.01745241,0.7659278
17.39776,0,0.6426897,0.01745241,0.7659278
17.59959,0,0.8313429,0.01745241,0.5554857
17.79921,0,0.9062303,-0.0130896,0.4225819
18.00586,0,0.9080654,-0.0130896,0.4186239
18.20191,0,0.9080654,-0.0130896,0.4186239
18.3984,0,0.9080654,-0.0130896,0.4186239
18.60639,0,0.9080654,-0.0130896,0.4186239
18.80188,0,0.9080654,-0.0130896,0.4186239
18.99826,0,0.9080654,-0.0130896,0.4186239
19.20632,0,0.9080654,-0.0130896,0.4186239
19.40283,0,0.9080654,-0.0130896,0.4186239
19.60594,0,0.9080654,-0.0130896,0.4186239
19.80297,0,0.5990832,-0.4539905,0.6595392
20.01008,0,0.28679,-0.4733197,0.8328986
20.21019,0,0.3445556,-0.4146933,0.842206
20.3978,0,0.4365322,-0.09150163,0.8950235
20.59777,0,0.4381041,-0.03489949,0.8982465
20.79806,0,0.4381041,-0.03489949,0.8982465
20.99813,0,0.4381041,-0.03489949,0.8982465
21.19763,0,0.4381041,-0.03489949,0.8982465
21.39781,0,0.4381041,-0.03489949,0.8982465
21.59821,0,0.4381041,-0.03489949,0.8982465
21.79887,0,0.4381041,-0.03489949,0.8982465
22.01125,0,0.4381041,-0.03489949,0.8982465
22.20586,0,0.4381041,-0.03489949,0.8982465
22.40227,0,0.4381041,-0.03489949,0.8982465
22.60263,0,0.4381041,-0.03489949,0.8982465
22.81485,0,0.4381041,-0.03489949,0.8982465
23.00974,0,0.4381041,-0.03489949,0.8982465
23.20575,0,0.4381041,-0.03489949,0.8982465
23.40197,0,0.4381041,-0.03489949,0.8982465
23.60218,0,0.2672383,0,0.9636304
23.80297,0,0.1088006,0.0348995,0.9934508
23.99785,0,0,0.01745241,0.9998477
24.21,0,0,0.01745241,0.9998477
24.40182,0,0,0.01745241,0.9998477
24.6095,0,0,0.01745241,0.9998477
24.81199,0,0,0.01745241,0.9998477
25.01065,0,0,0.01745241,0.9998477
25.19827,0,0,0.01745241,0.9998477
25.40163,0,0,0.01745241,0.9998477
25.6046,0,0,0.01745241,0.9998477
25.80573,0,0,0.01745241,0.9998477
26.00555,0,0,0.01745241,0.9998477
26.20658,0,0,0.01745241,0.9998477
26.40213,0,0,0.01745241,0.9998477
26.60633,0,-0.2545995,-0.00436331,0.9670367
26.80996,0,-0.2714301,-0.008726536,0.9624186
27.01043,0,-0.2714301,-0.008726536,0.9624186
27.19822,0,-0.2714301,-0.008726536,0.9624186
