time,progress,x,y,z
0,0,0,0,1
0.9947529,0,0,0,1
1.994312,0,0,0,1
2.995625,0,0,0,1
3.995966,0,-0.0887066,0.6560591,0.7494783
4.990492,0,-0.4337903,-0.1950903,0.8796396
5.99262,0,-0.6372628,-0.1650476,0.7527652
6.994753,0,0.2453945,-0.07845911,0.9662431
7.99655,0,0.5660613,-0.0348995,0.8236241
8.990763,0,0.8526025,-0.1607426,0.4972231
9.990805,0,0.9381906,-0.279829,0.2037011
10.99136,0,0.6255819,-0.3665012,-0.6887121
11.99058,0,0.8538509,-0.254602,-0.4540006
12.99105,0,0.9695289,-0.1175374,-0.2149395
13.99467,0,0.7364938,-0.1001881,0.6689838
14.99524,0,0.3986542,-0.02181488,0.9168418
15.99049,0,0.256886,-0.2756374,0.926301
16.99537,0,-0.00410017,-0.3420202,0.9396837
17.99485,0,-0.00410017,-0.3420202,0.9396837
18.99068,0,-0.5977694,-0.2965416,0.7448052
19.99048,0,-0.9567526,-0.279829,-0.07949989
20.99168,0,-0.8651392,0.4617486,0.1957609
21.99479,0,-0.7728887,0.1045285,-0.6258729
22.99438,0,-0.9889312,0.0130896,0.1477967
23.99057,0,-0.9720742,-0.1391731,0.1889521
24.99487,0,-0.9714686,-0.1434926,0.1888345
25.99556,0,-0.7805929,-0.3786486,0.4972926
26.99489,0,-0.6783415,-0.309017,0.6666043
27.99443,0,-0.921139,-0.386711,0.04424552
28.99107,0,-0.921139,-0.386711,0.04424552
29.99061,0,-0.6851317,-0.1650476,-0.7094747
30.99102,0,-0.9803469,-0.186524,-0.06425525
31.99143,0,-0.9965758,-0.0784591,0.02609633
32.99058,0,-0.5371697,-0.1650476,0.8271686
33.99428,0,-0.5371697,-0.1650476,0.8271686
34.99094,0,-0.7014418,-0.1564345,0.6953471
35.99523,0,-0.7436708,-0.224951,0.6295639
36.99096,0,-0.32445,0.08280821,0.9422712
37.99454,0,-0.8859447,0.3907311,0.2498623
38.99071,0,-0.9181606,-0.1391731,-0.3709609
39.99072,0,0.9710093,-0.2376859,0.0254268
40.99075,0,0.8819308,0.04797813,0.4689309
41.99099,0,0.967046,0,0.254602
42.99512,0,0.9796557,-0.1950903,-0.04705628
43.99451,0,0.913576,-0.2206974,-0.341572
44.9946,0,0.913576,-0.2206974,-0.341572
45.99066,0,0.8360315,-0.2206974,-0.5023383
46.99087,0,0.899546,-0.2121777,-0.3818346
47.99065,1,0.9044669,-0.2121777,-0.3700272
48.99073,1,-0.3322801,0.4617486,0.8224221
49.99145,1,0.8995005,0.1045285,0.4242319
50.99509,1,0.5885696,-0.2334453,-0.7740084
51.99463,1,0.3252583,-0.04361939,-0.9446189
52.99089,1,-0.1548461,-0.3461171,-0.9253249
53.99465,1,-0.6857353,-0.08715574,-0.722614
54.99107,1,-0.9885727,0.1132032,-0.09954421
55.99541,1,-0.4271356,-0.2249511,-0.8757581
56.99064,1,-0.04644996,-0.25038,-0.9670327
57.99512,1,0.3021365,-0.2630312,-0.9162576
58.99163,1,0.1276945,-0.3214395,-0.9382808
