time,progress,x,y,z
0,0,0,0,1
0.9923401,0,-0.998763,0.03925982,0.03051509
1.988495,0,-0.9439979,-0.05669279,0.3250445
2.984215,0,-0.9017262,-0.04361939,0.4301014
3.984238,0,-0.9922062,-0.02617695,-0.1218277
4.984215,0,-0.7797658,-0.01745241,-0.625828
5.987907,0,-0.2756269,-0.008726534,-0.961225
6.996223,0,0.8443677,-0.05669279,-0.5327563
8.003098,0,0.1202845,-0.1607426,-0.9796395
9.003098,0,-0.5530509,-0.1478094,0.8199311
9.99276,0,-0.4422213,0.01745241,-0.8967363
10.9885,0,0.8357767,0.0348995,-0.5479592
12.00156,0,0.9727863,0.0348995,-0.2290608
12.99274,0,0.9295323,0.190809,0.3155337
13.99195,0,0.9284825,0.1434926,0.3425351
14.98415,0,0.8967834,0.1132032,0.4277438
15.99218,0,0.8967834,0.1132032,0.4277438
16.98866,0,0.6598404,0.09150162,0.7458138
17.98502,0,-0.02181468,-0.00436331,0.9997525
18.9966,0,-0.8263065,0.02617695,0.5626121
19.99822,0,0.4437535,-0.1045285,0.8900318
20.98816,0,-0.1216733,-0.05669279,0.9909498
21.98783,0,-0.1216733,-0.05669279,0.9909498
22.99249,0,-0.1216733,-0.05669279,0.9909498
23.99191,0,-0.2200906,-0.0741085,0.9726603
24.9845,0,-0.5124468,-0.1001881,0.8528545
25.98446,0,0.1869784,-0.1993679,0.9619207
26.98501,0,-0.6418292,-0.1822355,0.7448795
28.0031,0,-0.7276329,-0.4539905,0.5142401
28.99348,0,-0.3724961,-0.2292004,0.8992851
29.99706,0,-0.4823937,-0.2630312,0.8355303
30.98837,0,-0.899439,-0.1950903,0.3910872
32.00027,0,-0.9031951,-0.08280822,-0.4211669
33.0031,0,-0.9618132,-0.0784591,-0.2622205
34.00126,0,-0.9618132,-0.0784591,-0.2622205
34.99247,0,-0.9447151,-0.08715574,-0.3160973
35.99145,0,-0.9375947,-0.08715574,-0.336631
36.98558,0,-0.9078808,-0.1650476,-0.3853727
38.0031,0,-0.783909,-0.1736482,-0.5960983
39.0031,1,-0.01225045,0.9883615,0.1516294
39.98453,1,-0.01104783,0.9953961,0.09520693
40.98887,1,-0.01094358,0.9958049,0.09084478
41.99625,1,-0.03431559,0.9659259,0.256534
42.98789,1,-0.02527414,0.9848078,0.171799
43.98874,1,-0.03877506,0.9753423,0.2172644
44.98479,1,0.002202356,0.9988484,0.04792763
46.00021,1,0.3350196,0.5842496,0.7391984
46.98483,1,0.9944999,-0.1045285,-0.006613023
48.00221,1,-0.9887977,0.1132032,-0.09728404
49.0031,1,-0.3111429,-0.01745241,-0.950203
49.99618,1,0.4283448,-0.02181489,-0.9033522
50.98824,1,0.4209277,-0.1865241,-0.88771
51.98489,1,0.4027843,-0.09584576,-0.9102629
53.0005,1,0.4032574,-0.08280821,-0.9113321
53.9843,1,0.9807698,-0.06540313,0.1838831
54.9959,1,0.03214371,-0.1693495,-0.9850318
55.9884,1,0.00636555,-0.1521234,-0.9883411
56.99596,1,-0.3803159,-0.1521234,-0.9122599
58.0031,1,-0.7286875,-0.1650476,-0.6646608
58.98811,1,-0.7941716,-0.1650476,-0.5848511
60.00101,1,-0.7941716,-0.1650476,-0.5848511
61.00156,1,-0.7941716,-0.1650476,-0.5848511
61.98794,1,-0.7941716,-0.1650476,-0.5848511
62.98396,1,-0.7941716,-0.1650476,-0.5848511
63.98792,1,-0.578482,-0.1607426,-0.7997003
64.99244,1,-0.9852784,-0.1607426,0.05820796
66.00309,1,-0.3025969,-0.04361939,-0.9521199
66.99664,1,0.2134715,-0.08280823,-0.9734337
67.99642,1,0.2848067,-0.09150162,-0.9542079
68.98426,1,0.8746165,-0.04797813,-0.4824356
69.99628,1,0.8767133,-0.04797813,-0.4786145
70.99621,1,0.8865902,-0.1822356,0.4251446
72.00309,1,-0.01477793,-0.2249511,0.974258
73.00309,1,-0.538722,-0.0348995,0.8417604
74.00309,1,-0.7468628,-0.03925982,0.6638183
75.00153,1,-0.6063413,0.1175374,-0.7864702
75.98898,1,0.3911483,-0.08715574,-0.9161915
77.00309,1,0.6159514,-0.2588191,-0.7440543
77.99232,1,-0.5598902,-0.2036418,-0.803152
78.98838,1,-0.7820595,-0.1779435,-0.5972598
80.00309,1,-0.7758977,-0.1175374,-0.6198129
80.9963,1,-0.6965277,-0.1305262,-0.7055582
81.98421,1,0.09309907,-0.1001881,-0.9906034
82.98466,1,-0.8369907,-0.1693495,-0.5203531
84.00309,1,-0.8369907,-0.1693495,-0.5203531
84.98939,1,-0.8441593,-0.1305262,0.5199596
85.98864,1,-0.9533674,-0.06975648,-0.2936406
86.9882,1,-0.9533674,-0.06975648,-0.2936406
87.98837,1,-0.9530674,-0.0741085,-0.293548
88.99603,1,-0.9208558,-0.2419219,-0.305775
90.00309,1,-0.8540808,-0.4305111,-0.2919014
90.99262,1,-0.9097878,-0.4146933,-0.01777102
92.00309,1,-0.9410124,-0.3338069,-0.05539584
93.00309,1,-0.7073929,0.6755903,-0.2077815
93.99636,1,-0.8080912,0.5555702,-0.1957819
94.99294,1,-0.590964,0.4809888,-0.64762
95.98432,1,-0.7331733,0.354291,-0.5804608
96.98809,1,-0.6128256,-0.2164396,-0.7599991
97.99607,1,-0.4319622,0.1950903,-0.8805388
99.00309,1,-0.4315832,0.1993679,-0.8797663
99.98852,1,-0.4315832,0.1993679,-0.8797663
100.9929,1,-0.4340634,0.1693495,-0.884822
102.0031,1,0.9199575,0.1434926,-0.3648127
102.9844,1,0.3686273,0,0.9295773
103.9847,1,0.9766396,-0.01745241,0.2141744
105.0001,1,0.9766396,-0.01745241,0.2141744
105.9851,1,-0.02387318,0.03925982,0.9989438
107.0012,1,0.8736107,0,0.4866254
