time,progress,x,y,z
0,0,0,0,1
0.1876154,0,0,0,1
0.4009705,0,-0.56563,0.05233596,0.8229968
0.5904942,0,-0.7013357,0.08715574,0.7074829
0.8062353,0,-0.6982421,0.08715574,0.7105364
0.993187,0,-0.5321472,0.0741085,0.8434022
1.191679,0,-0.5321472,0.0741085,0.8434022
1.387994,0,-0.4872776,0.07410849,0.8700968
1.595403,0,-0.1085313,0.07845911,0.990992
1.797089,0,-0.1085313,0.07845911,0.990992
1.997622,0,-0.1085313,0.07845911,0.990992
2.204857,0,-0.1085313,0.07845911,0.990992
2.399943,0,-0.1085313,0.07845911,0.990992
2.589186,0,-0.1085313,0.07845911,0.990992
2.791903,0,-0.1085313,0.07845911,0.990992
3.005803,0,-0.1085313,0.07845911,0.990992
3.191491,0,-0.1085313,0.07845911,0.990992
3.388289,0,-0.1085313,0.07845911,0.990992
3.599762,0,-0.1085313,0.07845911,0.990992
3.799695,0,-0.2371069,0.06975649,0.9689759
3.990058,0,-0.6994085,0.06540313,0.7117233
4.195164,0,-0.8021358,0.06540313,0.5935492
4.406236,0,-0.8021358,0.06540313,0.5935492
4.599671,0,-0.8021358,0.06540313,0.5935492
4.788817,0,-0.8021358,0.06540313,0.5935492
4.991702,0,-0.8021358,0.06540313,0.5935492
5.206236,0,-0.8021358,0.06540313,0.5935492
5.39982,0,-0.8021358,0.06540313,0.5935492
5.595925,0,-0.8021358,0.06540313,0.5935492
5.806235,0,-0.8021358,0.06540313,0.5935492
5.991517,0,-0.8021358,0.06540313,0.5935492
6.199698,0,-0.934873,0.2881963,0.2072565
6.390624,0,-0.9668987,0.254602,-0.01687742
6.594393,0,-0.9679027,0.2461533,-0.05072566
6.806235,0,-0.8365164,0.2588191,0.4829629
6.991121,0,-0.7846197,0.186524,0.5912535
7.191776,0,-0.7835858,0.1564345,0.6012666
7.398743,0,-0.830512,0.04797813,0.5549305
7.596098,0,-0.8386387,0.008726536,0.5446183
7.806236,0,-0.8334969,-0.03053851,0.5516796
7.996174,0,-0.8349412,-0.05669279,0.5474114
8.196003,0,-0.8349412,-0.05669279,0.5474114
8.406235,0,-0.8349412,-0.05669279,0.5474114
8.590982,0,-0.8349412,-0.05669279,0.5474114
8.79953,0,-0.8349412,-0.05669279,0.5474114
8.987535,0,-0.8349412,-0.05669279,0.5474114
9.195587,0,-0.8349412,-0.05669279,0.5474114
9.391886,0,-0.8349412,-0.05669279,0.5474114
9.601295,0,-0.8349412,-0.05669279,0.5474114
9.787119,0,-0.8349412,-0.05669279,0.5474114
9.991219,0,-0.8349412,-0.05669279,0.5474114
10.19905,0,-0.8349412,-0.05669279,0.5474114
10.3915,0,-0.8349412,-0.05669279,0.5474114
10.59957,0,-0.8349412,-0.05669279,0.5474114
10.80623,0,-0.8349412,-0.05669279,0.5474114
11.00624,0,-0.8349412,-0.05669279,0.5474114
11.18745,0,-0.8349412,-0.05669279,0.5474114
11.39922,0,-0.8349412,-0.05669279,0.5474114
11.59146,0,-0.8349412,-0.05669279,0.5474114
11.78975,0,-0.8349412,-0.05669279,0.5474114
11.99978,0,-0.8349412,-0.05669279,0.5474114
12.18941,0,-0.8349412,-0.05669279,0.5474114
12.38953,0,-0.8349412,-0.05669279,0.5474114
12.60624,0,-0.8349412,-0.05669279,0.5474114
