time,progress,x,y,z
0,0,0,0,1
0.98629,0,0,0,1
1.985939,0,0,0,1
2.986156,0,0,0,1
3.989677,0,0,0,1
4.990013,0,0.6376486,0.126199,0.7599199
5.990875,0,0.8658193,0.02181488,0.499881
6.986141,0,0.9902623,0.0348995,0.1347686
7.987514,0,0.9826584,0.1478094,-0.1119597
8.989929,0,0.9636305,0.2672384,-5.215406E-08
9.986031,0,0.7814505,0.2588191,-0.5677571
10.98585,0,0.7764663,0.2588191,-0.5745547
11.99508,0,0.8543147,-0.2840154,-0.435295
12.99786,0,0.9261488,-0.2840154,0.2481607
13.98606,0,0.0642015,-0.190809,0.9795254
14.98985,0,-0.07398929,0.05669279,0.9956463
15.98606,0,-0.2326436,0.08280822,0.9690303
16.98972,0,-0.8737157,0.08280823,0.4793368
17.98609,0,-0.4841581,0.1348509,0.8645266
18.98587,0,-0.08675451,0.09584577,0.9916084
19.98996,0,0.01723754,-0.1564345,0.9875379
20.98993,0,-0.6369691,-0.1950904,0.745795
21.98632,0,-0.5595243,-0.190809,0.806551
22.98619,0,-0.3881338,-0.1822355,0.903406
23.99008,0,-0.2630885,-0.2461533,0.9328414
24.99063,0,-0.8306844,0.1564345,0.5343142
25.99051,0,-0.9783078,0.1001881,0.1813185
26.98634,0,-0.9957196,0.09150162,0.01303467
27.9899,0,-0.9957196,0.09150162,0.01303467
28.99381,0,-0.9988485,0,-0.04797828
29.9861,0,-0.9988485,0,-0.04797828
30.9898,0,-0.9751323,0.2079117,-0.0767446
31.98648,0,-0.6149916,0.2121777,-0.7594513
32.99005,0,-0.226511,0.2419219,0.9434864
33.98626,0,-0.2587304,-0.02617695,0.9655948
34.98996,0,-0.6786393,-0.02181489,0.7341477
35.9903,0,-0.2519672,0.1434926,0.9570383
36.98251,0,-0.5142098,0.05669279,0.8557886
37.99408,0,-0.5767936,-0.0348995,0.8161441
38.99389,0,-0.1693237,-0.01745241,0.9854059
39.99009,0,-0.4693107,0.02617695,0.882645
40.98649,0,-0.569948,0.0130896,0.8215765
41.98283,0,-0.5245919,0.07845911,0.8477308
42.99037,0,-0.1420077,-0.1434927,0.9794099
43.98263,0,0.4654552,-0.1305262,0.8753939
44.9841,0,0.8575662,-0.06540313,0.5101984
45.9864,0,0.9847233,0.0130896,0.1736334
46.98974,0,0.9766359,0.0348995,0.2120485
47.99886,0,0.9520695,-0.02617695,-0.3047597
48.99827,0,0.8499557,-0.03053851,-0.5259683
49.98323,0,0.8456502,-0.2461533,-0.4735867
50.99083,0,0.8290818,-0.2334454,-0.5080619
51.98999,1,0,1,-3.608147E-08
52.98648,1,-0.8829475,0.4694716,-0.0005617328
53.99033,1,-0.8131188,-0.03925982,-0.5807724
54.99035,1,-0.4927181,-0.1088669,-0.8633522
55.98594,1,-0.09397447,-0.1607426,-0.9825124
56.99002,1,0.0482247,-0.126199,-0.990832
57.99481,1,0.0482247,-0.126199,-0.990832
59.00247,1,0.7333223,-0.1088669,-0.6711085
60.00001,1,0.7561335,-0.06975647,-0.6506889
60.99048,1,0.697289,0.05233596,-0.7148772
61.99005,1,0.454345,-0.03053851,-0.8903023
62.99808,1,-0.09846161,-0.1478094,-0.9841025
63.99014,1,-0.2170588,-0.1650476,-0.9621044
65.00223,1,-0.3136194,-0.1391731,-0.9392943
65.99411,1,-0.5532287,-0.1391731,-0.8213217
66.98584,1,-0.5028366,0.03925982,-0.8634897
67.98993,1,-0.3858268,-0.03925982,-0.9217355
68.98251,1,-0.2006562,-0.1521234,-0.9677787
69.98994,1,0.1565769,-0.2419219,-0.9575789
70.98657,1,0.1565769,-0.2419219,-0.9575789
71.98589,1,0.1565769,-0.2419219,-0.9575789
72.98975,1,-0.8456622,-0.5336145,0.01053241
73.98637,1,-0.9572591,-0.2881963,0.02445717
74.99484,1,-0.9572591,-0.2881963,0.02445717
76.00168,1,-0.9303768,0.3665012,-0.008711085
76.99422,1,-0.9303768,0.3665012,-0.008711085
77.98642,1,0,1,-9.685755E-08
78.99394,1,0,1,2.607703E-08
