time,progress,x,y,z
0,0,0,0,1
0.9922218,0,-0.8503143,0.126199,0.5109203
2.004753,0,0.1257655,0.08280821,0.9885979
3.004089,0,0.04748162,0.1434926,0.9885117
3.988148,0,0.1389135,0.06104854,0.988421
4.995541,0,0.6364952,0.09584574,0.7653022
6.006199,0,0.3762146,0.1132032,0.919591
6.995949,0,0.7226141,0.08715574,0.6857352
8.004185,0,0.8982214,0.07410849,0.4332508
9.000614,0,0.8897855,0.05233596,-0.4533682
10.0062,0,-0.7899694,0.2292004,0.5686964
11.0062,0,0.4270692,0.126199,0.8953691
12.00093,0,0.1414201,0.1693495,0.9753569
13.0062,0,0,0.1218694,0.9925461
14.0062,0,0.08223422,0.1175374,0.9896578
14.98841,0,-0.2382466,0.1736482,0.9555547
16.00002,0,-0.881133,0.186524,0.4345266
16.99291,0,-0.8760867,0.1822356,0.4463882
18.00015,0,-0.3869286,0.1391731,0.9115465
19.0062,0,-0.3869286,0.1391731,0.9115465
20.0062,0,-0.3869286,0.1391731,0.9115465
20.99183,0,0.6157025,0.1045285,0.7810149
21.99178,0,-0.9536861,0.1950903,0.2289598
22.99189,0,-0.9510906,0.05233596,-0.3044464
24.0062,1,-0.8239523,-0.186524,-0.535081
25.0002,1,-0.868728,-0.190809,-0.45706
25.98844,1,-0.9273158,-0.05669279,0.3699614
26.99629,1,0.7865661,0.1305262,0.6035534
27.99233,1,0.8453334,0.03053851,0.5333656
29.0062,1,0.8960234,0.07845911,-0.4370198
29.98804,1,0.6807262,0.06104854,-0.7299896
30.99231,1,0.5173467,0.0741085,-0.8525613
32.0062,1,0.05649814,0.08280821,-0.9949627
32.99686,1,0.1469997,0.1045285,-0.9835981
33.98794,1,0.4467452,0.1779435,-0.8767867
35.00028,1,-0.1928197,0.1521234,-0.9693705
36.0062,1,0.7986896,0.1132032,-0.5909991
37.00004,1,0.564251,0.08715574,-0.8209901
38.00039,1,0.2247777,0.03925982,-0.973619
38.99626,1,-0.1216732,0.05669279,-0.9909499
39.99638,1,-0.4538825,0.02181488,-0.8907946
40.98689,1,-0.5983189,0.004363309,-0.8012462
41.98845,1,-0.4104688,0.0348995,-0.9112068
43.00058,1,0.4566149,0.07410849,-0.8865725
44.00398,1,0.2708593,0.06540313,-0.9603946
45.0062,1,-0.07398921,0.05669279,-0.9956465
46.0062,1,-0.4062681,0.04797813,-0.9124935
46.99651,1,-0.9995336,-0.03053851,-3.121386E-08
47.99647,1,-0.07338739,0.1391731,0.987545
48.99199,1,-0.1208268,0.1305262,0.9840547
49.98824,1,0.4105781,0.02617695,0.9114496
51.0062,1,-0.3665014,0,0.9304175
52.00005,1,-0.9551401,0.1564345,-0.2514676
52.99665,1,-0.5514292,-0.1218694,0.8252719
53.99645,1,0.394655,0.2419219,0.8864092
55.00001,1,0,1,-1.192093E-07
