time,progress,x,y,z
0,0,0,0,1
0.204052,0,0,0,1
0.4193726,0,0,0,1
0.6160755,0,0,0,1
0.8193741,0,0,0,1
1.019373,0,0,0,1
1.208523,0,0,0,1
1.400595,0,0,0,1
1.608395,0,0,0,1
1.808081,0,0,0,1
2.008404,0,0,0,1
2.205662,0,0,0,1
2.404766,0,0,0,1
2.599749,0,0,0,1
2.812614,0,0,0,1
3.01672,0,0,0,1
3.204447,0,-0.02616474,-0.03053852,0.999191
3.419373,0,0.5169791,0.186524,0.8354289
3.608316,0,0.9575135,0.1478094,0.2476297
3.819374,0,0.9971647,0.0741085,0.01305359
4.004187,0,0.9135107,-0.008726535,0.4067211
4.200422,0,0.6560341,-0.008726537,0.7546808
4.408251,0,0.4847681,0.0130896,0.8745448
4.604479,0,0.4265038,0.01745241,0.9043174
4.816269,0,0.4265038,0.01745241,0.9043174
5.01606,0,0.3420169,0.00436331,0.9396837
5.216497,0,0.1348394,-0.0130896,0.990781
5.416214,0,-0.01307452,-0.04797813,0.9987628
5.600147,0,-0.01741986,-0.06104855,0.9979828
5.80097,0,-0.01726071,-0.1478094,0.9888653
6.012224,0,0.01703871,-0.2164396,0.9761473
6.212492,0,0.05512637,-0.2334454,0.970806
6.412199,0,0.05936177,-0.2334454,0.9705563
6.619373,0,0.05936177,-0.2334454,0.9705563
6.804062,0,0.1197306,-0.186524,0.9751273
7.008039,0,0.1496956,-0.1779436,0.9725879
7.216669,0,0.2085678,-0.2672383,0.9407886
7.404013,0,0.2364109,-0.4383712,0.8671451
7.619373,0,0.2389255,-0.5591929,0.7938626
7.819372,0,0.2369595,-0.6156616,0.7515392
7.999958,0,0.1287169,-0.7853169,0.6055652
8.211992,0,-0.01929236,-0.8968729,0.4418676
8.408772,0,-0.04956872,-0.9135455,0.4037048
8.608063,0,-0.09910206,-0.8890172,0.4470205
8.804016,0,-0.1655535,-0.8571673,0.4877051
9.008984,0,-0.197234,-0.9006984,0.3870935
9.208057,0,-0.1908511,-0.9288097,0.3176295
9.403797,0,-0.1908511,-0.9288097,0.3176295
9.619373,0,-0.1943359,-0.9271839,0.3202557
9.803913,0,-0.2027009,-0.9205049,0.3340407
10.00394,0,-0.2033081,-0.9187912,0.3383615
10.21937,0,-0.2033081,-0.9187912,0.3383615
10.40403,0,-0.2033081,-0.9187912,0.3383615
10.60426,0,-0.2033081,-0.9187912,0.3383615
10.80801,0,-0.2033081,-0.9187912,0.3383615
11.0003,0,-0.2033081,-0.9187912,0.3383615
11.20426,0,-0.2033081,-0.9187912,0.3383615
11.41937,0,-0.2033081,-0.9187912,0.3383615
11.61249,0,-0.2033081,-0.9187912,0.3383615
11.81666,0,-0.2033081,-0.9187912,0.3383615
12.01194,0,-0.2033081,-0.9187912,0.3383615
12.21937,0,-0.2033081,-0.9187912,0.3383615
12.41659,0,-0.2033081,-0.9187912,0.3383615
12.60121,0,-0.2033081,-0.9187912,0.3383615
12.80833,0,-0.2033081,-0.9187912,0.3383615
13.00045,0,-0.2033081,-0.9187912,0.3383615
13.20066,0,-0.2033081,-0.9187912,0.3383615
13.40421,0,-0.2033081,-0.9187912,0.3383615
13.61937,0,-0.2033081,-0.9187912,0.3383615
13.81199,0,-0.2033081,-0.9187912,0.3383615
13.99993,0,-0.2033081,-0.9187912,0.3383615
14.21937,0,-0.2033081,-0.9187912,0.3383615
14.41714,0,-0.2033081,-0.9187912,0.3383615
14.61184,0,-0.2033081,-0.9187912,0.3383615
14.80825,0,-0.2033081,-0.9187912,0.3383615
15.00413,0,-0.2033081,-0.9187912,0.3383615
15.21237,0,-0.2033081,-0.9187912,0.3383615
15.41937,0,-0.2033081,-0.9187912,0.3383615
15.60962,0,-0.2033081,-0.9187912,0.3383615
15.808,0,-0.2033081,-0.9187912,0.3383615
16.00899,0,-0.3367498,-0.6560591,0.6754155
16.20833,0,-0.4273022,-0.1218694,0.8958576
16.40819,0,-0.4273022,-0.1218694,0.8958576
16.60822,0,-0.4273022,-0.1218694,0.8958576
16.81611,0,-0.4273022,-0.1218694,0.8958576
17.01197,0,-0.245919,-0.04361939,0.9683084
17.20388,0,-0.1130955,-0.04361939,0.9926262
17.41625,0,0.8800316,-0.3338069,0.3378125
17.61937,0,0.7440021,-0.5948228,-0.3043792
17.80441,0,0.7595047,-0.5735765,-0.3068599
18.00415,0,0.9092977,-0.3786486,-0.1726355
18.20812,0,0.9417427,-0.3214394,-0.09898126
18.39982,0,0.9431286,-0.3173047,-0.09912695
18.60387,0,0.9431286,-0.3173047,-0.09912695
18.80046,0,0.9431286,-0.3173047,-0.09912695
19.00035,0,0.9392374,-0.2588191,-0.225491
19.20014,0,0.06816819,-0.2121777,-0.9748506
19.40766,0,-0.1766283,-0.2461533,-0.9530011
19.6002,0,-0.1766283,-0.2461533,-0.9530011
19.81338,0,-0.1718803,-0.2588191,-0.9505105
20.00068,0,-0.3325916,-0.3131638,-0.8895567
20.20012,0,-0.4125923,-0.3131638,-0.8553925
20.41605,0,-0.4163207,-0.3131638,-0.8535841
20.60803,0,-0.4163207,-0.3131638,-0.8535841
20.81937,0,0.180564,-0.3786486,-0.9077564
21.0051,0,0.670283,-0.2923717,-0.6820849
21.21218,0,0.7282182,-0.2756374,-0.6274729
21.40387,0,0.7282182,-0.2756374,-0.6274729
21.61937,0,0.7282182,-0.2756374,-0.6274729
21.80405,0,0.6830127,-0.258819,-0.6830128
22.00786,0,0.6830127,-0.258819,-0.6830128
22.21937,0,0.6830127,-0.258819,-0.6830128
22.40802,0,0.6830127,-0.258819,-0.6830128
22.61937,0,0.6830127,-0.258819,-0.6830128
22.81203,0,0.6830127,-0.258819,-0.6830128
23.00013,0,0.6830127,-0.258819,-0.6830128
23.21937,0,0.6830127,-0.258819,-0.6830128
23.40782,0,0.6830127,-0.258819,-0.6830128
23.61418,0,0.5253019,-0.3255682,-0.7861702
23.8166,0,0.5149663,-0.3255682,-0.7929787
24.00489,0,0.5045425,-0.3255682,-0.7996515
24.20435,0,-0.2661332,-0.309017,-0.9130617
24.40462,0,-0.7829963,-0.2630312,-0.5636767
24.61208,0,-0.8149691,-0.2672383,-0.5142072
24.80376,0,-0.8149691,-0.2672383,-0.5142072
25.01937,0,-0.8206121,-0.3048643,-0.4833772
25.20816,0,-0.8594733,-0.3173047,-0.4007791
25.40477,0,-0.8966576,-0.3173047,-0.3087439
25.59997,0,-0.9006222,-0.3173047,-0.2969805
25.81611,0,-0.9317948,-0.2923717,-0.215122
26.01616,0,-0.9357685,-0.2881962,-0.2031752
26.21594,0,-0.9366462,-0.2881963,-0.1990906
26.40008,0,-0.9437403,-0.2881963,-0.1621645
26.60059,0,-0.9464269,-0.2881963,-0.145669
26.808,0,-0.9470533,-0.2881963,-0.1415381
27.01661,0,-0.9535544,-0.2881963,-0.08761968
27.21179,0,-0.9562591,-0.2881963,-0.05011558
27.40022,0,-0.9564688,-0.2881963,-0.04594249
27.6162,0,-0.9600134,-0.279829,-0.008378008
27.80372,0,-0.9623729,-0.2714404,0.01259828
28.01937,0,-0.9634011,-0.2672384,0.02102158
28.20431,0,-0.9634011,-0.2672384,0.02102158
28.41937,0,-0.9634011,-0.2672384,0.02102158
28.60101,0,-0.9633002,-0.2672383,0.0252248
28.81266,0,-0.8961037,-0.2630312,0.3575091
28.99986,0,-0.8961037,-0.2630312,0.3575091
29.21215,0,-0.8961037,-0.2630312,0.3575091
29.41226,0,-0.8961037,-0.2630312,0.3575091
29.60439,0,-0.8961037,-0.2630312,0.3575091
29.8042,0,-0.8961037,-0.2630312,0.3575091
29.99988,0,-0.8961037,-0.2630312,0.3575091
30.21204,0,-0.8961037,-0.2630312,0.3575091
30.40439,0,-0.8961037,-0.2630312,0.3575091
30.60057,0,-0.8131959,-0.2923717,0.5032209
30.80823,0,-0.7395831,-0.3173047,0.5935779
31.00819,0,-0.736986,-0.3173047,0.5967994
31.20035,0,-0.7317498,-0.3173046,0.603208
31.40466,0,-0.7317498,-0.3173046,0.603208
31.60022,0,-0.7317498,-0.3173046,0.603208
31.80021,0,-0.7317498,-0.3173046,0.603208
32.01231,0,-0.7317498,-0.3173046,0.603208
32.20887,0,-0.7317498,-0.3173046,0.603208
32.40782,0,-0.7317498,-0.3173046,0.603208
32.59999,0,-0.7317498,-0.3173046,0.603208
32.80786,0,-0.7317498,-0.3173046,0.603208
33.00427,0,-0.7317498,-0.3173046,0.603208
33.21937,0,-0.7317498,-0.3173046,0.603208
33.4001,0,-0.7317498,-0.3173046,0.603208
33.60423,0,-0.7317498,-0.3173046,0.603208
33.80417,0,-0.7317498,-0.3173046,0.603208
34.01277,0,-0.5879532,-0.3131638,0.7458147
34.21656,0,-0.1841921,-0.3826835,0.9053323
34.416,0,-0.04000165,-0.3987491,0.9161872
34.61937,0,0.1036162,-0.4027467,0.9094277
34.81606,0,0.2739688,-0.3826835,0.8823233
35.01937,0,0.2672107,-0.3746066,0.8878447
35.20403,0,-0.9951341,0.06975648,0.06958666
35.41653,0,-0.8852101,0.1607426,-0.4365373
35.6123,0,-0.8852101,0.1607426,-0.4365373
35.81428,0,-0.5259694,-0.1218694,0.8417268
36.00796,0,-0.2586267,-0.1822356,0.9486319
36.20426,0,-0.2586267,-0.1822356,0.9486319
36.41937,0,-0.2586267,-0.1822356,0.9486319
36.61937,0,-0.2586267,-0.1822356,0.9486319
36.80404,0,-0.4425618,-0.1822356,0.8780258
37.00431,0,-0.4990398,-0.1822356,0.847201
37.21937,0,-0.52425,-0.186524,0.8308855
37.40769,0,-0.6055654,-0.2079117,0.7681558
37.61245,0,-0.6089111,-0.2079117,0.7655064
37.81937,0,-0.6089111,-0.2079117,0.7655064
38.01937,0,-0.6055654,-0.2079117,0.7681558
38.21937,0,-0.4706148,-0.1650476,0.8667647
38.41937,0,-0.2983017,-0.126199,0.9460919
