time,progress,x,y,z
0,0,0,0,1
0.9988356,0,0,0,1
2.002825,0,0,0,1
3.002682,0,0,0,1
4.007328,0,0,0,1
4.998816,0,0,0,1
6.007061,0,0,0,1
6.998737,0,0,0,1
8.002672,0,0,0,1
8.995008,0,-0.7660372,0.00436331,0.6427814
10.00741,0,-0.7660372,0.00436331,0.6427814
11.00771,0,-0.7660372,0.00436331,0.6427814
12.0028,0,-0.7660372,0.00436331,0.6427814
13.00665,0,-0.7660372,0.00436331,0.6427814
14.00274,0,-0.7660372,0.00436331,0.6427814
14.99489,0,-0.9954637,0.02617695,-0.09147033
16.00328,0,-0.9949306,0.008726535,-0.1001842
17.00745,0,-0.9810292,0.190809,0.03425824
17.99517,0,-0.9810292,0.190809,0.03425824
18.99926,0,-0.6781546,0.04361939,-0.7336236
19.9948,0,-0.8784074,0.03053852,-0.4769363
21.00744,0,-0.8784074,0.03053852,-0.4769363
21.99883,0,-0.8784074,0.03053852,-0.4769363
23.0077,0,-0.3900024,0.06104854,-0.9187881
23.99876,0,-0.3613207,0.07845911,-0.9291348
24.99919,0,-0.3613207,0.07845911,-0.9291348
26.00757,0,-0.6491452,-0.03053852,-0.7600514
27.00822,0,-0.8972709,-0.08715574,-0.4327921
27.99883,0,-0.9075644,-0.09584576,-0.408828
29.0004,0,0.1051573,-0.2588191,0.9601847
29.9988,0,0.03400502,-0.2249511,0.9737765
30.99498,0,-0.1703117,-0.1950904,-0.9658851
31.99518,0,-0.5284622,-0.0741085,-0.8457162
32.99877,0,-0.5023888,-0.0741085,-0.8614603
33.99556,0,-0.5023888,-0.0741085,-0.8614603
34.9954,0,-0.5023888,-0.0741085,-0.8614603
35.99549,0,-0.5023888,-0.0741085,-0.8614603
37.00709,0,-0.5023888,-0.0741085,-0.8614603
38.00701,0,-0.9278861,0.1478094,0.3423153
39.00782,0,-0.1942719,0.09150163,0.9766708
40.00784,0,0.9896137,0.008726535,0.1434872
40.99505,0,0.5149516,0.1693495,0.8403247
42.00761,0,0.06088068,0.0741085,0.9953901
43.00288,0,0.1521104,-0.0130896,0.9882768
43.99923,0,0.1521104,-0.0130896,0.9882768
44.99517,0,0.1521104,-0.0130896,0.9882768
46.00719,0,0.1521104,-0.0130896,0.9882768
47.00865,0,0.1521104,-0.0130896,0.9882768
47.99512,0,0.1521104,-0.0130896,0.9882768
49.00306,0,0.237575,0.03053851,0.970889
50.00696,0,-0.6592893,-0.0130896,0.7517754
50.999,0,-0.7381379,-0.1693495,0.6530492
52.00706,0,-0.7381379,-0.1693495,0.6530492
52.99562,0,-0.7381379,-0.1693495,0.6530492
54.00361,0,-0.3482889,-0.1045285,0.931541
55.00745,0,-0.2448048,-0.1045285,0.9639214
56.00719,0,-0.2448048,-0.1045285,0.9639214
56.99522,0,-0.2448048,-0.1045285,0.9639214
58.00286,0,-0.8077158,-0.05669279,0.5868399
58.9952,0,-0.7872587,0.1478094,0.5986453
60.0028,0,0.2785581,-0.1950903,0.9403963
