time,progress,x,y,z
0,0,0,0,0
0.9885712,0,0,0,0
1.988045,0,0,0,0
2.987926,0,0,0,0
3.991653,0,3.985126,0.580005,15.65366
4.986286,0,23.87775,0.580005,35.54628
5.991714,0,37.06735,0.580005,55.65481
6.995846,0,49.55561,0.580005,75.7375
7.996212,0,58.59918,0.580005,95.54412
8.991505,0,45.09362,0.580005,97.44031
9.98801,0,44.99755,0.580005,104.7102
10.98814,0,42.61579,0.580005,119.7652
12.00036,0,31.77202,0.580005,119.7652
12.98745,0,31.77202,0.5800048,119.7652
13.98783,0,24.05423,0.580005,125.9363
14.99162,0,16.0111,0.5800049,128.1478
15.98869,0,16.0111,0.5800048,128.1478
16.99162,0,16.0111,0.5800048,128.1478
17.99657,0,16.0111,0.5800048,128.1478
18.98826,0,16.0111,0.5800048,128.1478
19.992,0,16.0111,0.5800048,128.1478
20.98811,0,16.0111,0.5800048,128.1478
21.99264,0,16.0111,0.580003,128.1478
22.9881,0,16.0111,0.580003,128.1478
23.99258,0,16.0111,0.580003,128.1478
24.99213,0,16.0111,0.580003,128.1478
25.99259,0,16.0111,0.580003,128.1478
26.98809,0,16.0111,0.580003,128.1478
27.99619,0,8.231118,0.580005,134.956
28.99146,0,4.374968,0.580005,161.7928
29.99285,0,-3.775176,0.5800049,166.1466
30.99178,0,-15.86862,0.580005,171.1435
31.9879,0,-26.37401,0.5800049,168.5136
33.00042,0,-26.98052,0.5800048,167.7579
33.98845,0,-26.98052,0.5800048,167.7579
34.9881,0,-26.98052,0.5800048,167.7579
35.99588,0,-26.98052,0.5800048,167.7579
36.98777,0,-26.98052,0.5800048,167.7579
37.99224,0,-26.98052,0.5800048,167.7579
38.98856,0,-26.98052,0.580003,167.7579
39.98823,0,-26.98052,0.580003,167.7579
40.98761,0,-19.38677,0.580005,170.1148
42.00028,0,4.416035,0.5800035,162.1864
42.98778,0,23.22729,0.5800044,168.2007
43.99154,0,41.56928,0.5800033,174.072
44.98816,0,42.38064,0.5800022,174.3317
45.98792,0,42.38064,0.5800022,174.3317
46.99589,0,42.38064,0.5800022,174.3317
47.99797,0,42.38064,0.5800022,174.3317
48.99269,0,42.38064,0.5800022,174.3317
49.98761,0,42.38064,0.5800022,174.3317
51.00097,0,37.77882,0.5800056,179.0924
51.99281,0,43.07996,0.5800056,198.2077
52.99167,0,47.87122,0.5800056,215.4844
53.98793,0,50.95853,0.5800056,226.6169
54.99619,0,41.36621,0.5800042,229.2771
55.9884,0,22.64688,0.5800082,234.4684
56.99766,0,21.25742,0.580004,234.8537
57.99642,0,21.25742,0.579993,234.8537
58.99203,0,21.25742,0.579993,234.8537
59.9917,0,11.44962,0.5799963,232.5894
60.99286,0,4.5927,0.580005,225.3445
61.99993,0,4.949059,0.580005,219.5989
62.98801,0,1.460572,0.580005,218.7935
63.99626,0,6.852447,0.580005,220.0383
64.99242,0,6.852447,0.5800046,220.0383
66.00418,1,-4.599648,0.580005,219.7884
66.99651,1,-4.881301,0.5800048,219.7823
67.99165,1,-4.881301,0.5800048,219.7823
68.99568,1,-4.881301,0.5800048,219.7823
69.99176,1,-4.881301,0.5800048,219.7823
70.99634,1,-4.778605,0.580005,215.0758
71.99602,1,-4.775565,0.5800046,214.9365
72.99559,1,-4.888447,0.580005,220.1098
73.98878,1,-4.757268,0.5800049,214.098
74.99602,1,-4.733595,0.5800048,213.0131
75.99252,1,-4.733595,0.5800046,213.0131
76.99957,1,-4.733595,0.5800046,213.0131
77.98795,1,-8.024086,0.5800052,206.6182
78.99796,1,4.204082,0.5800058,199.5184
79.98853,1,4.204082,0.5800058,199.5184
80.99258,1,4.204082,0.5800021,199.5184
81.99142,1,3.154474,0.5800034,195.1465
82.99178,1,-1.485999,0.5800051,175.8176
83.9886,1,-6.11019,0.5800042,156.5564
84.99591,1,-10.78304,0.5800055,137.0926
85.99216,1,-15.40445,0.5800021,117.843
86.98805,1,-20.02432,0.5800055,98.59991
87.98846,1,-24.10988,0.5800111,81.58231
88.9879,1,-24.12855,0.5800047,81.50456
89.9971,1,-24.12855,0.5800047,81.50456
90.98846,1,-24.12855,0.5800047,81.50456
91.99294,1,-24.12855,0.5800047,81.50456
92.99219,1,-24.12855,0.5800047,81.50456
93.98804,1,-23.47803,0.5800111,80.60094
94.98749,1,-19.60449,0.5800109,59.51347
95.9976,1,-21.82594,0.5800055,41.04209
96.99217,1,-21.82594,0.5800055,41.04209
97.99184,1,-22.19162,0.5800077,37.41058
98.98993,1,-24.18319,0.5800097,17.63226
99.98845,1,-25.34576,0.5800053,6.086726
100.9918,1,-25.34576,0.5799925,6.086726
101.9926,1,-25.34576,0.5799925,6.086726
102.9957,1,-25.34576,0.5799925,6.086726
103.9884,1,-25.34576,0.5799925,6.086726
105.0002,1,-25.34576,0.5799925,6.086726
105.9879,1,-25.34576,0.5799925,6.086726
106.9929,1,-25.34576,0.5799925,6.086726
107.9956,1,-25.11088,0.580005,6.052669
108.9922,1,-16.66163,0.580005,4.827587
109.9922,1,-16.66163,0.5800048,4.827587
110.9885,1,-16.28683,0.5800049,3.811633
111.9916,1,-9.592707,0.5800049,-14.33357
112.9926,1,-2.701019,0.5800049,-33.01431
113.9882,1,4.153214,0.580005,-51.59351
114.9915,1,6.148084,0.580005,-57.00085
115.9959,1,6.148084,0.5800047,-57.00085
116.9884,1,6.148084,0.5800047,-57.00085
118,1,6.148084,0.5800047,-57.00085
118.9877,1,6.148084,0.5800047,-57.00085
119.998,1,6.148084,0.5800047,-57.00085
