time,progress,x,y,z
0,0,0,0,0
0.9840374,0,0,0,0
1.984842,0,0,0.580005,1.364435
2.983995,0,0,0.580005,4.172364
3.984234,0,0,0.580005,24.12777
4.984243,0,0,0.580005,44.12796
5.988441,0,0,0.580005,60.42762
6.984716,0,0,0.5800048,60.68094
7.984282,0,0,0.5800048,60.68094
8.98797,0,0,0.5800048,60.68094
9.984547,0,3.631667,0.580005,64.12727
10.9842,0,4.449059,0.580005,64.90295
11.98825,0,9.29074,0.580005,64.30846
12.984,0,28.84004,0.5800049,61.9081
13.9846,0,48.48467,0.5800049,59.49604
14.98466,0,64.05455,0.580005,57.5843
15.99242,0,64.05455,0.5800046,57.5843
16.98398,0,64.05455,0.5800046,57.5843
17.9851,0,64.05455,0.5800046,57.5843
18.98387,0,65.79108,0.5800058,54.13909
19.98414,0,74.71098,0.5800062,36.44235
20.98436,0,79.48895,0.5800055,26.96302
21.98408,0,79.48895,0.5800037,26.96302
22.98413,0,79.48895,0.5800037,26.96302
23.98843,0,79.45564,0.5800049,26.45469
24.98449,0,78.633,0.5800027,13.90377
25.99287,0,78.56313,0.5800045,13.79195
26.98416,0,69.21096,0.5800048,-1.174649
27.98443,0,58.64238,0.5800056,-18.0879
28.98448,0,48.20969,0.5800071,-34.7837
29.98515,0,47.26336,0.5800055,-36.29816
31.00023,0,45.59689,0.5800056,-37.4222
31.98474,0,29.57541,0.5800099,-48.22882
32.98389,0,17.37976,0.5800045,-56.4549
33.98809,0,17.37976,0.5800045,-56.4549
34.98416,0,17.37976,0.5800045,-56.4549
36.00053,0,17.37976,0.5800045,-56.4549
36.98477,0,8.585599,0.580005,-62.55562
37.98527,0,5.314468,0.5800049,-64.82489
38.9843,0,-0.4112527,0.580005,-66.33234
39.98472,0,-19.01079,0.580005,-71.2292
40.98818,0,-37.66687,0.5800049,-76.14095
41.98413,0,-56.18322,0.580005,-79.47964
43.00116,0,-67.76881,0.580005,-79.47963
43.98471,0,-67.76881,0.5800046,-79.47963
44.98462,0,-68.30994,0.580005,-78.20481
45.98439,0,-75.72333,0.5800049,-60.73997
46.98436,0,-83.28878,0.580005,-42.91687
47.98897,0,-86.71294,0.5800049,-34.85007
48.98418,0,-86.60662,0.5800049,-33.63492
49.98454,0,-84.96337,0.5800049,-14.85253
50.98407,0,-83.28043,0.5800049,4.383628
51.98798,0,-81.59013,0.580005,23.70381
52.98477,0,-80.9927,0.580005,30.53241
53.98124,0,-80.9927,0.5800046,30.53241
54.9894,0,-80.99479,0.580005,30.54946
55.98861,0,-83.00759,0.5800049,46.94239
56.98848,0,-85.28816,0.5800049,65.51614
57.98463,0,-85.41574,0.580005,66.55518
58.98843,0,-85.41574,0.5800048,66.55518
59.98849,0,-97.09676,0.5800049,76.44389
60.98834,0,-97.44673,0.5800046,76.74017
61.98408,0,-97.44673,0.5800046,76.74017
62.9844,0,-102.204,0.580005,92.80045
63.98487,0,-107.8608,0.580005,111.8976
64.98409,0,-113.5106,0.580005,130.9709
65.98455,0,-119.1244,0.580005,149.9228
66.98441,0,-119.7068,0.580005,151.889
67.984,0,-119.7068,0.5800046,151.889
68.98414,0,-119.7068,0.5800046,151.889
69.98156,0,-135.5098,0.580005,151.199
70.98405,0,-155.3456,0.580005,150.333
71.98125,0,-162.3596,0.580005,150.0267
72.9891,0,-162.3596,0.5800046,150.0267
73.99612,0,-162.3596,0.5800046,150.0267
74.99725,0,-162.3596,0.5800046,150.0267
75.99705,0,-162.3452,0.580005,150.0341
76.9845,0,-148.0093,0.580005,157.3386
77.98553,0,-135.3807,0.580005,163.7732
78.98845,0,-135.3807,0.5800048,163.7732
79.98849,0,-127.2293,0.580005,164.8825
80.98438,0,-108.2344,0.580005,167.4676
81.98134,0,-89.21907,0.580005,170.0555
82.98441,0,-70.08731,0.580005,172.6592
83.9887,0,-64.53722,0.580005,173.4146
84.98861,0,-64.53722,0.5800046,173.4146
85.9841,0,-48.18996,0.580005,170.3848
86.98399,0,-28.61759,0.580005,166.7572
87.9842,0,-9.794191,0.580005,163.2685
88.99746,0,-8.926451,0.5800048,163.1077
89.98489,0,-8.926451,0.5800048,163.1077
90.98915,0,-8.926451,0.5800048,163.1077
91.98489,0,-8.926451,0.5800048,163.1077
92.98467,0,-9.617132,0.580005,172.4019
93.9847,0,-9.63514,0.5800046,172.6443
94.99879,0,-9.63514,0.5800046,172.6443
95.98447,0,-9.63514,0.5800046,172.6443
96.98455,0,-9.63514,0.5800046,172.6443
97.98466,0,4.983921,0.580005,171.4295
98.98394,0,22.32803,0.580005,169.9883
99.98467,0,22.39345,0.5800048,169.9829
100.984,0,33.76718,0.580005,174.636
101.9848,0,51.36095,0.580005,181.8338
102.9831,0,52.08064,0.5800048,182.1282
103.9844,0,51.8394,0.580005,187.1504
104.9971,0,50.88549,0.580005,207.0096
105.9848,0,49.95514,0.580005,226.3784
