time,progress,x,y,z
0,0,0,0,0
1.013874,0,1.780273,0.580005,0.0346828
2.000381,0,1.780273,0.5800048,0.0346828
3.013874,0,1.780273,0.5800048,0.0346828
3.999687,0,-2.386069,0.5800061,1.322188
5.012272,0,-21.4158,0.5800054,8.401963
5.996059,0,-42.49408,0.580006,19.45436
6.998314,0,-58.66719,0.580005,33.37015
8.011684,0,-79.04959,0.5800049,40.86983
9.00861,0,-85.60545,0.5800049,25.80907
9.995995,0,-88.58207,0.580005,5.100723
11.01257,0,-87.61715,0.5800047,-23.55609
11.99965,0,-77.21807,0.5800052,-46.06005
12.9959,0,-53.63374,0.5800058,-61.46432
14.00772,0,-27.01353,0.5800049,-71.75708
15.01387,0,-8.61352,0.580005,-64.91093
15.9958,0,9.41368,0.5800049,-55.45113
16.99576,0,30.13267,0.5800048,-47.46341
17.9958,0,41.18195,0.5800048,-30.79191
19.00002,0,47.26595,0.580005,-11.74466
20.01387,0,54.70918,0.580005,6.380825
21.01223,0,68.22802,0.580005,21.84692
21.99438,0,90.32456,0.5800049,32.17173
22.9962,0,110.3384,0.580005,52.11518
24.00826,0,109.3114,0.580005,72.33613
25.00446,0,106.9251,0.580005,92.1093
26.00019,0,105.343,0.580005,111.9199
26.99656,0,98.64949,0.580005,127.3404
28.00837,0,90.4175,0.580005,140.3343
29.00813,0,74.03078,0.580005,140.1807
29.99575,0,69.44969,0.580005,161.7871
31.01387,0,66.75275,0.580005,189.3101
32.0037,0,68.42982,0.580005,217.5938
33.0037,0,71.41497,0.580005,235.9959
34.00423,0,63.43222,0.580005,252.5747
35.01387,0,45.32598,0.580005,246.1463
36.01387,0,26.2663,0.580005,236.7411
36.99622,0,9.061346,0.580005,226.9081
37.99636,0,3.456115,0.5800049,220.5967
38.99592,0,-2.865289,0.580005,219.1984
39.9999,1,-7.899678,0.580005,208.0243
40.99609,1,-7.899678,0.5800048,208.0243
42.01387,1,-1.917588,0.580005,202.543
43.01186,1,11.10109,0.580005,187.1617
44.01387,1,14.03119,0.580005,167.9263
45.01387,1,18.86058,0.580005,150.8261
46.00402,1,20.83527,0.5800049,149.4308
46.9957,1,20.83527,0.5800048,149.4308
47.99632,1,15.73658,0.580005,133.7121
49.01191,1,2.281803,0.580005,113.406
50.01387,1,2.731329,0.580005,93.76532
51.01387,1,7.274977,0.580005,74.46913
52.00379,1,11.87012,0.580005,54.95426
53.00367,1,16.49261,0.580005,35.88832
53.99554,1,28.03679,0.580005,20.67497
54.99988,1,41.38859,0.580005,4.502038
55.99611,1,50.45761,0.580005,0.6271423
57.00393,1,50.45761,0.580005,0.6271423
57.9998,1,50.45761,0.580005,0.6271423
