time,progress,x,y,z
0,0,0,0,0
0.2019424,0,0,0,0
0.3969498,0,0,0,0
0.5919418,0,0,0,0
0.7843399,0,0,0,0
1.001945,0,0,0,0
1.196625,0,0,0,0
1.401939,0,0,0,0
1.596176,0,0,0,0
1.792564,0,0,0,0
1.98777,0,-0.3725905,0.580005,0.7473008
2.185135,0,-1.558767,0.580005,3.618642
2.392296,0,-2.184678,0.580005,7.620569
2.601631,0,-1.580921,0.5800049,11.69619
2.800674,0,-0.69419,0.5800049,15.51796
2.984924,0,0.2950696,0.580005,19.00602
3.185104,0,1.720723,0.580005,22.66752
3.383827,0,3.406572,0.580005,26.18517
3.584198,0,5.97808,0.580005,29.17256
3.801941,0,8.996452,0.580005,31.35526
4.001945,0,12.33734,0.580005,33.50872
4.201942,0,15.99242,0.580005,34.86005
4.392441,0,20.02884,0.580005,36.34916
4.58876,0,23.36279,0.580005,38.22754
4.801941,0,25.79497,0.580005,40.77497
4.983795,0,28.19843,0.580005,44.26173
5.196533,0,30.27562,0.580005,47.89688
5.401939,0,32.04878,0.580005,51.06308
5.58844,0,34.0444,0.580005,54.62651
5.788429,0,35.96761,0.580005,58.06066
5.991989,0,37.83265,0.580005,61.60553
6.192169,0,39.60597,0.5800049,65.12372
6.384476,0,41.30947,0.5800049,68.50342
6.596649,0,43.18894,0.580005,72.2322
6.788109,0,44.88496,0.580005,75.59705
6.991997,0,46.69106,0.5800049,79.18029
7.196793,0,48.50523,0.580005,82.77953
7.388306,0,49.72506,0.5800049,86.38489
7.596115,0,48.74992,0.5800049,91.32635
7.801941,0,46.92906,0.580005,95.37747
7.984177,0,44.11438,0.580005,98.64307
8.188095,0,40.23653,0.580005,99.90392
8.396294,0,36.1287,0.580005,100.241
8.587914,0,32.6322,0.580005,98.76551
8.794777,0,29.13513,0.580005,96.56128
8.988274,0,26.31155,0.580005,96.56128
9.201942,0,23.80126,0.580005,96.56139
9.401939,0,21.15921,0.580005,96.56142
9.589333,0,17.05865,0.580005,96.52949
9.792183,0,12.02055,0.580005,96.94081
10.00195,0,8.445328,0.580005,98.7408
10.18845,0,6.155774,0.580005,102.1219
10.38845,0,4.639745,0.580005,105.7498
10.58842,0,4.085612,0.580005,109.5912
10.78423,0,4.633874,0.580005,113.3283
10.98421,0,5.857242,0.580005,116.9807
11.19714,0,8.479255,0.580005,120.2058
11.39664,0,10.9919,0.580005,123.1827
11.58452,0,13.39867,0.580005,125.9514
11.80194,0,15.80173,0.580005,128.7158
12.00195,0,18.37092,0.580005,131.6713
12.19246,0,21.18645,0.580005,134.9102
12.38416,0,23.64214,0.580005,137.7351
12.60009,0,26.40828,0.580005,140.9172
12.8007,0,28.82694,0.580005,144.0078
12.98914,0,30.73862,0.580005,147.1802
13.18856,0,32.47585,0.580005,150.6987
13.39309,0,34.08514,0.580005,154.3873
13.59218,0,35.3853,0.580005,158.0764
13.78496,0,36.55766,0.580005,161.6745
13.98454,0,37.71524,0.580005,165.4131
14.20194,0,38.76196,0.580005,169.1009
14.40194,0,39.68203,0.580005,172.8869
14.58887,0,40.06326,0.580005,176.9268
14.78843,0,40.0547,0.580005,180.8035
14.992,0,39.99108,0.580005,184.7577
15.19172,0,39.90644,0.580005,188.6368
15.39217,0,39.82149,0.580005,192.5299
15.60194,0,39.74166,0.580005,196.1883
15.79623,0,39.46111,0.580005,200.3632
15.98817,0,38.83265,0.580005,204.0329
16.18842,0,37.87563,0.5800049,207.7987
16.39729,0,36.68237,0.580005,211.6714
16.59225,0,35.27732,0.580005,215.1796
16.79226,0,33.35492,0.580005,218.5396
16.9885,0,30.95772,0.580005,221.4562
17.19264,0,27.92827,0.580005,223.8876
17.38888,0,24.67463,0.580005,225.6756
17.59219,0,21.11317,0.580005,227.1373
17.78848,0,17.65127,0.580005,228.492
17.98839,0,13.96975,0.580005,229.2863
18.20031,0,10.44239,0.580005,227.4032
18.38953,0,7.892375,0.580005,224.8428
18.58418,0,5.368752,0.580005,222.1128
18.80194,0,2.730365,0.580005,219.6624
18.98866,0,-0.9448749,0.580005,217.8306
19.20194,1,-2.096095,0.6627129,217.4035
19.38435,1,-2.083533,0.580005,217.3845
19.59619,1,-2.055934,0.580005,217.3398
19.79993,1,-2.042226,0.580005,217.3133
20.00018,1,-2.042226,0.5800046,217.3133
20.19715,1,-2.042226,0.5800046,217.3133
20.40194,1,-2.042226,0.5800046,217.3133
20.60194,1,-2.042226,0.5800046,217.3133
20.80194,1,-2.042226,0.5800046,217.3133
20.99218,1,-2.042226,0.5800046,217.3133
21.19653,1,-2.042226,0.5800046,217.3133
21.39619,1,-2.042226,0.5800046,217.3133
21.59618,1,-2.042226,0.5800046,217.3133
21.79033,1,-2.042226,0.5800046,217.3133
21.99652,1,-2.042226,0.5800046,217.3133
22.18418,1,-2.042226,0.5800046,217.3133
22.39658,1,-2.042226,0.5800046,217.3133
22.60194,1,-2.042226,0.5800046,217.3133
22.80194,1,-2.042226,0.5800046,217.3133
22.98205,1,-2.042226,0.5800046,217.3133
23.19983,1,-2.042226,0.5800046,217.3133
23.38898,1,-2.042226,0.5800046,217.3133
23.59259,1,-2.042226,0.5800046,217.3133
23.80194,1,-2.042226,0.5800046,217.3133
23.99246,1,-2.042226,0.5800046,217.3133
24.18838,1,-2.042226,0.5800046,217.3133
24.38844,1,-2.042226,0.5800046,217.3133
24.58826,1,-2.042226,0.5800046,217.3133
24.78832,1,-2.042226,0.5800046,217.3133
25.00194,1,-2.042226,0.5800046,217.3133
25.18593,1,-2.042226,0.5800046,217.3133
25.39001,1,-2.042226,0.5800046,217.3133
25.58833,1,-2.073262,0.5800047,217.2403
25.78392,1,-2.764032,0.5800057,215.6147
25.99231,1,-4.18538,0.5800056,211.9656
26.20194,1,-4.500064,0.5800044,208.4499
26.39616,1,-2.294768,0.5800025,204.6772
26.60194,1,0.3147216,0.5800021,202.6113
26.80031,1,3.980342,0.5800056,199.7556
27.00194,1,6.562299,0.5800055,197.7548
27.19221,1,10.1821,0.580005,194.9917
27.39584,1,13.44388,0.580005,192.554
27.59655,1,16.6588,0.580005,190.1514
27.80031,1,19.92252,0.580005,187.7123
27.99621,1,23.03963,0.580005,185.3396
