time,progress,x,y,z
0,0,0,0,0
0.1878128,0,0,0,0
0.3924637,0,0,0,0
0.5880318,0,0,0,0
0.8001862,0,0,0,0
0.9962196,0,0,0,0
1.205513,0,0,0,0
1.40551,0,0,0.5800046,3.679628E-19
1.605511,0,-1.66175,0.580005,-0.5942739
1.804268,0,-4.075874,0.580005,-4.096212
1.988457,0,-4.865918,0.580005,-7.681832
2.205513,0,-5.329957,0.580005,-11.14257
2.404392,0,-5.678276,0.580005,-12.10771
2.588638,0,-5.680749,0.580005,-12.10859
2.796326,0,-4.454398,0.5800048,-11.41074
3.005512,0,-1.261979,0.5800045,-11.43601
3.196075,0,0.6479053,0.5800049,-12.16348
3.400417,0,0.6942807,0.580005,-12.12097
3.604504,0,-0.1220488,0.580005,-12.12097
3.788017,0,-2.936453,0.580005,-12.17172
3.988228,0,-6.930267,0.580005,-11.96558
4.204624,0,-11.23518,0.5800049,-11.52013
4.399971,0,-14.38599,0.5800049,-10.22279
4.596188,0,-14.97509,0.580005,-6.928959
4.801529,0,-12.86204,0.5800049,-3.427701
4.98827,0,-9.682676,0.580005,-1.037022
5.200821,0,-6.462212,0.580005,1.937853
5.396454,0,-4.377518,0.580005,5.236172
5.596111,0,-3.264388,0.5800049,9.330064
5.800232,0,-0.7897993,0.580005,14.20916
5.996269,0,3.604241,0.580005,14.88571
6.196102,0,6.827487,0.580005,12.49577
6.389221,0,9.706777,0.580005,9.93506
6.591778,0,13.5426,0.580005,10.36567
6.793198,0,17.51327,0.580005,13.46948
6.996773,0,23.02462,0.580005,13.76955
7.196079,0,27.41047,0.5800049,13.28417
7.400261,0,31.31341,0.580005,14.48747
7.58802,0,34.85323,0.580005,15.74098
7.792015,0,38.60439,0.580005,17.33978
8.005512,0,41.9221,0.580005,18.93566
8.205513,0,44.84269,0.580005,21.54441
8.40551,0,47.12327,0.580005,24.76552
8.605511,0,46.76946,0.580005,25.8049
8.805511,0,49.36121,0.580005,26.23607
8.989464,0,53.25928,0.580005,24.91154
9.200264,0,56.91195,0.580005,22.81706
9.388073,0,60.47617,0.580005,21.63284
9.588081,0,64.46809,0.580005,20.98241
9.792332,0,69.24723,0.580005,22.59371
10.00429,0,74.54274,0.580005,25.35273
10.20401,0,79.53246,0.580005,27.95243
10.4047,0,84.54657,0.580005,30.56484
10.59249,0,89.23815,0.580005,33.00921
10.80029,0,94.22581,0.580005,36.03494
11.00462,0,98.29272,0.580005,40.10627
11.19597,0,101.9006,0.580005,44.11153
11.39247,0,105.6032,0.580005,48.22656
11.60025,0,109.339,0.580005,52.72963
11.80551,0,112.2318,0.580005,57.02784
11.99611,0,115.2353,0.580005,62.18255
12.19641,0,117.667,0.580005,67.27471
12.40011,0,120.1356,0.580005,72.45496
12.59255,0,122.4679,0.580005,77.34908
12.79618,0,124.8536,0.580005,82.57012
12.99949,0,127.2246,0.5800049,87.78854
13.18865,0,129.4307,0.580005,92.6441
13.39192,0,131.6396,0.580005,97.92493
13.60551,0,131.989,0.580005,103.0745
13.79193,0,131.0595,0.580005,108.9813
13.99613,0,129.9643,0.580005,114.5829
14.20429,0,128.8479,0.580005,120.2931
14.39644,0,128.3477,0.580005,125.2267
14.60551,0,129.5316,0.580005,128.7508
14.80551,0,131.7424,0.580005,132.0908
15.00551,0,133.9936,0.580005,135.4921
15.20551,0,136.2001,0.580005,138.8257
15.38901,0,137.8598,0.580005,142.7368
15.60551,0,137.58,0.580005,147.4112
15.79174,0,136.4498,0.580005,153.3291
16.00551,0,135.441,0.580005,158.6109
16.20551,0,134.6262,0.580005,163.2746
16.38838,0,135.4473,0.580005,168.2845
16.59643,0,137.3892,0.580005,171.9619
16.78845,0,138.0341,0.580005,175.7345
16.99394,0,136.6689,0.580005,179.4115
17.196,0,134.1119,0.580005,182.541
17.39623,0,131.5783,0.580005,185.642
17.59624,0,129.0473,0.580005,188.7399
17.80551,0,128.3975,0.580005,191.792
18.00551,0,130.6231,0.580005,194.9374
