time,progress,x,y,z
0,0,0,0,0
0.9959373,0,0,0,0
1.995892,0,0,0,0
2.997002,0,7.103857,0.580005,4.034364
3.993755,0,27.81327,0.5800049,17.78456
4.996532,0,49.86583,0.580005,11.48218
5.992226,0,50.10386,0.5800047,10.93948
6.996258,0,47.94566,0.580005,-3.911212
8.000214,0,45.42942,0.5800048,-6.159892
8.992626,0,45.42942,0.5800048,-6.159892
9.995758,0,46.80835,0.580005,-6.367519
10.99686,0,54.0756,0.580005,10.39877
11.99673,0,65.82182,0.5800048,26.31224
12.99677,0,75.35791,0.5800045,46.03379
14.00011,0,96.94508,0.580005,50.98736
14.99601,0,101.5354,0.5800052,70.26256
15.99232,0,108.5429,0.5800049,88.92343
17.00004,0,114.6014,0.5800029,108.0852
17.99611,0,115.5731,0.5800049,126.1836
18.99582,0,111.7438,0.580005,132.678
19.99248,0,97.39819,0.5800048,134.5987
21.00003,0,79.25847,0.580005,127.6951
22.00414,0,76.10369,0.5800049,120.1754
22.9926,0,76.10369,0.5800048,120.1754
24.0088,0,75.59737,0.5800047,120.6728
24.99655,0,64.70248,0.5800063,135.296
26.00405,0,62.8782,0.5800053,154.9875
27.00398,0,69.9534,0.580005,171.5475
27.99579,0,71.3935,0.580005,177.467
28.99632,0,62.29968,0.580005,188.7037
30.00006,0,54.07807,0.580005,173.4506
31.00428,0,36.51892,0.5800049,168.7221
31.99298,0,16.82983,0.580005,170.1567
33.00404,0,8.226848,0.5800049,175.4612
34.0004,0,-4.897271,0.580005,182.7678
35.00048,0,-7.698837,0.5800049,184.3207
36.00451,0,-8.035246,0.580005,183.0652
36.99653,0,-18.80351,0.580005,172.6641
37.99639,0,-19.86227,0.580005,174.5501
38.99302,0,-27.39626,0.5800049,173.0369
39.99659,0,-38.14525,0.580005,157.2669
41.00123,0,-57.43945,0.5800047,153.7578
41.99743,0,-68.53136,0.580005,168.0708
43.00068,0,-79.12903,0.580005,184.7762
43.99572,0,-78.96365,0.580005,202.8871
44.99229,0,-78.08202,0.580005,220.405
45.99639,0,-66.97832,0.580005,228.6091
46.99965,0,-47.39924,0.580005,227.7368
47.99221,0,-28.0055,0.5800046,223.5444
48.99208,0,-8.487528,0.5800051,219.2422
50.00017,1,-7.159673,0.5800048,218.8926
50.99965,1,-7.159673,0.5800048,218.8926
52.00405,1,-7.159673,0.5800048,218.8926
52.99585,1,-7.159673,0.5800029,218.8926
53.9926,1,-7.159673,0.5800029,218.8926
54.99568,1,-7.159673,0.5800029,218.8926
55.99235,1,-7.159673,0.5800029,218.8926
56.99982,1,-7.15764,0.5800029,218.6104
58.00053,1,-7.026429,0.5800055,200.3948
58.99975,1,-5.286106,0.580002,181.1664
60.00445,1,-5.778669,0.5800051,186.2821
60.99613,1,-6.368835,0.5800048,197.0429
61.99583,1,-6.368835,0.5800048,197.0429
62.99284,1,0.8406859,0.580009,193.5546
64.00012,1,16.33038,0.5800048,181.9118
64.99638,1,28.29577,0.5800074,166.3081
65.99989,1,34.2464,0.5800039,147.3124
67.00378,1,39.80213,0.5800093,128.1429
67.99283,1,45.27575,0.5800068,109.2568
68.99583,1,50.82667,0.5800089,90.1039
69.99988,1,56.38331,0.5800102,70.93127
70.99554,1,61.72959,0.5800053,51.85291
71.99326,1,65.6721,0.5800065,32.37191
72.99634,1,65.90275,0.5799952,12.40125
74.00047,1,62.39334,0.5800062,-7.350357
74.9957,1,55.30517,0.5800034,-25.84056
75.99599,1,51.661,0.5799931,-32.9658
76.99585,1,51.661,0.5799931,-32.9658
78.0004,1,52.0992,0.580005,-35.45763
79.00017,1,46.74596,0.5800047,-34.14543
79.99623,1,45.99877,0.5800044,-24.00863
80.99231,1,37.54841,0.5800049,-24.81404
82.00035,1,37.19824,0.5800049,-22.76073
82.99214,1,37.19824,0.5800049,-22.76073
83.99576,1,37.19824,0.5800049,-22.76073
84.99251,1,37.19824,0.5800049,-22.76073
