time,progress,x,y,z
0,0,0,0,0
0.1881599,0,0,0,0
0.3961754,0,0,0,0
0.6000977,0,0,0,0
0.791893,0,0,0,0
0.9883804,0,0,0,0
1.199516,0,0,0,0
1.395905,0,0,0,0
1.599617,0,0,0,0
1.792145,0,0,0,0
1.992325,0,0,0,0
2.188095,0,0,0,0
2.39196,0,0,0,0
2.605606,0,0,0,0
2.799889,0,0,0,0
2.989166,0,0,0,0
3.188145,0,0,0,0
3.400078,0,0,0,0
3.59586,0,0,0,0
3.805607,0,0,0,0
4.005608,0,0,0,0
4.187935,0,0,0,0
4.396252,0,0,0,0
4.605606,0,0,0,0
4.80426,0,0,0,0
5.004032,0,0,0,0
5.199928,0,0,0,0
5.388329,0,0,0,0
5.596085,0,0,0,0
5.805607,0,0,0,0
5.99213,0,0,0,0
6.205605,0,0,0,0
6.396172,0,0,0,0
6.600029,0,0,0,0
6.804043,0,0,0,0
6.996216,0,0,0,0
7.190247,0,0,0,0
7.405605,0,0,0,0
7.605606,0,0,0,0
7.805607,0,0,0,0
7.996166,0,-0.1652954,0.580002,0.3712595
8.195484,0,-0.1652954,0.580002,0.3712595
8.387657,0,-0.1652954,0.580002,0.3712595
8.591782,0,-0.2524627,0.580003,0.5670406
8.796043,0,-0.6120534,0.5800022,1.374694
9.005608,0,-0.6017499,0.5800049,1.351552
9.205605,0,0.01212734,0.5800049,-0.02723849
9.400177,0,0.3626277,0.580005,-0.8144752
9.591465,0,0.8523468,0.580005,-1.914402
9.787956,0,0.08181129,0.580005,-0.1837513
10.00006,0,-1.405312,0.580005,3.156382
10.2056,0,-1.973943,0.5800051,4.433548
10.39183,0,-2.600727,0.5800048,5.841328
10.60003,0,-3.132176,0.5800048,7.034982
10.80561,0,-3.392349,0.5800046,7.615767
10.99171,0,-3.352209,0.5800049,7.586918
11.20403,0,-2.702742,0.580005,6.5298
11.38796,0,-2.593938,0.580005,6.365524
11.60561,0,-1.386966,0.580005,4.724205
11.80035,0,-0.6788487,0.580005,3.939005
12.00561,0,-0.6788487,0.580005,3.939005
12.19553,0,-0.6788487,0.580005,3.939005
12.39278,0,-0.6788487,0.5800048,3.939005
12.59997,0,-0.6788487,0.5800048,3.939005
12.79158,0,-0.6788487,0.5800048,3.939005
13.0056,0,-0.6788487,0.5800048,3.939005
13.2056,0,-0.6788487,0.5800048,3.939005
13.40015,0,-0.6788487,0.5800048,3.939005
13.59566,0,-0.6788487,0.5800048,3.939005
13.80561,0,-0.6788487,0.5800048,3.939005
13.99981,0,-0.6788487,0.5800048,3.939005
14.19235,0,-0.6788487,0.5800048,3.939005
14.39192,0,-0.6788487,0.5800048,3.939005
14.60561,0,-0.6788487,0.5800048,3.939005
14.79213,0,-0.6788487,0.5800048,3.939005
14.99252,0,-0.6788487,0.5800048,3.939005
15.19625,0,-0.6788487,0.5800048,3.939005
15.39574,0,-0.6788487,0.5800048,3.939005
15.60561,0,-0.6788487,0.5800048,3.939005
15.80561,0,-0.673111,0.5800059,4.016215
16.0056,0,-0.5438701,0.5800049,5.755363
16.19631,0,-0.240226,0.5800059,9.841391
16.39563,0,0.03079198,0.580005,13.48838
16.58875,0,0.3033109,0.5800058,17.15557
16.79606,0,0.3471608,0.5800049,17.74564
16.99168,0,0.3149321,0.580005,16.69288
17.1919,0,0.3149321,0.580005,16.69288
17.38793,0,0.3149321,0.580005,16.69288
17.59203,0,0.3149321,0.580005,16.69288
17.79252,0,0.3149321,0.580005,16.69288
17.98778,0,0.1287486,0.580005,16.60606
18.20377,0,-2.088625,0.580005,15.57208
18.40561,0,-4.746622,0.580005,14.33049
18.59573,0,-8.122476,0.580005,12.72234
18.78822,0,-11.59721,0.5800048,11.06498
18.99722,0,-15.36822,0.580005,9.261589
19.19996,0,-18.85958,0.580005,7.202241
19.40011,0,-21.1302,0.580005,5.759107
19.60407,0,-22.13801,0.580005,6.632366
19.80387,0,-24.00657,0.580005,9.565418
19.99615,0,-26.06091,0.5800049,12.78485
20.18968,0,-28.3853,0.5800049,15.85103
20.38786,0,-31.03922,0.5800049,17.96533
