time,progress,x,y,z
0,0,0,0,0
0.2013779,0,0,0,0
0.3942642,0,0,0,0
0.5905457,0,0,0,0
0.8013763,0,0,0,0
1.001373,0,0,0,0
1.201378,0,0,0,0
1.386475,0,0,0,0
1.590439,0,0,0,0
1.790497,0,0,0,0
1.986336,0,0,0,0
2.201378,0,0,0,0
2.401375,0,0,0,0
2.582924,0,0,0,0
2.782562,0,0.02577181,0.5800044,0.4469302
2.982643,0,0.3195429,0.5800049,3.156319
3.186615,0,0.90973,0.580005,7.192674
3.394272,0,2.934582,0.580005,10.74387
3.601372,0,5.12679,0.580005,13.49985
3.790016,0,7.861494,0.580005,16.93785
3.982735,0,11.01257,0.580005,18.97816
4.183006,0,14.98177,0.580005,19.43665
4.382454,0,18.96667,0.5800049,19.29462
4.586342,0,23.04173,0.5800049,19.19381
4.794594,0,27.20473,0.580005,19.12434
4.982468,0,30.96067,0.580005,19.0796
5.190643,0,35.12308,0.580005,19.04327
5.390686,0,39.12286,0.5800049,19.04539
5.594719,0,43.208,0.580005,18.87814
5.7948,0,47.28434,0.580005,18.55855
5.982239,0,50.89233,0.580005,19.57611
6.183228,0,54.76106,0.580005,20.66721
6.394302,0,58.78133,0.580005,21.94975
6.594368,0,62.53449,0.5800049,23.33437
6.794373,0,66.28634,0.5800049,24.7185
6.994072,0,70.0326,0.580005,26.10056
7.194229,0,73.78746,0.5800049,27.48581
7.395195,0,77.52552,0.580005,28.95597
7.591034,0,81.06798,0.5800049,30.62025
7.782204,0,83.98172,0.580005,33.03246
7.985939,0,86.43391,0.580005,36.28664
8.186035,0,88.84232,0.580005,39.4827
8.39061,0,91.7747,0.5800049,42.39604
8.599365,0,96.75006,0.5800049,43.87454
8.78241,0,101.8739,0.5800049,44.61586
8.982613,0,106.0257,0.5800049,47.61346
9.201378,0,107.3246,0.5800048,51.37955
9.382545,0,107.5606,0.5800049,55.53542
9.601372,0,107.7609,0.580005,59.28575
9.790298,0,107.8371,0.5800046,63.68381
9.983543,0,107.7817,0.5800044,67.54808
10.18667,0,107.6158,0.5800052,71.60709
10.40137,0,107.4251,0.5800051,75.27229
10.59431,0,108.823,0.5800047,79.84196
10.78364,0,112.0219,0.580005,83.87663
10.98399,0,115.5402,0.5800055,88.31798
11.18271,0,117.5167,0.580005,92.78934
11.38276,0,116.9579,0.580005,96.79197
11.59016,0,115.7463,0.580005,100.755
11.78756,0,114.5787,0.580005,104.5201
11.98661,0,113.4,0.580005,108.3158
12.19424,0,112.1706,0.580005,112.2753
12.38205,0,111.0588,0.580005,115.8559
12.58241,0,109.8727,0.580005,119.6756
12.78238,0,108.3973,0.580005,123.353
13.00137,0,106.6747,0.580005,126.8396
13.19891,0,105.7712,0.580005,131.8447
13.38361,0,106.5483,0.580005,135.8836
13.59801,0,108.2913,0.580005,139.8055
13.7903,0,109.7339,0.580005,141.5549
13.9904,0,111.4202,0.580005,141.5755
14.19061,0,112.0757,0.580005,141.59
14.39083,0,112.0757,0.580005,141.59
14.60137,0,111.0779,0.5800049,141.59
14.7907,0,107.5863,0.580005,141.6255
14.99762,0,103.5992,0.580005,140.5896
15.18625,0,100.0705,0.5800049,139.2554
15.39026,0,96.42746,0.580005,137.4241
15.59114,0,92.87186,0.5800049,135.5534
15.78233,0,89.50062,0.580005,133.7498
