time,progress,x,y,z
0,0,0,0,0
0.1917038,0,0,0,0
0.391346,0,0,0,0
0.592308,0,0,0,0
0.7962418,0,0,0,0
0.9920769,0,0,0,0
1.191298,0,0,0,0
1.391968,0,0,0,0
1.591854,0,0,0,0
1.792038,0,0,0,0
1.99209,0,0,0,0
2.191753,0,0,0,0
2.39122,0,0,0,0
2.595972,0,0,0,0
2.79974,0,0,0,0
2.995796,0,0,0,0
3.1954,0,0,0,0
3.400995,0,0,0,0
3.595657,0,0,0,0
3.795998,0,0,0,0
3.99976,0,0,0,0
4.183723,0,0,0,0
4.391903,0,0,0,0
4.583794,0,0,0,0
4.791462,0,0,0,0
4.984398,0,0,0,0
5.192398,0,0,0,0
5.383682,0,0,0,0
5.583199,0,0,0,0
5.791363,0,0,0,0
5.999531,0,0,0,0
6.187546,0,0,0,0
6.397812,0,0,0,0
6.600166,0,0,0,0
6.783634,0,-0.7118314,0.580005,0.1032106
6.987061,0,-3.730324,0.580005,0.5408709
7.195602,0,-5.908407,0.580005,0.8566777
7.388004,0,-8.462314,0.580005,1.226976
7.595882,0,-9.705606,0.5800049,1.434165
7.783623,0,-9.705606,0.5800049,1.434165
7.99168,0,-9.705606,0.5800049,1.434165
8.18343,0,-9.705606,0.5800049,1.434165
8.392406,0,-9.705606,0.5800049,1.434165
8.584167,0,-9.705606,0.5800048,1.434165
8.792397,0,-9.705606,0.5800048,1.434165
8.983875,0,-9.705606,0.5800048,1.434165
9.192364,0,-9.705606,0.5800048,1.434165
9.396076,0,-9.705606,0.5800048,1.434165
9.595959,0,-9.889525,0.580005,1.382295
9.783699,0,-11.77819,0.580005,0.8496353
9.987701,0,-15.57165,0.5800049,-0.2202307
10.19576,0,-19.56291,0.580005,-1.345882
10.39563,0,-23.397,0.580005,-2.427208
10.5835,0,-25.88114,0.580005,-3.127806
10.79165,0,-26.41361,0.580005,-3.270942
10.98357,0,-26.41361,0.580005,-3.270942
11.20124,0,-26.41361,0.5800049,-3.270942
11.39174,0,-26.41361,0.5800049,-3.270942
11.58759,0,-26.41361,0.5800048,-3.270942
11.80102,0,-26.41361,0.5800048,-3.270942
11.98753,0,-26.41361,0.5800048,-3.270942
12.19607,0,-26.41723,0.580005,-3.255869
12.38754,0,-26.73401,0.580005,-1.936381
12.5957,0,-27.58543,0.580005,1.610058
12.78392,0,-28.17201,0.580005,4.053333
12.98777,0,-28.29672,0.580005,4.572774
13.19169,0,-28.39643,0.580005,4.988115
13.39942,0,-29.00044,0.580005,7.503976
13.58378,0,-29.3478,0.580005,8.950859
13.78777,0,-29.39089,0.580005,9.130335
13.98717,0,-29.83852,0.580005,10.99485
14.1918,0,-30.73387,0.580005,14.72425
14.39612,0,-31.65846,0.580005,18.57544
14.58429,0,-32.50999,0.580005,22.12232
14.7928,0,-33.45352,0.5800049,26.0524
14.9918,0,-34.35407,0.5800049,29.80347
15.18801,0,-35.24195,0.580005,33.50176
15.38324,0,-36.12545,0.5800049,37.18177
15.58348,0,-36.87288,0.5800049,40.29505
15.78814,0,-37.11762,0.580005,41.20813
15.98951,0,-37.11762,0.580005,41.20813
16.18893,0,-37.11762,0.5800049,41.20813
16.39602,0,-37.11762,0.5800049,41.20813
16.58721,0,-37.11762,0.5800048,41.20813
16.79275,0,-37.61477,0.5800049,41.47247
16.99218,0,-40.10302,0.5800049,42.79549
17.19149,0,-43.5945,0.5800049,44.65195
17.38726,0,-47.02405,0.5800049,46.47547
17.59605,0,-50.70568,0.580005,48.37168
17.79594,0,-54.5139,0.580005,49.46411
17.99181,0,-58.37195,0.580005,49.91835
18.19186,0,-62.32389,0.580005,50.28424
18.39724,0,-66.38474,0.580005,50.62167
18.59594,0,-70.31332,0.580005,50.94811
18.78528,0,-74.06701,0.580005,50.96227
18.988,0,-78.08603,0.580005,50.80436
19.19135,0,-82.11722,0.5800049,50.64597
19.39985,0,-86.25078,0.580005,50.48357
19.60009,0,-90.22041,0.580005,50.3276
19.8031,0,-93.76975,0.580005,50.18814
19.98362,0,-97.82397,0.580005,50.02885
20.18403,0,-101.797,0.580005,49.87275
20.40023,0,-106.0832,0.580005,49.70435
20.5912,0,-109.2145,0.5800049,49.58132
20.78838,0,-110.2258,0.580005,49.54159
20.99175,0,-110.2258,0.580005,49.54159
21.18372,0,-110.2258,0.580005,49.54159
21.39979,0,-110.2316,0.580005,49.87616
21.59698,0,-110.2705,0.580005,52.10558
21.78774,0,-110.3293,0.5800049,55.4709
21.99952,0,-110.3948,0.5800049,59.22745
22.19617,0,-110.8268,0.580005,62.96063
22.40035,0,-111.6401,0.580005,66.9586
22.58852,0,-112.3884,0.580005,70.63615
22.8031,0,-113.1659,0.5800049,74.38721
22.9918,0,-113.9241,0.5800048,77.03031
23.18335,0,-114.1385,0.5800048,77.33347
23.39204,0,-114.1385,0.5800048,77.33347
23.59599,0,-115.161,0.5800049,77.91785
23.8031,0,-117.8709,0.580005,79.46674
23.98739,0,-121.4803,0.5800051,81.52966
24.18369,0,-124.8876,0.5800051,83.47709
24.39942,0,-128.8625,0.5800049,85.02914
24.59145,0,-132.6569,0.5800046,85.34248
24.80041,0,-136.789,0.5800047,85.61333
24.99987,0,-140.3232,0.5800046,86.84638
25.1918,0,-140.3707,0.5800043,90.57767
25.38332,0,-139.4823,0.5800052,94.28907
25.59127,0,-138.2624,0.5800055,98.25827
25.784,0,-136.5439,0.580005,101.673
26.00141,0,-133.4713,0.580005,104.6825
26.19581,0,-130.5295,0.580005,107.1509
26.39513,0,-127.2412,0.580005,109.1075
26.59197,0,-123.5877,0.580005,109.0921
26.79165,0,-120.1635,0.5800049,109.0473
26.98779,0,-118.6902,0.580005,109.028
27.19997,0,-118.6509,0.580005,109.0275
27.3958,0,-118.6509,0.5800049,109.0275
27.59551,0,-118.5452,0.580005,109.0317
27.80113,0,-116.543,0.580005,109.1103
27.99551,0,-112.83,0.5800049,109.2562
28.18714,0,-109.8444,0.5800049,109.4054
28.38515,0,-109.0973,0.580005,109.7284
28.58335,0,-109.0973,0.580005,109.7284
28.7961,0,-109.0973,0.5800049,109.7284
28.98791,0,-109.0973,0.5800049,109.7284
29.18387,0,-109.0973,0.5800048,109.7284
29.38414,0,-109.1359,0.5800046,109.7853
29.58803,0,-110.085,0.580005,111.3745
29.79983,0,-111.9702,0.5800047,114.9508
30.00019,0,-113.8184,0.5800048,118.5012
30.201,0,-115.6801,0.5800046,122.0543
30.38382,0,-117.4084,0.5800048,125.271
30.58774,0,-120.2269,0.5800051,128.1087
30.78743,0,-123.4181,0.5800045,130.4273
30.98797,0,-126.623,0.5800045,132.7558
31.18838,0,-129.9451,0.580005,134.8984
31.38733,0,-133.4838,0.5800047,136.6709
31.58802,0,-137.0789,0.580005,138.4144
31.78782,0,-140.5389,0.580005,140.049
32.00005,0,-144.2882,0.580005,141.4869
32.19593,0,-147.7251,0.580005,140.0612
32.39122,0,-150.6791,0.580005,137.6072
32.58746,0,-153.6461,0.580005,135.1395
32.8031,0,-156.5468,0.580005,132.727
32.98752,0,-159.7471,0.580005,130.1737
33.20023,0,-163.0653,0.580005,127.632
33.3957,0,-165.8686,0.580005,124.9803
33.59536,0,-168.3385,0.580005,121.8875
33.80011,0,-170.3624,0.580005,118.3626
33.99514,0,-171.8349,0.580005,115.3433
34.19545,0,-172.3612,0.580005,114.2644
34.38439,0,-172.3612,0.580005,114.2644
34.59167,0,-172.4193,0.580005,114.2528
34.79196,0,-174.1131,0.580005,113.9159
34.98328,0,-177.5932,0.580005,113.2237
35.19663,0,-181.7361,0.5800049,112.4931
35.38813,0,-185.0678,0.580005,114.1865
35.59704,0,-188.1729,0.580005,116.9392
35.78402,0,-190.7475,0.5800049,119.6071
35.99817,0,-193.0746,0.5800049,123.1222
36.18322,0,-194.7468,0.5800049,125.8243
36.39106,0,-195.4171,0.580005,126.9076
36.58821,0,-195.4171,0.580005,126.9076
36.79979,0,-195.4171,0.580005,126.9076
36.99506,0,-195.4309,0.580005,126.9582
37.20001,0,-195.9003,0.580005,128.6798
37.39555,0,-196.8574,0.580005,132.1906
37.59593,0,-197.8939,0.580005,135.9924
37.79166,0,-198.879,0.580005,139.7058
37.98336,0,-198.8789,0.580005,143.3428
38.19526,0,-198.879,0.580005,147.3631
38.39121,0,-198.879,0.5800049,151.0809
38.5911,0,-198.879,0.580005,154.8734
38.79578,0,-198.879,0.580005,158.7567
38.99563,0,-198.879,0.580005,162.5484
39.18814,0,-198.8827,0.5800049,166.208
39.39621,0,-198.8889,0.580005,170.2542
39.58738,0,-198.8889,0.5800049,173.977
39.79607,0,-198.8889,0.580005,178.0409
39.98397,0,-198.8902,0.580005,181.7009
40.18719,0,-198.1626,0.580005,185.557
40.38399,0,-197.2554,0.580005,188.1916
40.5883,0,-197.0479,0.580005,188.7942
40.79609,0,-197.0479,0.580005,188.7942
40.9841,0,-197.0479,0.5800049,188.7942
41.18766,0,-197.0479,0.5800049,188.7942
41.3958,0,-196.9531,0.580005,188.834
41.6031,0,-195.4441,0.5800049,189.4667
41.79139,0,-192.0038,0.580005,190.9094
41.99586,0,-188.4435,0.580005,192.4023
42.20006,0,-184.714,0.580005,193.3774
42.3835,0,-181.1642,0.580005,193.5324
42.58756,0,-177.1796,0.580005,193.5846
42.79179,0,-173.1882,0.580005,193.6368
42.99183,0,-169.279,0.580005,193.688
43.19176,0,-165.3717,0.580005,193.7392
43.39158,0,-161.4666,0.580005,193.7903
43.59146,0,-157.5653,0.580005,193.6329
