time,progress,x,y,z
0,0,0,0,0
0.2000427,0,0,0,0
0.4009323,0,0,0,0
0.6039734,0,0,0,0
0.803894,0,0,0,0
1.007927,0,0,0.580005,0.2359517
1.208511,0,0,0.580005,2.668304
1.407944,0,0,0.580005,6.627902
1.595657,0,0,0.580005,10.38214
1.796516,0,0,0.580005,14.39931
2.003853,0,0,0.580005,18.54604
2.20874,0,0,0.580005,22.64384
2.396217,0,0,0.580005,26.39338
2.613121,0,0,0.580005,30.73136
2.796249,0,0,0.580005,34.39389
3.008789,0,0,0.580005,38.57291
3.196632,0,0,0.580005,41.94653
3.396317,0,0,0.580005,43.3863
3.604477,0,0,0.580005,43.4039
3.797356,0,0,0.580005,43.4039
3.996178,0,0,0.580005,43.4039
4.212479,0,0,0.580005,43.4039
4.396866,0,0,0.5800048,43.4039
4.596458,0,0,0.5800048,43.4039
4.80085,0,0,0.5800048,43.4039
5.00396,0,0.2176508,0.5800046,43.62928
5.207756,0,1.942323,0.5800047,45.41523
5.396011,0,4.539532,0.5800043,48.10472
5.600052,0,7.369058,0.5800046,51.03478
5.804199,0,10.20007,0.5800048,53.96638
5.996658,0,12.86891,0.5800052,56.73005
6.208099,0,15.801,0.5800048,59.76631
6.412743,0,18.63885,0.5800046,62.70499
6.613396,0,21.07149,0.5800044,65.22407
6.795891,0,23.95211,0.5800057,68.20704
7.012444,0,26.71218,0.5800054,71.06517
7.212822,0,27.73026,0.5800054,72.11942
7.406052,0,27.7427,0.5800061,72.13231
7.601944,0,27.7427,0.5800061,72.13231
7.80381,0,27.7427,0.5800061,72.13231
7.993729,0,27.7427,0.5800061,72.13231
8.208473,0,27.7427,0.5800061,72.13231
8.395805,0,27.7427,0.5800061,72.13231
8.603798,0,27.7427,0.5800061,72.13231
8.813377,0,27.7427,0.5800061,72.13231
9.013397,0,27.7427,0.5800061,72.13231
9.208092,0,27.7427,0.5800061,72.13231
9.413391,0,27.7427,0.5800061,72.13231
9.59639,0,27.7427,0.5800061,72.13231
9.803864,0,27.7427,0.5800061,72.13231
10.00819,0,27.7427,0.5800042,72.13231
10.19982,0,27.7427,0.5800024,72.13231
