time,progress,x,y,z
0,0,0,0,0
1.015965,0,0,0,0
1.999737,0,0,0,0
3.017296,0,0,0,0
4.017296,0,0,0,0
5.000282,0,0,0,0
6.003819,0,0,0,0
6.999882,0,0,0,0
8.005375,0,-3.226032,0.580005,8.403212
9.017296,0,-3.789095,0.5800051,25.70597
10.008,0,-0.6184164,0.580005,45.51794
11.0173,0,6.553817,0.580005,63.07038
12.0173,0,7.297593,0.580005,65.8558
13.00388,0,7.297593,0.5800048,65.8558
14.00419,0,7.297593,0.5800048,65.8558
14.99984,0,7.297593,0.5800048,65.8558
16.00045,0,7.297593,0.5800048,65.8558
17.00341,0,0.1178828,0.5800063,55.34901
18.00792,0,-7.082017,0.580005,35.91986
19.00383,0,-21.25131,0.5800049,26.37051
20.00386,0,-36.49165,0.580005,37.33873
21.00361,0,-53.33426,0.580005,42.17105
22.01165,0,-71.58929,0.580005,33.70873
23.01729,0,-85.18568,0.580005,19.58292
24.01156,0,-90.24561,0.580005,0.2560934
25.01729,0,-91.51926,0.580005,-19.21124
26.00801,0,-107.3986,0.580005,-30.12363
27.00391,0,-126.928,0.5800049,-28.86336
28.00029,0,-141.0237,0.5800049,-21.12055
29.00788,0,-146.4035,0.5800049,-21.12188
30.01729,0,-146.4035,0.5800048,-21.12188
31.00057,0,-129.1518,0.5800051,-24.12908
32.00474,0,-102.2325,0.5800051,-33.00922
33.00804,0,-75.20607,0.5800045,-41.50011
34.01157,0,-48.15965,0.5800054,-49.94929
35.01159,0,-21.14668,0.5800061,-58.15074
35.99973,0,6.758764,0.5800055,-58.55318
36.9999,0,35.02502,0.5800041,-58.74499
37.99743,0,62.28542,0.5800049,-52.66618
39.01729,0,85.14005,0.5800049,-36.46325
40.01566,0,93.6197,0.580005,-18.54023
41.01729,0,101.0743,0.580005,-17.1968
42.012,0,117.3969,0.580005,-6.719516
43.01677,0,121.225,0.580005,15.30387
44.00354,0,134.1946,0.580005,37.07228
45.01181,0,131.943,0.580005,53.1079
46.00396,0,123.1667,0.580005,70.90398
47.01626,0,126.8912,0.580005,86.01451
48.004,0,136.4003,0.580005,108.5337
49.01729,0,136.0435,0.580005,136.1253
50.00023,0,129.3552,0.580005,163.688
51.00413,0,130.2228,0.580005,186.5456
52.01729,0,140.7187,0.580005,203.2608
53.01729,0,135.8577,0.5800049,229.7001
54.00571,0,123.922,0.5800049,255.5014
55.00893,0,100.4059,0.580005,268.4603
56.00782,0,83.3167,0.580005,268.4642
57.01597,0,64.9576,0.580005,264.7347
58.00779,0,48.7706,0.5800046,253.2897
59.01172,0,31.35752,0.5800051,243.3084
60.00389,0,13.7873,0.5800048,234.1447
61.00776,0,8.162099,0.5800052,231.0914
62.00038,0,-2.537628,0.580005,222.385
63.0001,0,-2.542389,0.5800048,222.3815
64.01729,1,-4.642231,0.5800049,219.0459
65.01187,1,-4.642231,0.5800048,219.0459
66.00792,1,-4.642231,0.5800048,219.0459
67.01729,1,-4.642231,0.5800048,219.0459
68.00824,1,-4.642231,0.5800048,219.0459
69.01219,1,-4.642231,0.5800048,219.0459
70.01729,1,-4.642231,0.5800048,219.0459
71.01602,1,2.209763,0.580005,219.6284
72.01604,1,20.21548,0.580005,227.6987
73.00369,1,37.0364,0.580005,219.2673
74.01207,1,44.82309,0.580005,197.453
75.01016,1,47.9169,0.580005,169.8113
76.01302,1,51.02544,0.580005,142.038
77.00357,1,72.78525,0.580005,138.743
78.01729,1,90.97836,0.580005,131.1697
79.00423,1,111.3904,0.580005,124.599
80.00027,1,111.77,0.5800049,105.2451
81.0002,1,111.8519,0.580005,85.76588
82.01167,1,109.3072,0.580005,66.15591
83.00375,1,101.5283,0.580005,48.71418
84.01729,1,88.7469,0.580005,34.79583
84.99983,1,71.2291,0.580005,26.70122
86.01729,1,52.22694,0.580005,27.39385
87.00821,1,32.71084,0.580005,23.58941
88.01729,1,14.68365,0.580005,16.78042
89.00812,1,3.234016,0.580005,9.19081
90.01218,1,3.234016,0.5800048,9.19081
91.01729,1,3.234016,0.5800048,9.19081
92.01219,1,3.234016,0.5800048,9.19081
93.01205,1,3.234016,0.5800048,9.19081
94.01224,1,3.234016,0.5800048,9.19081
95.00764,1,3.234016,0.5800048,9.19081
96.00804,1,3.234016,0.580003,9.19081
