time,progress,x,y,z
0,0,0,0,0
0.19207,0,0,0,0
0.4023361,0,0,0,0
0.5918827,0,0,0,0
0.7963238,0,0,0,0
0.9961815,0,0.1119305,0.5800049,0.3419797
1.191717,0,1.936846,0.580005,2.044429
1.391912,0,4.721705,0.5800049,5.00755
1.58769,0,2.845975,0.580005,9.350678
1.787912,0,0.5822423,0.580005,13.33555
1.991564,0,0.2257281,0.5800049,17.37244
2.184095,0,0.1177858,0.580005,21.20127
2.383459,0,0.06268958,0.580005,25.17158
2.591688,0,0.04458727,0.580005,29.3203
2.791586,0,0.02720916,0.580005,33.30304
2.987638,0,0.3731473,0.5800049,37.18674
3.18342,0,2.4586,0.580005,40.83731
3.393511,0,3.356122,0.580005,44.9392
3.599653,0,6.3329,0.5800049,47.96048
3.802336,0,10.67311,0.580005,47.43907
4.002337,0,15.0617,0.580005,46.64532
4.187555,0,19.32494,0.580005,47.31137
4.402338,0,22.8707,0.580005,47.90473
4.583864,0,26.98871,0.5800051,49.55602
4.783884,0,30.56104,0.5800049,53.27048
4.983934,0,34.14093,0.5800046,57.65139
5.183844,0,37.45184,0.5800047,62.22738
5.392,0,38.29269,0.580005,67.07558
5.595331,0,39.50491,0.5800052,70.95705
5.783728,0,42.93182,0.580005,73.80154
5.9928,0,47.82716,0.580005,76.59014
6.196245,0,50.3836,0.580005,80.05375
6.402338,0,50.97706,0.580005,83.69008
6.595739,0,51.31532,0.580005,88.368
6.799864,0,49.29946,0.580005,91.90365
6.984877,0,48.62947,0.580005,96.02058
7.191496,0,48.98851,0.580005,101.7212
7.402338,0,48.87493,0.580005,106.9017
7.592699,0,47.9654,0.580005,112.9521
7.792349,0,46.89017,0.580005,118.2767
8.002337,0,46.25154,0.580005,122.0929
8.202337,0,48.32575,0.580005,125.5365
8.402338,0,52.20438,0.580005,129.1706
8.602335,0,56.24826,0.5800049,132.9626
8.802336,0,60.11544,0.580005,137.234
9.000254,0,63.6098,0.580005,142.5281
9.187571,0,66.16108,0.580005,147.1588
9.388205,0,68.16673,0.580005,152.4251
9.592215,0,69.49815,0.580005,157.9534
9.783907,0,68.48439,0.580005,163.0577
9.987974,0,66.20798,0.580005,168.1006
10.19987,0,63.80268,0.580005,173.3183
10.3837,0,59.93312,0.580005,175.9837
10.59156,0,54.74229,0.580005,174.127
10.78801,0,50.71974,0.580005,173.1021
10.98331,0,46.88319,0.580005,173.3372
11.19974,0,42.63291,0.580005,173.6157
11.3874,0,38.94737,0.580005,173.8573
11.58333,0,35.10217,0.580005,174.1093
11.80234,0,31.48709,0.580005,174.3463
11.9957,0,27.01244,0.580005,174.6498
12.19605,0,23.12178,0.580005,175.0222
12.39561,0,19.27613,0.580005,175.4603
12.59992,0,15.34621,0.580005,175.9176
12.80041,0,11.65616,0.580005,177.6846
12.99526,0,8.078316,0.580005,179.4085
13.18349,0,4.737781,0.580005,182.1826
13.38358,0,1.060433,0.580005,186.3167
13.58783,0,-3.012184,0.580005,190.2516
13.79619,0,-8.13094,0.580005,192.8114
13.99568,0,-12.51571,0.580005,192.6186
14.19978,0,-17.76202,0.580005,192.7428
14.39585,0,-22.81491,0.580005,192.8314
14.60233,0,-27.56347,0.580005,192.5234
14.80234,0,-33.01436,0.580005,191.507
15.00234,0,-36.45836,0.580005,189.6568
15.18765,0,-39.07546,0.580005,186.0765
