time,progress,x,y,z
0,0,0,0,0
0.205555,0,0,0,0
0.3878727,0,0,0,0
0.6044769,0,0,0,0
0.8055553,0,0,0,0
0.999424,0,0,0,0
1.200108,0,0,0,0
1.403667,0,0,0,0
1.603443,0,0,0,0
1.793522,0,0,0,0
2.004608,0,0,0,0
2.205555,0,0,0,0
2.400034,0,0,0,0
2.60076,0,0,0,0
2.800491,0,0,0,0
3.003387,0,0,0,0
3.205555,0,0,0,0
3.399605,0,0,0,0
3.58758,0,0,0,0
3.805555,0,0,0,0
4.00341,0,0,0,0
4.205555,0,0,0,0
4.404196,0,0,0,0
4.604662,0,0,0,0
4.793129,0,0,0,0
5.000017,0,0,0,0
5.200012,0,0,0,0
5.390503,0,0,0,0
5.587879,0,0.1689979,0.5800049,0.7813797
5.788122,0,0.8312742,0.580005,3.761158
5.996124,0,1.767511,0.5800049,7.416964
6.199795,0,2.316125,0.580005,9.074545
6.396019,0,2.350883,0.5800049,9.14298
6.605555,0,2.350883,0.5800049,9.14298
6.795963,0,2.350883,0.5800049,9.14298
6.987621,0,2.350883,0.5800049,9.14298
7.205555,0,2.350883,0.5800048,9.14298
7.403419,0,3.658707,0.5800049,10.07584
7.600368,0,6.50939,0.580005,12.10921
7.791744,0,9.721464,0.580005,13.9015
7.996143,0,11.911,0.580005,14.89487
8.188972,0,12.18419,0.580005,15.02438
8.395855,0,12.18419,0.580005,15.02438
8.595852,0,12.18419,0.580005,15.02438
8.805553,0,12.18419,0.580005,15.02438
8.99987,0,12.18419,0.5800048,15.02438
9.195461,0,12.18419,0.5800048,15.02438
9.405556,0,12.18419,0.5800048,15.02438
9.599838,0,12.18419,0.5800048,15.02438
9.799538,0,12.18419,0.5800048,15.02438
9.987499,0,12.18419,0.5800048,15.02438
10.1921,0,12.18419,0.5800048,15.02438
10.39295,0,12.18419,0.5800048,15.02438
10.59968,0,12.18419,0.5800048,15.02438
10.80555,0,12.18419,0.5800048,15.02438
11.00043,0,12.18419,0.5800048,15.02438
11.19571,0,12.18419,0.5800048,15.02438
11.38777,0,12.18419,0.5800048,15.02438
11.59569,0,12.18419,0.5800048,15.02438
11.8042,0,12.18419,0.5800048,15.02438
12.00437,0,11.98066,0.580005,15.01905
12.19959,0,9.974641,0.5800049,14.96652
12.38762,0,6.577081,0.580005,14.87056
12.59569,0,3.308668,0.580005,14.44195
12.80352,0,2.317975,0.5800049,14.22685
12.99558,0,2.249613,0.580005,14.22873
13.19178,0,0.6096144,0.5800049,14.58056
13.40556,0,-2.623062,0.5800049,15.72755
13.59177,0,-6.488332,0.580005,17.13439
13.79794,0,-9.978577,0.5800049,18.32397
13.99554,0,-11.37502,0.580005,18.63012
14.19151,0,-13.07147,0.5800049,18.92162
14.40397,0,-16.91846,0.5800049,19.58266
14.59153,0,-20.51234,0.5800049,20.20908
14.79996,0,-24.51106,0.580005,20.922
15.00555,0,-27.92133,0.580005,21.23151
15.20365,0,-32.34013,0.580005,21.59869
15.39577,0,-35.89616,0.580005,22.20689
15.59948,0,-39.08728,0.5800049,23.87739
15.79554,0,-41.81123,0.5800049,26.17286
15.99657,0,-43.68401,0.580005,29.48382
16.19172,0,-45.3643,0.580005,32.78156
16.39564,0,-46.03348,0.5800049,36.40802
16.60555,0,-45.12255,0.5800049,39.58713
16.80025,0,-43.73893,0.580005,43.35839
16.98783,0,-42.48496,0.5800049,46.78512
17.1918,0,-41.3393,0.5800049,50.64425
17.40556,0,-40.75509,0.580005,54.44067
17.60555,0,-40.60335,0.580005,58.42127
17.78775,0,-40.50957,0.580005,62.50597
17.9996,0,-41.52975,0.580005,66.58752
18.2039,0,-43.82747,0.580005,69.83514
18.38779,0,-46.43965,0.580005,72.33576
18.59351,0,-49.57479,0.580005,74.87023
18.7877,0,-53.14776,0.5800049,76.2094
18.98792,0,-57.0248,0.5800049,77.05408
19.20111,0,-61.15331,0.580005,77.95046
19.39566,0,-64.92098,0.580005,78.76851
19.59537,0,-68.82824,0.580005,79.36508
19.79289,0,-72.72267,0.580005,79.67823
20.00555,0,-76.41088,0.580005,79.96851
20.19602,0,-80.67216,0.580005,80.30387
20.38731,0,-84.44434,0.580005,80.60075
20.60395,0,-88.64268,0.5800049,81.30561
20.7995,0,-92.21628,0.5800049,80.05673
20.98744,0,-95.51543,0.580005,78.41183
21.20555,0,-98.6993,0.580005,76.39712
21.40556,0,-101.3898,0.580005,73.35578
21.59147,0,-104.0919,0.580005,70.21989
21.80555,0,-106.4011,0.5800049,67.55984
21.98759,0,-109.4694,0.580005,64.48748
22.18782,0,-111.7852,0.580005,63.24451
22.40556,0,-112.2148,0.580005,63.12981
22.60555,0,-112.2148,0.580005,63.12981
22.79257,0,-112.2148,0.580005,63.12981
22.98753,0,-112.1471,0.580005,63.29745
23.20033,0,-111.2881,0.580005,65.42358
