time,progress,x,y,z
0,0,0,0,0
0.201664,0,0,0,0
0.4016638,0,0,0,0
0.5924253,0,0,0,0
0.8016634,0,0,0,0
0.9855547,0,0,0,0
1.196511,0,0,0,0
1.396646,0,0,0,0
1.601664,0,0,0,0
1.792576,0,0,0,0
2.000998,0,0,0,0
2.192176,0,0,0,0
2.398127,0,0,0,0
2.597229,0,0,0,0
2.792603,0,0,0,0
2.996496,0,0,0,0
3.196854,0,0,0,0
3.397755,0,0,0,0
3.592619,0,0,0,0
3.792048,0,-0.1462038,0.580005,0.05177348
3.987991,0,-2.136228,0.580005,0.756478
4.188633,0,-5.826128,0.580005,2.063141
4.384727,0,-9.5188,0.5800049,3.370784
4.588882,0,-13.24598,0.580005,4.69065
4.788963,0,-15.14907,0.5800049,5.364567
4.98831,0,-15.28093,0.5800049,5.411263
5.192677,0,-15.28093,0.5800049,5.411263
5.401663,0,-15.28093,0.5800049,5.411263
5.596712,0,-15.28093,0.5800049,5.411263
5.796638,0,-15.28093,0.5800048,5.411263
5.984039,0,-15.28093,0.5800048,5.411263
6.188936,0,-15.5548,0.580005,5.544835
6.392706,0,-17.79316,0.5800049,6.636558
6.597136,0,-21.44059,0.580005,8.41553
6.796576,0,-25.01695,0.580005,10.15983
7.000387,0,-28.67172,0.580005,11.94239
7.192743,0,-32.12106,0.580005,13.62474
7.397541,0,-35.79352,0.580005,15.41592
7.592482,0,-39.2892,0.580005,17.12088
7.788855,0,-42.81061,0.580005,18.83838
7.996107,0,-46.52708,0.580005,20.65103
8.191961,0,-50.03915,0.580005,22.36398
8.393579,0,-53.65456,0.580005,24.12733
8.59309,0,-57.23221,0.580005,25.87227
8.791939,0,-59.93802,0.580005,27.19198
8.989204,0,-60.5663,0.580005,27.49841
9.192146,0,-60.5663,0.580005,27.49841
9.388657,0,-60.5663,0.5800049,27.49841
9.590645,0,-60.5663,0.5800049,27.49841
9.792351,0,-60.5663,0.5800048,27.49841
9.988321,0,-60.5663,0.5800048,27.49841
10.19643,0,-60.5663,0.5800048,27.49841
10.39343,0,-60.5663,0.5800048,27.49841
10.58384,0,-60.5663,0.5800048,27.49841
10.79307,0,-60.5663,0.5800048,27.49841
10.99886,0,-60.5663,0.5800048,27.49841
11.19691,0,-60.5663,0.5800048,27.49841
11.39304,0,-60.78973,0.5800049,27.66224
11.58431,0,-62.56963,0.5800049,28.96732
11.79354,0,-65.87484,0.580005,31.39079
12.00166,0,-68.87706,0.580005,33.59211
12.19312,0,-72.28427,0.580005,36.09038
12.39664,0,-75.54895,0.5800049,38.48414
12.59364,0,-78.70888,0.580005,40.8011
12.79639,0,-81.96108,0.580005,43.18571
12.9924,0,-85.10533,0.580005,45.49117
13.20036,0,-88.44109,0.5800049,47.93706
13.39747,0,-90.90765,0.580005,49.74561
