time,progress,x,y,z
0,0,0,0,0
0.9883652,0,0,0,0
1.992188,0,1.856343,0.580005,5.075622E-20
2.995872,0,1.999537,0.580005,8.865561
3.988586,0,4.232566,0.580005,8.865561
4.991798,0,3.471247,0.580005,7.151677
5.988945,0,-11.66726,0.5800049,8.509386
6.998413,0,-28.13966,0.580005,15.84109
7.988152,0,-28.52341,0.5800049,16.17806
8.996437,0,-41.48345,0.5800048,29.59857
9.988632,0,-44.31908,0.5800043,32.30302
10.98852,0,-53.17296,0.5800063,30.78164
11.98853,0,-63.96606,0.580006,27.86415
12.9879,0,-71.43092,0.5800053,13.67733
13.98855,0,-80.58316,0.5800052,-3.973132
14.98851,0,-84.82428,0.5800053,-23.24149
15.98959,0,-79.7464,0.580005,-28.46533
16.98853,0,-75.08943,0.5800048,-34.21804
17.9884,0,-61.44235,0.5800047,-45.7952
18.99697,0,-48.87296,0.5800044,-54.43391
19.98837,0,-31.02214,0.5800066,-62.49718
21.00208,0,-11.07105,0.580006,-64.03352
21.99641,0,8.386944,0.5800066,-60.17675
23.00032,0,26.84076,0.5800047,-52.74397
23.98825,0,40.73259,0.5800036,-45.24332
24.99422,0,40.88396,0.5800052,-38.30588
25.992,0,45.16743,0.5800031,-19.06671
26.99667,0,52.32393,0.580005,-0.5290323
27.99624,0,64.44379,0.580005,15.20797
28.99745,0,79.99259,0.5800049,27.71213
29.98861,0,95.70201,0.580005,39.4066
30.99409,0,106.0802,0.580005,56.60277
31.99275,0,116.1077,0.580005,73.8564
33.00787,0,121.988,0.580005,92.5535
33.99741,0,120.9491,0.580005,112.673
34.99673,0,108.1417,0.580005,127.3857
35.99289,0,89.56291,0.5800049,134.105
37.00156,0,74.56315,0.580005,133.3227
37.98859,0,74.56315,0.5800046,133.3227
38.98858,0,71.19809,0.5800043,133.3374
40.00005,0,55.54807,0.580005,144.135
40.98833,0,48.20879,0.5800049,161.9115
41.99226,0,48.72094,0.580005,181.9144
42.99657,0,40.66745,0.580005,198.1806
43.98817,0,32.59373,0.580005,215.5381
44.99199,0,28.8431,0.5800049,230.5811
45.99605,0,24.24823,0.580005,233.3455
46.9964,0,18.33249,0.580005,235.7199
47.99667,0,7.217987,0.580005,224.8817
48.99004,0,-8.661776,0.580005,223.0715
50.00024,0,-8.930804,0.580005,219.6289
50.99622,1,-6.964811,0.580005,217.7795
51.98792,1,-6.964811,0.5800046,217.7795
52.98792,1,-6.964811,0.5800046,217.7795
53.99564,1,-6.964811,0.5800046,217.7795
54.99243,1,-6.964811,0.5800046,217.7795
55.98816,1,-6.964811,0.5800046,217.7795
56.99179,1,-6.964811,0.5800046,217.7795
57.98904,1,-6.964811,0.5800028,217.7795
58.99236,1,-6.964811,0.5800028,217.7795
59.99246,1,-6.791578,0.580005,217.6165
60.99344,1,3.33649,0.580005,208.0889
61.99219,1,3.33649,0.5800048,208.0889
62.9967,1,3.33649,0.5800048,208.0889
63.99213,1,3.33649,0.5800048,208.0889
64.99193,1,3.33649,0.5800048,208.0889
65.98904,1,3.33649,0.5800048,208.0889
66.9926,1,6.843025,0.5800059,205.5646
67.98796,1,22.99161,0.5800047,193.9393
68.98892,1,26.93787,0.580005,190.3231
70.00009,1,26.12456,0.580005,189.8294
70.99683,1,11.05171,0.580005,178.8739
71.99178,1,0.6469586,0.580005,162.0196
72.9882,1,-6.55581,0.5800049,143.4438
73.99239,1,-13.75144,0.5800046,124.6985
74.99217,1,-15.60743,0.5800049,119.7251
75.99248,1,-6.430874,0.580006,114.9915
76.98795,1,12.7472,0.5800067,109.8527
77.98833,1,29.49491,0.5800064,99.84751
78.99316,1,39.75701,0.5800025,92.5179
80.00024,1,55.73339,0.5800045,80.43087
80.99648,1,67.65152,0.5800025,64.74093
81.99184,1,71.91344,0.5800024,45.45375
82.99625,1,63.87285,0.5800024,27.44122
83.9977,1,52.28754,0.5800021,11.2269
84.98869,1,43.28012,0.5800023,1.596833
85.99236,1,43.28012,0.5800023,1.596833
86.98914,1,38.61085,0.5800089,4.687357
87.98814,1,24.23576,0.580005,13.95219
88.99673,1,20.745,0.5800048,8.759345
89.99654,1,15.81112,0.5800046,6.136862
90.98825,1,7.821239,0.580005,1.894634
91.98869,1,7.821239,0.580005,1.894634
92.99359,1,7.821239,0.580005,1.894634
93.99655,1,7.457293,0.580005,2.525416
94.99641,1,2.261699,0.5800049,11.52445
95.99608,1,2.261699,0.5800048,11.52445
96.99632,1,2.261699,0.5800048,11.52445
97.98868,1,-0.1568612,0.5800052,21.04755
98.99219,1,-0.1788622,0.5800055,21.13418
99.98866,1,-0.1788622,0.5800055,21.13418
100.9919,1,-0.1788622,0.5800055,21.13418
