time,progress,x,y,z
0,0,0,0,0
0.2058458,0,0,0,0
0.4095354,0,0,0,0
0.6018505,0,0,0,0
0.8142271,0,0,0,0
1.002875,0,0,0,0
1.206983,0,0,0,0
1.398437,0,0,0,0
1.606387,0,0,0,0
1.798676,0,0,0.580005,1.04317
1.997917,0,0,0.580005,4.403819
2.201615,0,0,0.580005,7.134085
2.403295,0,0,0.580005,7.578907
2.597507,0,0,0.580005,7.578907
2.810882,0,0,0.580005,7.578907
3.006202,0,0,0.5800048,7.578907
3.198446,0,0,0.5800048,7.578907
3.399001,0,0,0.5800048,7.578907
3.604071,0,0,0.5800048,7.578907
3.80047,0,0,0.5800048,7.578907
3.999308,0,0,0.5800048,7.578907
4.207273,0,0,0.5800048,7.578907
4.395494,0,0,0.5800048,7.578907
4.610491,0,0,0.5800048,7.578907
4.79546,0,0,0.5800048,7.578907
4.998392,0,0,0.5800048,7.578907
5.205984,0,0,0.5800048,7.578907
5.402061,0,0,0.5800048,7.578907
5.597462,0,0,0.5800048,7.578907
5.806147,0,0,0.5800048,7.578907
5.99839,0,0,0.5800048,7.578907
6.198252,0,0,0.5800048,7.578907
6.409451,0,0,0.5800048,7.578907
6.602671,0,0.4157507,0.5800052,7.694205
6.801517,0,2.934892,0.5800062,8.392824
6.998995,0,6.727126,0.5800059,9.444503
7.20611,0,10.71025,0.5800058,10.54912
7.410091,0,14.63309,0.580005,11.63702
7.609806,0,18.47387,0.5800049,12.70216
7.797571,0,22.08485,0.5800048,13.70357
8.009525,0,26.16101,0.5800065,14.83399
8.205795,0,28.73027,0.5800061,15.54651
8.407204,0,29.20944,0.5800062,15.67848
8.603579,0,29.20944,0.5800044,15.67848
8.810829,0,29.20944,0.5800025,15.67848
8.998251,0,29.20944,0.5800025,15.67848
9.201956,0,30.23158,0.580005,15.63385
9.40197,0,33.56575,0.580005,15.48828
9.606255,0,37.64658,0.580005,15.3101
9.798197,0,41.48087,0.5800049,15.14269
