time,progress,x,y,z
0,0,0,0,0
0.2113876,0,0,0,0
0.3954983,0,0,0,0
0.608017,0,0,0,0
0.8035307,0,0,0,0
0.9996004,0,0,0.580005,0.3866486
1.212274,0,0,0.580005,1.516171
1.399084,0,0,0.580005,1.516171
1.596719,0,0,0.580005,1.516171
1.80854,0,0,0.5800048,1.516171
2.000946,0,0,0.5800048,1.516171
2.208854,0,0,0.5800048,1.516171
2.399365,0,0,0.5800048,1.516171
2.607926,0,0,0.5800048,1.516171
2.799344,0,0,0.5800048,1.516171
3.007529,0,0,0.5800048,1.516171
3.206269,0,0,0.5800048,1.516171
3.395679,0,0,0.5800048,1.516171
3.607308,0,0,0.5800048,1.516171
3.807111,0,0,0.5800048,1.516171
4.011201,0,0,0.5800048,1.516171
4.209723,0,0,0.5800048,1.516171
4.408786,0,0,0.5800048,1.516171
4.599978,0,0,0.5800048,1.516171
4.803332,0,0,0.5800048,1.516171
4.999146,0,0,0.5800048,1.516171
5.199725,0,0,0.5800048,1.516171
5.401042,0,0,0.5800048,1.516171
5.601556,0,0,0.5800048,1.516171
5.800706,0,0,0.5800048,1.516171
5.996745,0,0,0.5800048,1.516171
6.204482,0,0,0.5800048,1.516171
6.395402,0,0,0.5800048,1.516171
6.607574,0,0,0.5800048,1.516171
6.804774,0,0,0.5800048,1.516171
6.995885,0,0,0.5800048,1.516171
7.2119,0,0,0.5800048,1.516171
7.407727,0,0,0.5800048,1.516171
7.604115,0,0,0.580003,1.516171
7.804206,0,0,0.580003,1.516171
8.005015,0,0,0.580003,1.516171
8.199718,0,0,0.580003,1.516171
8.411927,0,0,0.580003,1.516171
8.608272,0,0,0.580003,1.516171
8.805236,0,0,0.580003,1.516171
9.000825,0,0,0.580003,1.516171
9.208325,0,0,0.580003,1.516171
9.399413,0,0,0.580003,1.516171
9.607156,0,0,0.580003,1.516171
9.804036,0,0,0.580003,1.516171
10.00547,0,0,0.580003,1.516171
10.19573,0,0,0.580003,1.516171
10.39667,0,0,0.580003,1.516171
10.59654,0,0,0.580003,1.516171
10.81206,0,0,0.580003,1.516171
11.00713,0,0,0.580003,1.516171
11.2082,0,-0.2279404,0.5800035,1.675776
11.40788,0,-2.140229,0.580003,3.014775
11.60782,0,-5.349406,0.5800037,5.261866
11.79304,0,-8.352429,0.5800038,7.364605
12.00824,0,-11.8416,0.580005,9.807746
12.19966,0,-14.94516,0.5800033,11.98088
12.39631,0,-18.13351,0.5800024,14.21339
12.60833,0,-21.57114,0.5800024,16.62044
12.79509,0,-24.59923,0.5800051,18.74074
13.00769,0,-28.04618,0.5800036,21.15432
13.19596,0,-31.09864,0.5800052,23.29167
13.39376,0,-34.30569,0.5800055,25.53728
13.59614,0,-37.58694,0.5800049,27.83483
13.80859,0,-41.03156,0.5800045,30.24678
14.01275,0,-44.34169,0.5800088,32.56456
14.20362,0,-47.43643,0.580011,34.73152
14.4037,0,-50.6803,0.580009,37.0029
14.59984,0,-53.86047,0.5800089,39.22968
14.79541,0,-56.94192,0.580004,41.38733
15.00864,0,-58.66123,0.5800074,42.59121
15.19641,0,-58.74709,0.5800043,42.65133
15.39627,0,-58.74709,0.5800043,42.65133
15.60883,0,-58.74709,0.5800043,42.65133
15.8,0,-58.74709,0.5800043,42.65133
15.99588,0,-59.47849,0.580005,43.16346
16.20313,0,-62.23124,0.580005,45.09096
16.39597,0,-65.38754,0.580005,47.30102
16.60792,0,-68.85667,0.5800049,49.73013
16.79909,0,-71.98563,0.580005,51.92105
17.01199,0,-75.47028,0.580005,54.36103
17.20197,0,-78.57982,0.5800049,56.53835
17.39562,0,-81.74935,0.580005,58.75768
17.60394,0,-85.15903,0.580005,61.14516
17.79528,0,-88.29077,0.580005,63.33803
18.013,0,-91.49754,0.5800049,65.58344
18.20342,0,-94.09613,0.580005,67.40298
18.39954,0,-94.60838,0.580005,67.76167
18.61289,0,-94.60838,0.580005,67.76167
18.80853,0,-95.63217,0.580005,68.47853
19.00314,0,-98.40682,0.580005,70.42136
19.20407,0,-101.6956,0.580005,72.72418
19.39523,0,-104.7477,0.580005,74.86128
19.59655,0,-107.6146,0.580005,76.86873
19.81183,0,-111.1382,0.580005,79.33599
20.013,0,-114.0749,0.580005,81.3923
20.19609,0,-116.5273,0.5800049,83.10946
20.40794,0,-117.0172,0.580005,83.4525
20.59512,0,-117.0172,0.580005,83.4525
20.79652,0,-117.0172,0.580005,83.4525
21.01237,0,-117.0172,0.580005,83.4525
21.20876,0,-117.0172,0.5800046,83.4525
21.40548,0,-117.0172,0.5800046,83.4525
21.60109,0,-117.0172,0.5800046,83.4525
21.7952,0,-117.0172,0.5800046,83.4525
22.00048,0,-117.0172,0.5800046,83.4525
22.19924,0,-117.0172,0.5800046,83.4525
22.40359,0,-117.0172,0.5800046,83.4525
22.60764,0,-117.0172,0.5800046,83.4525
22.81144,0,-117.0172,0.5800046,83.4525
23.01176,0,-117.0172,0.5800046,83.4525
23.20061,0,-117.0172,0.5800046,83.4525
23.40756,0,-117.0172,0.5800046,83.4525
23.59375,0,-117.0172,0.5800046,83.4525
23.80866,0,-117.0172,0.5800046,83.4525
24.00492,0,-117.0172,0.5800046,83.4525
24.19581,0,-117.0172,0.5800046,83.4525
24.40786,0,-117.0172,0.5800046,83.4525
24.60469,0,-117.0172,0.5800046,83.4525
24.796,0,-117.0172,0.5800046,83.4525
25.013,0,-117.0172,0.5800046,83.4525
25.20011,0,-117.0172,0.5800046,83.4525
25.39939,0,-117.0172,0.5800046,83.4525
25.60357,0,-117.0172,0.5800046,83.4525
25.80716,0,-117.0172,0.5800046,83.4525
25.9992,0,-117.0172,0.5800046,83.4525
26.20735,0,-117.0172,0.5800046,83.4525
26.39561,0,-117.0172,0.5800046,83.4525
26.60325,0,-117.0172,0.5800046,83.4525
26.79943,0,-117.0172,0.5800046,83.4525
26.99553,0,-117.0172,0.5800028,83.4525
27.19933,0,-117.0172,0.5800028,83.4525
27.39565,0,-117.0172,0.5800028,83.4525
27.60739,0,-117.0172,0.5800028,83.4525
27.8074,0,-116.4397,0.580005,83.88377
27.99978,0,-114.139,0.580005,85.60178
28.19562,0,-111.0484,0.580005,87.90965
28.39964,0,-107.8287,0.580005,90.31388
28.60593,0,-104.5731,0.580005,92.74496
28.80762,0,-101.3899,0.580005,95.12193
28.99544,0,-98.42589,0.580005,97.3353
29.20369,0,-95.13947,0.580005,99.78938
29.40822,0,-91.91151,0.580005,102.1998
29.60868,0,-88.74805,0.580005,104.5621
29.79577,0,-85.79536,0.580005,106.767
30.00401,0,-82.50906,0.580005,109.221
30.20101,0,-79.40012,0.580005,111.5425
30.39539,0,-76.33241,0.580005,113.8333
30.59544,0,-73.17523,0.580005,116.1909
30.79519,0,-70.02293,0.580005,118.5448
30.99517,0,-66.86685,0.580005,120.9015
31.19641,0,-64.15465,0.580005,122.9268
31.40366,0,-63.27808,0.580005,123.5814
31.61219,0,-63.27808,0.580005,123.5814
31.80857,0,-63.27808,0.5800049,123.5814
32.00819,0,-63.27808,0.5800049,123.5814
32.20369,0,-62.71592,0.580005,124.2281
32.39956,0,-60.69296,0.5800049,126.5552
32.60019,0,-58.09122,0.5800049,129.5482
32.79929,0,-55.50915,0.580005,132.5185
32.99911,0,-52.91769,0.5800049,135.4997
33.19555,0,-50.37025,0.580005,138.4302
33.4041,0,-47.66566,0.580005,141.5414
33.60708,0,-45.03327,0.5800049,144.5697
33.79574,0,-42.58673,0.580005,147.3841
34.00346,0,-39.89295,0.580005,150.4829
34.21258,0,-37.18094,0.580005,153.6027
34.3991,0,-34.762,0.580005,156.3854
34.6029,0,-32.11907,0.580005,159.4258
34.79525,0,-29.62458,0.580005,162.2953
35.00451,0,-27.01362,0.580005,165.2989
35.19685,0,-25.78569,0.580005,166.7115
35.40801,0,-25.69636,0.580005,166.8142
35.60445,0,-25.69636,0.580005,166.8142
35.80042,0,-25.69636,0.580005,166.8142
35.99327,0,-25.69636,0.580005,166.8142
36.19939,0,-25.69636,0.5800046,166.8142
36.40795,0,-25.69636,0.5800046,166.8142
36.60053,0,-25.69636,0.5800046,166.8142
36.80367,0,-25.69636,0.5800046,166.8142
37.00765,0,-25.69636,0.5800046,166.8142
37.19562,0,-25.69636,0.5800046,166.8142
37.39947,0,-25.627,0.580005,167.0824
37.60346,0,-25.04355,0.580005,169.3385
37.79509,0,-24.14268,0.580005,172.8219
37.99669,0,-23.30879,0.580005,176.0463
38.21115,0,-23.01563,0.580005,177.1799
38.39567,0,-23.01563,0.580005,177.1799
38.59523,0,-23.01563,0.580005,177.1799
38.79647,0,-23.01563,0.580005,177.1799
38.99525,0,-23.01563,0.580005,177.1799
39.19967,0,-23.01563,0.5800046,177.1799
39.4056,0,-23.01563,0.5800046,177.1799
39.60847,0,-23.01563,0.5800046,177.1799
39.80326,0,-23.01563,0.5800046,177.1799
40.00321,0,-23.01563,0.5800046,177.1799
40.20367,0,-23.01563,0.5800046,177.1799
40.39566,0,-22.95312,0.580005,177.1915
40.60358,0,-21.29302,0.580005,177.4991
40.80332,0,-17.947,0.580005,178.1193
40.99913,0,-15.10954,0.580005,177.6276
41.20742,0,-13.83739,0.580005,177.1654
41.3992,0,-13.80782,0.580005,177.1547
41.5996,0,-13.68117,0.5800049,177.1086
41.79948,0,-12.14935,0.5800051,176.5521
41.99565,0,-8.838141,0.5800051,177.0567
42.19634,0,-5.321633,0.580005,177.7085
42.41032,0,-1.57241,0.580005,178.4034
42.60713,0,1.633303,0.580005,178.9975
42.80365,0,3.044239,0.580005,179.259
42.99962,0,3.081249,0.580005,179.2659
43.19956,0,3.081249,0.580005,179.2659
43.4039,0,3.081249,0.580005,179.2659
43.60696,0,3.081249,0.580005,179.2659
43.8074,0,3.081249,0.5800048,179.2659
