time,progress,x,y,z
0,0,0,0,0
0.9947529,0,0,0,0
1.994312,0,0,0,0
2.995625,0,0,0,0
3.995966,0,0,0,0
4.990492,0,0,0,0
5.99262,0,-6.134352,0.580005,5.794637
6.994753,0,-3.543316,0.5800049,24.20971
7.99655,0,3.95499,0.580005,42.61627
8.990763,0,13.17027,0.5800049,59.65066
9.990805,0,31.38036,0.5800049,66.15025
10.99136,0,49.60888,0.5800049,66.81707
11.99058,0,63.1041,0.580005,54.03804
12.99105,0,80.41879,0.5800049,45.35971
13.99467,0,95.42352,0.580005,49.78309
14.99524,0,106.2767,0.580005,62.49324
15.99049,0,113.0318,0.580005,80.8751
16.99537,0,117.4476,0.580005,99.55762
17.99485,0,117.3657,0.580005,118.3415
18.99068,0,112.1237,0.580005,135.5275
19.99048,0,93.7816,0.580005,136.3561
20.99168,0,85.17263,0.5800049,135.6415
21.99479,0,85.17263,0.5800048,135.6415
22.99438,0,71.75804,0.5800049,134.1741
23.99057,0,52.09203,0.5800049,137.2318
24.99487,0,32.57919,0.580005,141.0247
25.99556,0,13.58981,0.580005,145.6683
26.99489,0,-0.3452397,0.580005,158.2997
27.99443,0,-8.489603,0.580005,165.5876
28.99107,0,-24.8641,0.580005,166.3741
29.99061,0,-30.33617,0.580005,165.9797
30.99102,0,-45.29982,0.580005,160.0629
31.99143,0,-65.07005,0.580005,159.629
32.99058,0,-79.5932,0.580005,170.3127
33.99428,0,-90.37643,0.580005,186.9174
34.99094,0,-101.3506,0.580005,203.2035
35.99523,0,-116.0035,0.580005,216.352
36.99096,0,-129.6115,0.580005,229.9584
37.99454,0,-133.1061,0.580005,238.2088
38.99071,0,-133.1061,0.5800048,238.2088
39.99072,0,-133.1061,0.5800048,238.2088
40.99075,0,-126.8107,0.5800058,241.5561
41.99099,0,-108.824,0.580005,250.1568
42.99512,0,-89.02848,0.580005,252.1867
43.99451,0,-69.86894,0.5800049,249.0997
44.9946,0,-51.59568,0.580005,242.2676
45.99066,0,-34.48181,0.580005,233.1343
46.99087,0,-17.45804,0.580005,223.6068
47.99065,1,-4.12414,0.580005,218.1373
48.99073,1,-4.12414,0.5800046,218.1373
49.99145,1,-4.12414,0.5800046,218.1373
50.99509,1,-4.12414,0.5800046,218.1373
51.99463,1,-4.12414,0.5800046,218.1373
52.99089,1,-1.253055,0.580005,204.0038
53.99465,1,-10.8028,0.580005,187.469
54.99107,1,-28.43261,0.5800049,180.7614
55.99541,1,-42.9235,0.580005,175.9084
56.99064,1,-43.20278,0.580005,172.9403
57.99512,1,-37.82906,0.580005,154.3885
58.99163,1,-33.49691,0.580005,135.9232
59.99496,1,-31.9273,0.580005,125.1739
60.99517,1,-31.9273,0.5800046,125.1739
61.99109,1,-31.9273,0.5800046,125.1739
62.99081,1,-31.9273,0.5800046,125.1739
63.99483,1,-31.9273,0.5800046,125.1739
64.99568,1,-31.9273,0.5800046,125.1739
65.99436,1,-31.9273,0.5800046,125.1739
66.99068,1,-31.9273,0.5800028,125.1739
67.99113,1,-31.9273,0.5800028,125.1739
68.99585,1,-31.9273,0.5800028,125.1739
69.99459,1,-31.9273,0.5800028,125.1739
70.99481,1,-31.9273,0.5800028,125.1739
71.99087,1,-31.9273,0.5800028,125.1739
72.99496,1,-31.9273,0.5800028,125.1739
73.99504,1,-31.9273,0.5800028,125.1739
74.99045,1,-31.9273,0.5800028,125.1739
75.99467,1,-31.9273,0.5800028,125.1739
76.98802,1,-31.9273,0.5800028,125.1739
77.99444,1,-31.9273,0.5800028,125.1739
78.99071,1,-31.91996,0.580005,125.1531
79.99464,1,-27.35668,0.580005,109.3084
80.99472,1,-25.12346,0.580005,92.05186
81.99065,1,-23.79948,0.5800049,76.51958
82.99526,1,-22.96645,0.580005,70.1358
83.99479,1,-14.14316,0.580005,68.11637
84.99055,1,5.053608,0.580005,67.06393
85.99092,1,15.55663,0.580005,67.02821
86.99527,1,15.69131,0.580005,66.8623
87.99098,1,20.55993,0.580005,50.0544
88.99469,1,13.54733,0.580005,32.42486
89.99107,1,3.092824,0.580005,18.3017
90.99066,1,-10.6039,0.5800049,8.270856
91.99528,1,-25.22557,0.580005,-0.1577217
92.99075,1,-27.1268,0.580005,-0.9147632
93.9912,1,-27.1268,0.5800046,-0.9147632
94.99514,1,-27.1268,0.5800046,-0.9147632
95.99548,1,-27.1268,0.5800046,-0.9147632
96.99088,1,-30.54622,0.580005,-3.093174
97.99286,1,-35.11279,0.580005,-5.596413
98.99152,1,-35.11279,0.5800048,-5.596413
99.99083,1,-35.11279,0.5800048,-5.596413
100.9954,1,-35.11279,0.5800048,-5.596413
101.9908,1,-35.11279,0.5800048,-5.596413
102.9912,1,-37.41184,0.580005,-5.696878
103.9908,1,-37.41184,0.5800046,-5.696878
104.9908,1,-37.41184,0.5800046,-5.696878
105.9908,1,-37.41184,0.5800046,-5.696878
106.9934,1,-37.41184,0.5800046,-5.696878
107.9947,1,-37.41184,0.5800046,-5.696878
