time,progress,x,y,z
0,0,0,0,0
0.1876154,0,0,0,0
0.4009705,0,0,0,0
0.5904942,0,0,0,0
0.8062353,0,0,0,0
0.993187,0,0,0,0
1.191679,0,0,0,0
1.387994,0,0,0,0
1.595403,0,0,0,0
1.797089,0,0,0,0
1.997622,0,0,0,0
2.204857,0,0,0,0
2.399943,0,-0.01503544,0.5800045,0.1372876
2.589186,0,-0.2264519,0.5800049,2.067718
2.791903,0,-0.650422,0.5800052,5.938961
3.005803,0,-1.097206,0.5800051,10.01851
3.191491,0,-1.299761,0.5800047,11.86804
3.388289,0,-1.316499,0.5800056,12.02087
3.599762,0,-1.316499,0.5800056,12.02087
3.799695,0,-1.316499,0.5800056,12.02087
3.990058,0,-1.316499,0.5800056,12.02087
4.195164,0,-1.316499,0.5800056,12.02087
4.406236,0,-1.316499,0.5800056,12.02087
4.599671,0,-1.316499,0.5800056,12.02087
4.788817,0,-1.316499,0.5800056,12.02087
4.991702,0,-1.316499,0.5800056,12.02087
5.206236,0,-1.964977,0.580005,12.50072
5.39982,0,-5.023338,0.580006,14.76378
5.595925,0,-8.16939,0.5800048,17.09174
5.806235,0,-10.57603,0.5800058,18.87256
5.991517,0,-11.29205,0.580006,19.40239
6.199698,0,-11.29205,0.580006,19.40239
6.390624,0,-11.29205,0.580006,19.40239
6.594393,0,-11.29205,0.5800042,19.40239
6.806235,0,-11.29205,0.5800023,19.40239
6.991121,0,-11.29205,0.5800023,19.40239
7.191776,0,-11.29205,0.5800023,19.40239
7.398743,0,-11.29205,0.5800023,19.40239
7.596098,0,-11.29205,0.5800023,19.40239
7.806236,0,-11.29205,0.5800023,19.40239
7.996174,0,-11.29205,0.5800023,19.40239
8.196003,0,-11.29205,0.5800023,19.40239
8.406235,0,-11.29205,0.5800023,19.40239
8.590982,0,-12.1225,0.5800049,19.94685
8.79953,0,-15.03946,0.5800049,21.8593
8.987535,0,-18.17892,0.580005,23.91762
9.195587,0,-21.65315,0.580005,26.19542
9.391886,0,-24.9311,0.580005,28.34454
9.601295,0,-28.428,0.580005,30.63721
9.787119,0,-31.53104,0.580005,32.67165
9.991219,0,-34.93926,0.580005,34.90617
10.19905,0,-38.40969,0.5800049,37.18149
10.3915,0,-41.62347,0.580005,39.28853
10.59957,0,-45.09792,0.580005,41.56649
10.80623,0,-48.16934,0.580005,43.58019
11.00624,0,-51.49882,0.580005,45.7631
11.18745,0,-54.91488,0.580005,48.00276
11.39922,0,-58.45126,0.580005,50.32132
11.59146,0,-61.66138,0.580005,52.42596
11.78975,0,-64.97271,0.580005,54.59696
11.99978,0,-68.47987,0.580005,56.89636
12.18941,0,-71.64656,0.580005,58.97253
12.38953,0,-74.98827,0.580005,61.16346
12.60624,0,-78.22338,0.5800049,63.28448
12.80028,0,-81.84727,0.580005,65.66041
13.00578,0,-85.27893,0.580005,67.9103
13.18797,0,-88.15028,0.580005,69.79285
13.39902,0,-89.67606,0.580005,70.79319
13.59183,0,-89.71673,0.5800049,70.81985
13.78834,0,-89.71673,0.5800049,70.81985
14.00485,0,-89.71673,0.5800049,70.81985
14.19392,0,-89.71673,0.5800049,70.81985
14.40623,0,-89.71673,0.5800048,70.81985
14.59601,0,-89.71673,0.5800048,70.81985
14.79942,0,-89.71673,0.5800048,70.81985
15.00624,0,-89.71673,0.5800048,70.81985
15.19914,0,-89.71673,0.5800048,70.81985
15.39612,0,-89.71673,0.5800048,70.81985
15.60624,0,-89.76473,0.580005,70.91938
15.79537,0,-90.70385,0.580005,72.86636
15.99202,0,-92.37404,0.5800049,76.32902
16.20624,0,-94.03674,0.580005,79.77616
16.40512,0,-95.9631,0.580005,83.76993
16.59544,0,-97.61666,0.580005,87.1981
16.79184,0,-99.32302,0.580005,90.73576
16.9874,0,-101.022,0.580005,94.2582
17.20497,0,-102.9123,0.5800049,98.17716
17.40394,0,-104.6411,0.580005,101.7612
17.59521,0,-106.3028,0.5800049,105.2063
17.80419,0,-108.1185,0.580005,108.9706
17.99994,0,-109.8192,0.5800049,112.4965
18.19599,0,-111.5225,0.580005,116.0279
18.3958,0,-113.2585,0.580005,119.627
18.59089,0,-114.9534,0.580005,123.1409
18.79149,0,-116.6963,0.580005,126.7542
18.9911,0,-118.4305,0.580005,130.3497
19.18798,0,-119.6848,0.580005,132.9501
19.40374,0,-119.9658,0.580005,133.5326
19.59524,0,-119.9658,0.580005,133.5326
19.78969,0,-119.9658,0.580005,133.5326
19.98967,0,-119.9658,0.580005,133.5326
20.196,0,-119.9658,0.5800048,133.5326
20.40432,0,-119.9658,0.5800048,133.5326
20.60025,0,-119.9658,0.5800048,133.5326
20.79019,0,-119.9658,0.5800048,133.5326
20.9879,0,-119.9658,0.5800048,133.5326
21.20005,0,-119.9658,0.5800048,133.5326
21.40066,0,-120.399,0.580005,133.6366
21.59363,0,-122.8664,0.580005,134.229
21.80523,0,-126.9626,0.580005,135.2124
22.00624,0,-130.3931,0.580005,136.036
22.19092,0,-134.4472,0.580005,137.0093
22.38921,0,-138.2951,0.580005,137.9331
22.60395,0,-142.4624,0.5800049,138.9336
22.80025,0,-146.2716,0.580005,139.8481
22.9993,0,-150.1344,0.5800049,140.7755
23.19916,0,-153.7744,0.5800049,141.6494
23.40624,0,-155.3728,0.580005,142.0331
23.58891,0,-155.455,0.5800049,142.0528
23.79109,0,-155.455,0.5800049,142.0528
23.99594,0,-155.455,0.5800049,142.0528
24.19119,0,-155.455,0.5800049,142.0528
24.38769,0,-155.455,0.5800048,142.0528
24.60325,0,-155.455,0.5800048,142.0528
24.79972,0,-155.455,0.5800048,142.0528
24.99683,0,-155.455,0.5800048,142.0528
25.19008,0,-155.455,0.5800048,142.0528
25.39549,0,-155.455,0.5800048,142.0528
25.60118,0,-155.455,0.5800048,142.0528
25.78963,0,-155.455,0.5800048,142.0528
25.99529,0,-155.455,0.5800048,142.0528
26.19574,0,-155.455,0.5800048,142.0528
26.39953,0,-155.455,0.5800048,142.0528
26.59528,0,-155.455,0.5800048,142.0528
26.80515,0,-155.455,0.5800048,142.0528
26.9956,0,-155.3498,0.580005,142.19
27.19629,0,-154.0558,0.580005,143.8763
27.39918,0,-151.6608,0.580005,146.9975
27.60623,0,-149.5302,0.580005,149.7742
27.79569,0,-146.8691,0.580005,153.2422
27.99582,0,-144.4507,0.580005,156.3939
28.20624,0,-142.2356,0.580005,159.2806
28.3954,0,-139.6221,0.580005,162.6867
28.59575,0,-137.2008,0.580005,165.8421
28.80623,0,-134.9312,0.580005,168.8
28.99898,0,-132.328,0.580005,172.1925
29.20089,0,-129.888,0.580005,175.3724
29.39963,0,-127.4865,0.580005,178.5022
29.59898,0,-125.0774,0.580005,181.6417
29.80395,0,-122.6004,0.580005,184.8698
30.00624,0,-120.5178,0.5800049,187.5839
30.19949,0,-117.8205,0.580005,191.099
30.39514,0,-115.8002,0.580005,193.732
30.59145,0,-115.1139,0.580005,194.6264
30.79565,0,-115.1139,0.580005,194.6264
31.00624,0,-115.1139,0.580005,194.6264
31.19969,0,-115.1139,0.580005,194.6264
31.40031,0,-115.1139,0.580005,194.6264
31.59992,0,-115.1139,0.5800046,194.6264
31.78679,0,-115.1019,0.5800049,194.642
31.99231,0,-114.13,0.5800049,195.9086
32.20557,0,-111.7351,0.580005,199.0297
32.39542,0,-109.4411,0.580005,202.0194
32.60623,0,-107.1647,0.580005,204.986
32.80354,0,-104.5091,0.5800049,208.4468
32.99078,0,-102.2463,0.5800049,211.3957
33.18853,0,-99.85661,0.580005,214.5101
33.39623,0,-97.34666,0.580005,217.7811
33.59548,0,-94.93888,0.580005,220.919
33.79273,0,-92.56182,0.580005,224.0168
33.99911,0,-91.01163,0.580005,226.0371
34.20624,0,-90.82126,0.580005,226.2852
34.40623,0,-90.82126,0.580005,226.2852
34.59977,0,-90.82126,0.5800049,226.2852
34.80172,0,-90.82126,0.5800049,226.2852
34.99562,0,-90.82126,0.5800048,226.2852
35.18998,0,-90.82126,0.5800048,226.2852
35.39587,0,-90.82126,0.5800048,226.2852
35.59888,0,-90.27066,0.580005,226.2972
35.7957,0,-87.50526,0.580005,226.3575
35.99301,0,-83.62289,0.580005,226.4422
36.19112,0,-79.72496,0.580005,226.5273
36.39926,0,-75.62944,0.580005,226.6167
36.59145,0,-71.84801,0.580005,226.6992
36.79939,0,-67.75639,0.580005,226.7885
36.9912,0,-63.98245,0.580005,226.8708
37.19912,0,-59.89132,0.580005,226.9601
37.39046,0,-56.1265,0.580005,227.0422
37.60401,0,-51.92467,0.580005,227.1339
37.80027,0,-48.06302,0.580005,227.2182
37.9999,0,-44.13514,0.580005,227.3039
38.18845,0,-40.42524,0.5800049,227.3848
38.39542,0,-36.35282,0.5800049,227.4737
38.60332,0,-32.33361,0.580005,227.5614
38.80106,0,-30.18625,0.5800049,227.6082
38.99955,0,-29.96774,0.580005,227.613
39.19107,0,-29.96774,0.580005,227.613
39.39928,0,-29.96774,0.580005,227.613
39.5896,0,-29.96774,0.580005,227.613
39.79897,0,-29.96774,0.5800046,227.613
39.99925,0,-29.96774,0.5800046,227.613
40.20444,0,-29.96774,0.5800046,227.613
40.39099,0,-29.37509,0.580005,227.3705
40.58875,0,-26.70918,0.580005,226.2799
40.80624,0,-23.83487,0.580005,225.104
40.99152,0,-19.41649,0.580005,223.2964
41.20048,0,-15.63315,0.580005,221.7486
41.39612,0,-12.09081,0.580005,220.2994
41.59674,0,-8.458265,0.580005,218.8132
41.79782,1,-5.399394,0.580005,217.5618
41.98737,1,-4.329895,0.580005,217.1243
42.18948,1,-4.329895,0.580005,217.1243
42.38953,1,-4.329895,0.5800049,217.1243
42.59578,1,-4.329895,0.5800049,217.1243
42.80389,1,-4.329895,0.5800048,217.1243
42.99921,1,-4.329895,0.5800048,217.1243
43.20624,1,-4.329895,0.5800048,217.1243
43.39951,1,-4.329895,0.5800048,217.1243
43.60005,1,-4.329895,0.5800048,217.1243
43.79994,1,-4.329895,0.5800048,217.1243
43.9997,1,-4.329895,0.5800048,217.1243
44.19936,1,-4.329895,0.5800048,217.1243
44.39567,1,-4.329895,0.5800048,217.1243
44.60434,1,-4.329895,0.5800048,217.1243
44.79586,1,-4.329895,0.5800048,217.1243
44.99216,1,-4.329895,0.5800048,217.1243
45.20349,1,-4.329895,0.5800048,217.1243
45.39935,1,-4.329895,0.5800048,217.1243
45.59969,1,-4.329895,0.5800048,217.1243
45.80412,1,-4.329895,0.5800048,217.1243
45.99584,1,-4.329895,0.5800048,217.1243
46.18771,1,-4.463166,0.580005,216.9967
46.3971,1,-6.075568,0.580005,215.4532
46.59947,1,-8.788162,0.580005,212.8564
46.79504,1,-11.45164,0.580005,210.3067
46.99677,1,-14.19877,0.580005,207.6769
47.19188,1,-16.85595,0.580005,205.1332
47.39967,1,-19.6857,0.580005,202.4243
47.5951,1,-22.34723,0.580005,199.8764
47.79565,1,-25.07852,0.580005,197.2618
47.99591,1,-27.80571,0.580005,194.6511
48.19128,1,-30.46639,0.580005,192.104
48.38935,1,-32.78304,0.580005,189.8863
48.60623,1,-33.58628,0.580005,189.1174
48.80021,1,-33.58628,0.580005,189.1174
48.99603,1,-33.58628,0.580005,189.1174
49.20624,1,-33.58628,0.580005,189.1174
49.39996,1,-33.58628,0.580005,189.1174
49.59604,1,-33.58628,0.5800048,189.1174
49.7964,1,-33.58628,0.5800048,189.1174
49.98999,1,-33.58628,0.5800048,189.1174
50.19155,1,-33.70862,0.580005,188.2185
50.38985,1,-34.13818,0.580005,185.0621
50.58836,1,-34.66929,0.580005,181.1596
50.80439,1,-35.24724,0.580005,176.9129
50.98888,1,-35.74086,0.580005,173.2858
51.20624,1,-36.25221,0.580005,169.5285
51.40623,1,-36.78701,0.580005,165.5988
51.59949,1,-37.37452,0.580005,161.2819
51.79535,1,-37.89852,0.580005,157.4317
51.99107,1,-38.42216,0.580005,153.584
52.1965,1,-38.97176,0.580005,149.5456
52.39912,1,-39.5139,0.5800049,145.562
52.59206,1,-40.03008,0.5800049,141.7692
52.80043,1,-40.58757,0.580005,137.6729
52.99952,1,-41.12022,0.580005,133.759
53.19592,1,-41.64569,0.580005,129.8979
53.39628,1,-42.18173,0.580005,125.9592
53.59185,1,-42.70498,0.580005,122.1145
53.78999,1,-43.23511,0.580005,118.2191
54.00338,1,-43.80602,0.580005,114.0242
54.18919,1,-44.30313,0.580005,110.3714
54.39996,1,-44.86705,0.580005,106.2279
54.59653,1,-45.39296,0.580005,102.3635
54.79183,1,-45.91548,0.5800049,98.52415
54.99014,1,-46.2724,0.580005,95.9015
55.20623,1,-46.33612,0.580005,95.43328
55.40623,1,-46.33612,0.580005,95.43328
55.60623,1,-46.33612,0.5800049,95.43328
55.79985,1,-46.33612,0.5800049,95.43328
55.99348,1,-46.33612,0.5800048,95.43328
56.20623,1,-46.33612,0.5800048,95.43328
56.39632,1,-46.33612,0.5800048,95.43328
56.59119,1,-45.92298,0.580005,94.65627
56.78933,1,-44.43969,0.580005,91.8666
56.99422,1,-42.52394,0.580005,88.2636
57.20019,1,-40.59816,0.580005,84.64174
57.39999,1,-38.73,0.580005,81.12825
57.58923,1,-36.96063,0.580005,77.80054
57.80623,1,-35.14729,0.580005,74.39015
58.00166,1,-33.10441,0.580005,70.54804
58.19795,1,-31.26904,0.580005,67.09622
58.39621,1,-29.41529,0.580005,63.60981
58.59245,1,-27.58051,0.580005,60.1591
58.8059,1,-25.58467,0.580005,56.40548
58.99915,1,-23.77786,0.580005,53.00737
59.20623,1,-22.05573,0.580005,49.7685
59.38911,1,-20.13169,0.580005,46.14992
59.60029,1,-18.15713,0.580005,42.43631
59.79912,1,-16.29807,0.580005,38.93993
59.98943,1,-14.51868,0.580005,35.59337
60.19988,1,-12.55091,0.580005,31.89254
60.39171,1,-11.07137,0.580005,29.10993
60.59032,1,-10.5815,0.580005,28.18861
60.80623,1,-10.5815,0.580005,28.18861
60.99571,1,-10.5815,0.580005,28.18861
61.19247,1,-10.5815,0.580005,28.18861
61.40623,1,-10.5815,0.580005,28.18861
61.59235,1,-10.5815,0.5800048,28.18861
61.7954,1,-10.5815,0.5800048,28.18861
62.00479,1,-10.5815,0.5800048,28.18861
62.19179,1,-10.5815,0.5800048,28.18861
62.39901,1,-10.5815,0.5800048,28.18861
62.59531,1,-10.5815,0.5800048,28.18861
62.79694,1,-10.74111,0.580005,28.15468
62.99148,1,-12.68788,0.5800051,27.74088
63.19476,1,-16.36914,0.5800049,26.95841
63.40005,1,-20.21961,0.580005,26.13996
63.60376,1,-24.04077,0.5800051,25.32775
63.79585,1,-27.64397,0.580005,24.56186
63.99942,1,-31.01996,0.580005,23.84427
64.19109,1,-32.20967,0.580005,23.59139
64.39677,1,-32.21766,0.580005,23.58969
64.59526,1,-32.21766,0.5800049,23.58969
64.80623,1,-32.21766,0.5800049,23.58969
64.98861,1,-32.21766,0.5800049,23.58969
65.18748,1,-32.21766,0.5800048,23.58969
65.39962,1,-32.21766,0.5800048,23.58969
