time,progress,x,y,z
0,0,0,0,0
0.98629,0,0,0,0
1.985939,0,0,0,0
2.986156,0,0,0,0
3.989677,0,0,0.580005,2.709627
4.990013,0,0.19581,0.5800048,12.60958
5.990875,0,11.09783,0.5800052,21.17432
6.986141,0,21.00596,0.5800048,26.65762
7.987514,0,21.00596,0.5800048,26.65762
8.989929,0,21.19261,0.5800056,26.65762
9.986031,0,33.95805,0.5800065,25.89767
10.98585,0,44.00168,0.5800025,18.53059
11.99508,0,59.85194,0.5800049,6.711045
12.99786,0,77.38697,0.580005,3.490773
13.98606,0,78.0406,0.580005,3.941687
14.98985,0,77.72475,0.580005,22.13
15.98606,0,75.73216,0.5800047,41.89931
16.98972,0,70.79305,0.5800049,49.32086
17.98609,0,56.47723,0.580005,57.43526
18.98587,0,54.35757,0.5800054,68.00031
19.98996,0,53.00234,0.580005,87.7937
20.98993,0,52.22512,0.580005,101.9703
21.98632,0,43.38789,0.580005,112.5156
22.98619,0,35.32522,0.580005,130.4216
23.99008,0,28.57298,0.580005,148.8135
24.99063,0,24.85446,0.580005,161.5115
25.99051,0,13.78987,0.5800048,167.7187
26.98634,0,-0.4372087,0.5800046,169.2539
27.9899,0,-20.42243,0.5800045,169.5155
28.99381,0,-40.44147,0.580006,169.0779
29.9861,0,-60.26434,0.580006,168.1257
30.9898,0,-74.90444,0.5800053,167.399
31.98648,0,-59.8839,0.580005,96.59199
32.99005,0,-59.8839,0.5800046,96.59199
33.98626,0,-59.8839,0.5800046,96.59199
34.98996,0,-59.8839,0.5800046,96.59199
35.9903,0,-59.8839,0.5800046,96.59199
36.98251,0,-65.6282,0.5800053,107.8819
37.99408,0,-77.09042,0.580005,124.5281
38.99389,0,-85.66862,0.5800049,142.3229
39.99009,0,-89.90823,0.5800049,161.5794
40.98649,0,-99.4819,0.580005,179.0414
41.98283,0,-112.0267,0.5800044,194.4151
42.99037,0,-116.0519,0.5800049,213.8681
43.98263,0,-110.0721,0.580005,232.2306
44.9841,0,-100.5002,0.580005,248.188
45.9864,0,-93.00031,0.580005,252.2913
46.98974,0,-84.79547,0.5800048,254.0727
47.99886,0,-64.94534,0.5800049,253.7775
48.99827,0,-47.61206,0.580005,243.9317
49.98323,0,-30.92579,0.580005,234.3203
50.99083,0,-14.1341,0.580005,224.2727
51.98999,1,-6.654568,0.5800049,219.6892
52.98648,1,-6.654568,0.5800048,219.6892
53.99033,1,-6.654568,0.5800048,219.6892
54.99035,1,-6.654568,0.5800048,219.6892
55.98594,1,-6.654568,0.5800048,219.6892
56.99002,1,-6.654568,0.5800048,219.6892
57.99481,1,-6.225113,0.580005,210.8656
59.00247,1,2.467163,0.580005,193.8544
60.00001,1,17.62833,0.580005,180.3905
60.99048,1,32.18959,0.580005,167.0376
61.99005,1,43.81596,0.580005,150.996
62.99808,1,46.08105,0.580005,131.3279
63.99014,1,43.24649,0.580005,111.9495
65.00223,1,37.47209,0.580005,92.79877
65.99411,1,29.21349,0.580005,75.13585
66.98584,1,16.61937,0.580005,60.62051
67.98993,1,7.281092,0.580005,42.89229
68.98251,1,1.113666,0.580005,24.22869
69.98994,1,3.045703,0.580005,6.05163
70.98657,1,3.36961,0.580005,4.07071
71.98589,1,3.555171,0.580005,2.93587
72.98975,1,4.472173,0.580005,-5.144918
73.98637,1,4.472173,0.5800048,-5.144918
74.99484,1,-6.143191,0.580005,-4.873704
76.00168,1,-7.159372,0.5800048,-4.849589
76.99422,1,-7.159372,0.5800048,-4.849589
77.98642,1,-7.159372,0.5800048,-4.849589
78.99394,1,-7.159372,0.5800048,-4.849589
