time,progress,x,y,z
0,0,0,0,0
0.9922218,0,0,0,0
2.004753,0,0,0,0
3.004089,0,0,0,0
3.988148,0,3.360122,0.5800052,11.86753
4.995541,0,21.68227,0.5800056,4.563142
6.006199,0,37.13532,0.5800061,5.108054
6.995949,0,42.16716,0.5800033,23.29643
8.004185,0,58.79658,0.5800042,34.21947
9.000614,0,77.53741,0.5800031,32.89526
10.0062,0,85.68758,0.5800035,35.41744
11.0062,0,91.86853,0.580005,50.68188
12.00093,0,100.3442,0.5800049,65.44713
13.0062,0,101.6339,0.5800044,84.73898
14.0062,0,101.8977,0.580005,104.5107
14.98841,0,101.0891,0.5800059,124.3406
16.00002,0,84.02071,0.5800055,134.31
16.99291,0,66.08924,0.5800056,141.9526
18.00015,0,56.44022,0.5800029,159.2044
19.0062,0,48.85614,0.5800053,177.0714
20.0062,0,41.14972,0.5800031,195.2266
20.99183,0,43.16966,0.5800054,213.9604
21.99178,0,32.08224,0.5800035,224.3373
22.99189,0,13.51846,0.5800053,227.0477
24.0062,1,-4.806417,0.580005,220.324
25.0002,1,-11.55112,0.580005,212.713
25.98844,1,-11.55112,0.5800046,212.713
26.99629,1,-9.175184,0.580005,214.5021
27.99233,1,2.137204,0.5800053,230.048
29.0062,1,20.91797,0.5800049,231.0733
29.98804,1,37.20081,0.5800053,219.3708
30.99231,1,49.55635,0.5800052,203.7309
32.0062,1,56.58309,0.5800024,185.4058
32.99686,1,61.45763,0.580002,166.2406
33.98794,1,64.39335,0.5800054,147.8956
35.00028,1,64.7351,0.580002,147.4201
36.0062,1,64.7351,0.580002,147.4201
37.00004,1,53.21995,0.5800049,133.9667
38.00039,1,59.8624,0.5800049,115.1816
38.99626,1,58.21679,0.5800052,95.50925
39.99638,1,51.29921,0.5800059,76.87634
40.98689,1,41.20295,0.5800066,59.87832
41.98845,1,29.82321,0.5800062,43.45947
43.00058,1,31.84653,0.580004,24.40336
44.00398,1,39.97516,0.5800052,6.181199
45.0062,1,41.91491,0.5800028,-12.89408
46.0062,1,37.70521,0.580002,-32.36287
46.99651,1,24.90658,0.5800049,-45.53226
47.99647,1,24.20841,0.5800048,-45.46669
48.99199,1,24.80136,0.5800045,-35.60021
49.98824,1,27.84935,0.5800045,-16.2825
51.0062,1,17.41815,0.5800063,-3.487369
52.00005,1,9.293503,0.5800049,9.037973
52.99665,1,-6.171868,0.5800049,5.819201
53.99645,1,-6.224275,0.5800048,5.900896
55.00001,1,-6.224275,0.5800048,5.900896
