time,progress,x,y,z
0,0,0,0,0
0.2032928,0,0,0,0
0.4031906,0,0,0,0
0.6076355,0,0,0,0
0.8076363,0,0,0,0
0.9951859,0,-0.04558098,0.5800049,0.1592101
1.199451,0,-1.826887,0.580005,1.10053
1.395191,0,-5.229832,0.580005,-0.551515
1.599842,0,-8.873582,0.5800049,-1.54479
1.799191,0,-10.01411,0.5800049,0.5850906
2.007393,0,-10.95968,0.580005,2.197082
2.191502,0,-13.04794,0.5800049,4.999641
2.407608,0,-15.66643,0.580005,8.376031
2.607635,0,-18.46418,0.5800049,10.55184
2.795628,0,-21.4409,0.580005,13.45442
3.007637,0,-24.24253,0.5800049,16.02748
3.193012,0,-27.49647,0.5800049,18.46793
3.407581,0,-31.13794,0.580005,21.38181
3.591549,0,-34.45127,0.5800049,25.1504
3.793133,0,-38.53368,0.5800049,29.04504
4.007469,0,-43.66729,0.5800049,32.1473
4.188736,0,-48.13379,0.580005,34.56759
4.403641,0,-53.60331,0.5800049,37.05656
4.599705,0,-58.42263,0.5800049,37.87069
4.795971,0,-61.9552,0.5800049,39.73853
5.007637,0,-64.87106,0.580005,41.69553
5.192913,0,-68.92593,0.580005,43.45845
5.407635,0,-72.36446,0.580005,44.93576
5.607635,0,-76.12761,0.580005,46.55254
5.799236,0,-80.06763,0.580005,48.24531
5.990967,0,-83.5908,0.580005,49.75898
6.207634,0,-87.39897,0.5800049,50.44791
6.407635,0,-92.45757,0.580005,49.07146
6.607498,0,-97.35931,0.580005,48.68855
6.795456,0,-92.55914,0.580005,48.10069
7.007637,0,-88.67686,0.580005,48.08493
7.207634,0,-88.09843,0.5800049,51.96117
7.395611,0,-88.19678,0.580005,56.37955
7.599934,0,-90.84114,0.5800049,60.70024
7.799507,0,-95.89906,0.580005,58.60171
7.991272,0,-100.5187,0.580005,55.92674
8.195694,0,-104.9564,0.5800049,52.84496
8.40303,0,-108.8957,0.580005,50.92233
8.593349,0,-112.667,0.580005,50.40664
8.799591,0,-116.7541,0.580005,49.8504
9.00753,0,-120.8749,0.580005,49.28958
9.198986,0,-124.6678,0.580005,48.76401
9.399536,0,-128.6398,0.5800047,48.20579
9.595165,0,-132.5142,0.5800047,47.66126
9.791714,0,-136.407,0.5800047,47.11418
9.999172,0,-140.5157,0.5800047,46.53672
10.20379,0,-144.3975,0.580005,46.80827
10.40329,0,-144.3415,0.580005,50.78
10.59186,0,-144.1873,0.580005,54.54494
10.80764,0,-147.2386,0.580005,55.41649
11.00763,0,-150.5833,0.580005,53.37214
11.20764,0,-150.3122,0.580005,50.99069
11.40763,0,-151.8835,0.580005,50.33255
11.60763,0,-153.8655,0.580005,51.66405
11.79931,0,-155.3167,0.580005,55.78662
12.00763,0,-157.3105,0.580005,58.29979
12.19527,0,-161.4397,0.580005,60.49562
12.40763,0,-164.7862,0.580005,63.32971
12.59118,0,-166.33,0.5800049,67.15308
12.79544,0,-167.419,0.5800049,71.03952
13.00763,0,-168.127,0.5800049,74.61143
13.20312,0,-168.9728,0.5800049,78.96262
13.39134,0,-169.7922,0.580005,82.60078
13.5961,0,-172.5444,0.580005,86.06113
13.80353,0,-176.9079,0.580005,87.36006
13.99131,0,-180.6236,0.580005,86.79632
14.19683,0,-184.6775,0.580005,86.1222
14.39564,0,-188.7324,0.5800049,87.21056
14.59141,0,-192.7509,0.580005,90.56866
14.79131,0,-196.5831,0.580005,94.62853
15.0037,0,-198.4334,0.580005,99.07008
15.19113,0,-197.7611,0.580005,102.6579
15.39901,0,-193.1167,0.580005,103.0907
15.60345,0,-187.6255,0.580005,101.9606
15.79189,0,-183.5148,0.580005,102.4631
15.99519,0,-180.7749,0.580005,105.3901
16.19145,0,-178.3026,0.580005,108.3893
16.3953,0,-175.7345,0.580005,111.5047
16.59156,0,-173.2621,0.580005,114.5039
16.80724,0,-171.2579,0.5800049,118.2478
17.0076,0,-169.7234,0.580005,121.9072
17.20728,0,-168.194,0.580005,125.5544
17.39949,0,-166.717,0.580005,129.063
17.59196,0,-163.6941,0.5800049,131.1869
17.79984,0,-160.1069,0.580005,134.1294
18.00763,0,-157.1672,0.580005,138.2953
18.20764,0,-153.724,0.580005,142.8763
18.39257,0,-150.0962,0.580005,147.364
18.59955,0,-146.4283,0.580005,151.888
18.80387,0,-141.9303,0.580005,154.5415
19.00084,0,-137.022,0.580005,151.9693
19.20328,0,-132.2945,0.5800049,150.3102
19.39529,0,-128.4179,0.580005,150.7544
19.60763,0,-124.7393,0.580005,151.8615
19.80331,0,-120.6037,0.5800049,153.1062
20.00763,0,-117.4538,0.580005,154.0542
20.20333,0,-112.9429,0.5800048,155.4119
20.40763,0,-109.4905,0.5800046,156.4509
20.60763,0,-105.6614,0.5800046,157.6033
20.79184,0,-101.6633,0.580005,158.7712
20.9888,0,-97.8454,0.580005,158.0298
21.1913,0,-94.2375,0.580005,156.0164
21.40734,0,-91.37015,0.5800051,151.2799
21.59922,0,-90.36408,0.5800049,146.7567
21.80091,0,-91.3827,0.5800049,142.8307
21.99167,0,-92.82727,0.5800046,139.3095
22.19172,0,-94.65656,0.5800046,135.7651
22.39968,0,-96.66806,0.5800048,132.1362
22.5994,0,-98.61842,0.5800045,128.6621
22.80372,0,-100.8798,0.5800049,125.274
23.00295,0,-103.1731,0.5800043,122.0291
23.19127,0,-105.3408,0.5800048,118.9619
23.40763,0,-107.4665,0.5800043,115.9603
23.59112,0,-110.2539,0.5800045,112.6987
23.79139,0,-112.9357,0.5800046,109.7462
23.99517,0,-115.6645,0.5800051,106.742
24.20334,0,-118.4643,0.5800065,103.6866
