time,progress,x,y,z
0,0,0,0,0
0.204052,0,0,0,0
0.4193726,0,0,0,0
0.6160755,0,0,0,0
0.8193741,0,0,0,0
1.019373,0,0,0,0
1.208523,0,0,0,0
1.400595,0,0,0,0
1.608395,0,0,0,0
1.808081,0,0,0,0
2.008404,0,0,0,0
2.205662,0,0,0.580005,5.075622E-20
2.404766,0,-1.692167,0.580005,5.075622E-20
2.599749,0,-2.471627,0.580005,5.075622E-20
2.812614,0,-2.471627,0.580005,5.075622E-20
3.01672,0,-2.471627,0.580005,5.075622E-20
3.204447,0,-2.471627,0.580005,5.075622E-20
3.419373,0,-2.471627,0.5800048,5.075622E-20
3.608316,0,-2.471627,0.5800048,5.075622E-20
3.819374,0,-2.471627,0.5800048,5.075622E-20
4.004187,0,-2.471627,0.5800048,5.075622E-20
4.200422,0,-2.471627,0.5800048,5.075622E-20
4.408251,0,-2.424443,0.5800044,0.08354327
4.604479,0,-1.95553,0.5800043,1.983941
4.816269,0,-2.694589,0.5800049,6.845301
5.01606,0,-4.170104,0.5800045,11.85035
5.216497,0,-4.220967,0.580005,16.01967
5.416214,0,-3.166387,0.580005,20.00713
5.600147,0,-0.2448336,0.580005,23.7283
5.80097,0,3.560047,0.580005,27.79955
6.012224,0,5.524612,0.5800049,31.94202
6.212492,0,5.741415,0.580005,35.83739
6.412199,0,5.978515,0.5800049,39.71394
6.619373,0,6.196563,0.580005,43.27901
6.804062,0,6.559402,0.5800049,47.33259
7.008039,0,7.097608,0.580005,51.30764
7.216669,0,7.858942,0.580005,55.32127
7.404013,0,8.708626,0.580005,58.70477
7.619373,0,9.605837,0.580005,61.78779
7.819372,0,10.52499,0.580005,64.72747
7.999958,0,10.85143,0.580005,65.9425
8.211992,0,10.86105,0.580005,65.99081
8.408772,0,10.86105,0.580005,65.99081
8.608063,0,10.86105,0.580005,65.99081
8.804016,0,10.86105,0.580005,65.99081
9.008984,0,10.86105,0.5800046,65.99081
9.208057,0,10.86105,0.5800046,65.99081
9.403797,0,10.86105,0.5800046,65.99081
9.619373,0,10.86105,0.5800046,65.99081
9.803913,0,10.86105,0.5800046,65.99081
10.00394,0,10.86105,0.5800046,65.99081
10.21937,0,10.86105,0.5800046,65.99081
10.40403,0,10.86105,0.5800046,65.99081
10.60426,0,10.86105,0.5800046,65.99081
10.80801,0,10.86105,0.5800046,65.99081
11.0003,0,10.86105,0.5800046,65.99081
11.20426,0,10.86105,0.5800046,65.99081
11.41937,0,10.86105,0.5800046,65.99081
11.61249,0,10.86105,0.5800046,65.99081
11.81666,0,10.86105,0.5800046,65.99081
12.01194,0,10.86105,0.5800046,65.99081
12.21937,0,10.86105,0.5800046,65.99081
12.41659,0,10.86105,0.5800046,65.99081
12.60121,0,10.86105,0.5800046,65.99081
12.80833,0,10.86105,0.5800046,65.99081
13.00045,0,10.86105,0.5800046,65.99081
13.20066,0,10.86105,0.5800046,65.99081
13.40421,0,10.86105,0.5800046,65.99081
13.61937,0,10.86105,0.5800046,65.99081
13.81199,0,10.86105,0.5800046,65.99081
13.99993,0,10.86105,0.5800046,65.99081
14.21937,0,10.86105,0.5800046,65.99081
14.41714,0,10.86105,0.5800046,65.99081
14.61184,0,10.86105,0.5800046,65.99081
14.80825,0,10.86105,0.5800028,65.99081
15.00413,0,10.86105,0.5800028,65.99081
15.21237,0,10.86105,0.5800028,65.99081
15.41937,0,10.86105,0.5800028,65.99081
15.60962,0,10.86105,0.5800028,65.99081
15.808,0,10.86105,0.5800028,65.99081
16.00899,0,10.86105,0.5800028,65.99081
16.20833,0,10.86105,0.5800028,65.99081
16.40819,0,10.86105,0.5800028,65.99081
16.60822,0,10.86105,0.5800028,65.99081
16.81611,0,10.86105,0.5800028,65.99081
17.01197,0,10.86105,0.5800028,65.99081
17.20388,0,10.86105,0.5800028,65.99081
17.41625,0,10.86105,0.5800028,65.99081
17.61937,0,10.95125,0.580005,65.95391
17.80441,0,12.56434,0.580005,64.86219
18.00415,0,15.57944,0.580005,62.77199
18.20812,0,19.39392,0.580005,62.58685
18.39982,0,23.25139,0.580005,64.50498
18.60387,0,27.24545,0.580005,65.48047
18.80046,0,30.95498,0.580005,65.10289
19.00035,0,34.72502,0.580005,64.58794
19.20014,0,36.36942,0.580005,61.34009
19.40766,0,36.03355,0.580005,57.33912
19.6002,0,35.35341,0.580005,53.6694
19.81338,0,34.60612,0.580005,49.60909
20.00068,0,32.64334,0.580005,46.43263
20.20012,0,28.24115,0.580005,44.33305
20.41605,0,25.98184,0.580005,42.86768
20.60803,0,25.88697,0.580005,42.67318
20.81937,0,25.85513,0.580005,41.53734
21.0051,0,27.66754,0.580005,38.64618
21.21218,0,30.66046,0.580005,36.0257
21.40387,0,33.45226,0.5800049,33.62013
21.61937,0,36.25874,0.580005,31.20191
21.80405,0,39.20129,0.580005,28.49903
22.00786,0,41.98536,0.580005,25.71495
22.21937,0,44.49827,0.580005,23.20204
22.40802,0,47.45168,0.580005,20.24864
22.61937,0,49.96371,0.580005,17.7366
22.81203,0,52.97059,0.5800049,14.72972
23.00013,0,55.54004,0.580005,12.16028
23.21937,0,57.94557,0.580005,9.754745
23.40782,0,61.10921,0.580005,6.591101
23.61418,0,62.48111,0.5800049,2.72606
23.8166,0,61.61889,0.580005,-2.422051
24.00489,0,60.3148,0.580005,-7.397489
24.20435,0,57.57099,0.580005,-11.7757
24.40462,0,52.18374,0.580005,-12.61531
24.61208,0,46.5867,0.5800049,-11.25811
24.80376,0,41.84668,0.580005,-10.66831
25.01937,0,39.1617,0.5800049,-13.07072
25.20816,0,37.20008,0.5800049,-18.08304
25.40477,0,35.00917,0.5800049,-23.03874
25.59997,0,32.73911,0.5800049,-27.9167
25.81611,0,29.97661,0.5800049,-33.20078
26.01616,0,27.09643,0.5800049,-37.93248
26.21594,0,24.19038,0.5800049,-42.64
26.40008,0,21.42801,0.580005,-46.92492
26.60059,0,18.20482,0.580005,-51.11852
26.808,0,14.50538,0.580005,-53.21254
27.01661,0,10.54099,0.580005,-53.69884
27.21179,0,6.810589,0.580005,-53.93363
27.40022,0,3.207458,0.580005,-54.13483
27.6162,0,-0.8942721,0.580005,-56.08054
27.80372,0,-4.513594,0.580005,-59.63329
28.01937,0,-8.34207,0.5800049,-63.383
28.20431,0,-12.35651,0.580005,-65.53593
28.41937,0,-15.74924,0.580005,-65.67707
28.60101,0,-20.00489,0.580005,-65.58328
28.81266,0,-23.94095,0.5800049,-64.67516
28.99986,0,-27.29579,0.5800049,-63.33671
29.21215,0,-31.10059,0.580005,-61.81875
29.41226,0,-34.687,0.580005,-60.38792
29.60439,0,-38.13033,0.580005,-59.01417
29.8042,0,-41.71124,0.5800049,-57.58553
29.99988,0,-45.21839,0.5800049,-56.18632
30.21204,0,-49.02073,0.5800049,-54.66934
30.40439,0,-52.46796,0.580005,-53.29404
30.60057,0,-55.86423,0.5800049,-51.67186
30.80823,0,-59.06462,0.580005,-49.36178
31.00819,0,-62.02076,0.5800049,-46.98583
31.20035,0,-64.83443,0.5800049,-44.66943
31.40466,0,-67.82455,0.580005,-42.20456
31.60022,0,-70.68656,0.5800049,-39.84529
31.80021,0,-73.6134,0.580005,-37.43259
32.01231,0,-76.71744,0.580005,-34.87382
32.20887,0,-79.54568,0.580005,-32.44379
32.40782,0,-81.31982,0.580005,-28.6637
32.59999,0,-81.81871,0.580005,-23.53883
32.80786,0,-82.21646,0.580005,-17.82302
33.00427,0,-82.59229,0.5800049,-12.42229
33.21937,0,-82.95867,0.580005,-7.157223
33.4001,0,-83.34967,0.5800049,-1.538489
33.60423,0,-83.74026,0.5800049,4.07436
33.80417,0,-84.12284,0.580005,9.572211
34.01277,0,-84.31371,0.580005,15.30689
34.21656,0,-82.26257,0.580005,20.43941
34.416,0,-78.54196,0.580005,24.36822
34.61937,0,-75.08455,0.580005,27.35091
34.81606,0,-71.29079,0.580005,30.78137
35.01937,0,-70.21554,0.580005,33.54711
35.20403,0,-71.63631,0.580005,37.04244
35.41653,0,-75.6106,0.580005,35.77552
35.6123,0,-79.07643,0.580005,34.06637
35.81428,0,-82.33311,0.580005,35.06293
36.00796,0,-81.93726,0.580005,39.15969
36.20426,0,-79.36964,0.580005,43.86089
36.41937,0,-76.97656,0.580005,48.42255
36.61937,0,-76.52097,0.5800049,52.62724
36.80404,0,-77.8919,0.5800049,56.46538
37.00431,0,-79.85682,0.580005,59.8782
37.21937,0,-81.81554,0.580005,63.12468
37.40769,0,-84.21769,0.5800049,66.47787
37.61245,0,-86.7113,0.5800049,69.61278
37.81937,0,-88.70258,0.5800049,72.11616
38.01937,0,-91.28703,0.5800049,75.36962
38.21937,0,-93.48083,0.580005,78.72497
38.41937,0,-94.91682,0.580005,82.31496
38.61937,0,-96.02223,0.580005,86.21388
