time,progress,x,y,z
0,0,0,0,0
0.9988356,0,0,0,0
2.002825,0,0,0,0
3.002682,0,0,0.5800048,1.017497
4.007328,0,0,0.5800048,9.015569
4.998816,0,0,0.5800048,9.015569
6.007061,0,-0.0458278,0.580005,9.015569
6.998737,0,-12.68814,0.580005,9.015569
8.002672,0,-12.68814,0.5800048,9.015569
8.995008,0,-12.68814,0.5800048,9.015569
10.00741,0,-12.68814,0.5800048,9.015569
11.00771,0,-12.68814,0.5800048,9.015569
12.0028,0,-22.19344,0.5800056,16.99146
13.00665,0,-37.57318,0.5800048,29.89659
14.00274,0,-47.11381,0.5800031,37.90213
14.99489,0,-47.11381,0.5800031,37.90213
16.00328,0,-47.11381,0.5800031,37.90213
17.00745,0,-47.11381,0.5800031,37.90213
17.99517,0,-54.27794,0.5800034,38.15231
18.99926,0,-60.19232,0.5800021,38.35884
19.9948,0,-60.19232,0.5800021,38.35884
21.00744,0,-64.27234,0.5800075,36.14357
21.99883,0,-79.76794,0.5800064,27.73015
23.0077,0,-79.86269,0.580005,27.6787
23.99876,0,-80.09972,0.5800089,27.06919
24.99919,0,-84.72091,0.5800048,15.18583
26.00757,0,-84.72091,0.5800048,15.18583
27.00822,0,-84.72091,0.5800048,15.18583
27.99883,0,-84.72091,0.5800048,15.18583
29.0004,0,-84.72091,0.5800048,15.18583
29.9988,0,-84.72091,0.5800048,15.18583
30.99498,0,-84.72091,0.5800048,15.18583
31.99518,0,-84.72091,0.5800048,15.18583
32.99877,0,-84.72091,0.5799974,15.18583
33.99556,0,-84.72091,0.5799938,15.18583
34.9954,0,-89.38408,0.580005,7.18975
35.99549,0,-83.57026,0.580005,3.231241
37.00709,0,-92.85731,0.580005,-13.09453
38.00701,0,-93.23827,0.580005,-21.2945
39.00782,0,-93.23827,0.5800048,-21.2945
40.00784,0,-93.23827,0.5800048,-21.2945
40.99505,0,-93.23827,0.5800048,-21.2945
42.00761,0,-93.23827,0.5800048,-21.2945
43.00288,0,-93.23827,0.5800048,-21.2945
43.99923,0,-92.075,0.580005,-15.30806
44.99517,0,-89.04513,0.580005,4.377274
46.00719,0,-85.96635,0.580005,24.38039
47.00865,0,-82.91972,0.580005,44.17473
47.99512,0,-79.96019,0.580005,63.40307
49.00306,0,-79.70293,0.580005,65.07452
50.00696,0,-79.70293,0.5800048,65.07452
50.999,0,-79.70293,0.5800048,65.07452
52.00706,0,-87.68544,0.5800049,72.13684
52.99562,0,-102.2792,0.580005,85.04832
54.00361,0,-107.2162,0.580005,89.41621
55.00745,0,-107.3019,0.5800049,89.75365
56.00719,0,-111.8252,0.580005,107.5643
56.99522,0,-116.4671,0.580005,125.8419
58.00286,0,-116.6785,0.5800048,126.6742
58.9952,0,-116.6785,0.5800048,126.6742
60.0028,0,-116.6785,0.5800048,126.6742
61.0029,0,-116.6785,0.5800048,126.6742
62.00335,0,-109.6493,0.580005,132.948
63.00306,0,-94.90598,0.580005,146.1069
64.00293,0,-80.22744,0.580005,159.208
65.00746,0,-78.52622,0.580005,160.7264
66.00691,0,-78.52622,0.5800048,160.7264
66.99904,0,-69.71185,0.580005,165.2176
68.00296,0,-52.03021,0.580005,174.2268
69.0032,0,-49.23708,0.580005,175.65
70.00336,0,-49.15625,0.580005,175.7209
71.00304,0,-36.09417,0.580005,187.176
72.00739,0,-29.91413,0.580005,182.7709
73.00273,0,-33.69953,0.580005,187.0873
74.00752,0,-36.68994,0.5800046,190.4972
75.00287,0,-36.68994,0.5800046,190.4972
76.00281,0,-31.1866,0.5800049,191.2706
76.99922,0,-11.62086,0.580005,194.0204
78.0032,0,2.069061,0.580005,195.9444
79.00307,0,2.069061,0.5800048,195.9444
80.00375,0,2.069061,0.5800048,195.9444
81.00319,0,2.069061,0.5800048,195.9444
81.9953,0,2.241821,0.580005,195.0556
82.99553,0,5.90553,0.580005,176.2075
84.00293,0,6.683103,0.580005,172.2072
85.00307,0,6.683103,0.5800046,172.2072
86.00291,0,18.05725,0.580005,166.3492
86.99513,0,35.62537,0.580005,157.301
88.00308,0,50.68495,0.5800049,149.5448
88.99924,0,50.68647,0.5800048,149.544
90.00305,0,50.68647,0.5800048,149.544
90.99532,0,50.68647,0.5800048,149.544
91.99864,0,51.49809,0.580005,158.8209
93.0027,0,53.24226,0.580005,178.7568
93.99477,0,54.9656,0.5800049,198.4546
95.00284,0,55.85081,0.580005,208.5727
96.00302,0,55.85081,0.5800046,208.5727
97.00284,0,45.27014,0.580005,221.1822
98.0031,0,32.43857,0.580005,236.4743
99.00426,0,22.80652,0.580005,247.9533
100.0039,0,22.80652,0.5800046,247.9533
101.0128,0,22.80652,0.5800046,247.9533
101.9977,0,22.80652,0.5800046,247.9533
103.003,0,19.22817,0.580005,244.8971
104.0071,0,8.992494,0.580005,236.1335
105.0027,0,5.547729,0.580005,231.4638
106.0031,0,4.90286,0.580005,221.655
106.995,0,-0.3969279,0.580005,223.5918
107.9953,1,-7.487308,0.580005,217.5717
108.9994,1,-7.487308,0.5800046,217.5717
109.9966,1,-7.487308,0.5800046,217.5717
110.9949,1,-7.487308,0.5800046,217.5717
112.0029,1,-7.487308,0.5800046,217.5717
113.0075,1,-7.487308,0.5800046,217.5717
113.9949,1,-7.487308,0.5800046,217.5717
114.9989,1,-7.487308,0.5800028,217.5717
115.9996,1,-7.487308,0.5800028,217.5717
116.9992,1,-7.487308,0.5800028,217.5717
118.0082,1,-7.487308,0.5800028,217.5717
118.9992,1,-7.487308,0.5800028,217.5717
119.9951,1,-17.37561,0.580005,213.1173
120.9949,1,-35.43025,0.580005,204.9843
122.0075,1,-53.7158,0.580005,196.7472
122.9962,1,-67.73078,0.580005,190.4339
123.9963,1,-67.73078,0.5800046,190.4339
125.0073,1,-67.73078,0.5800046,190.4339
126.0034,1,-67.73078,0.5800046,190.4339
127.0027,1,-67.73078,0.5800046,190.4339
127.9987,1,-66.74363,0.580005,177.1502
128.9954,1,-65.27254,0.580005,157.3543
129.9961,1,-63.79562,0.580005,137.4799
130.9955,1,-62.32056,0.580005,117.6305
132.003,1,-60.83346,0.580005,97.6191
132.999,1,-59.38722,0.580005,78.15763
133.9989,1,-59.27027,0.580005,76.58389
134.9951,1,-59.27027,0.5800048,76.58389
135.9947,1,-59.27027,0.5800048,76.58389
137.0034,1,-47.45128,0.580005,66.39999
137.9949,1,-32.49166,0.580005,53.50996
138.9951,1,-17.40157,0.580005,40.5075
140.0032,1,-10.97169,0.580005,34.96715
